,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,928.00000,1472.00000,1438.00000,487.00000,4325.00000,2483.00000,76.00000,43323.00000,1196.00000,47115.00000,51440.00000,7233.00000,11561.00000,1800.00000,19106.00000,26339.00000,14.00000,3367.00000,-9.00000,,25101.00000,51440.00000
2022-06-30,554.00000,1326.00000,1239.00000,652.00000,3771.00000,2446.00000,78.00000,43937.00000,1159.00000,47657.00000,51428.00000,6761.00000,11555.00000,1714.00000,19276.00000,26037.00000,14.00000,3471.00000,205.00000,,25391.00000,51428.00000
2022-03-31,594.00000,1214.00000,1045.00000,637.00000,3490.00000,2436.00000,29.00000,44132.00000,1119.00000,47754.00000,51244.00000,6448.00000,11584.00000,1647.00000,19285.00000,25733.00000,14.00000,3518.00000,215.00000,,25511.00000,51244.00000
2021-12-31,568.00000,1148.00000,894.00000,447.00000,3057.00000,2494.00000,30.00000,44038.00000,937.00000,47541.00000,50598.00000,6485.00000,11578.00000,1577.00000,19141.00000,25626.00000,14.00000,3199.00000,-26.00000,,24972.00000,50598.00000
2021-09-30,203.00000,1138.00000,972.00000,490.00000,2803.00000,2425.00000,85.00000,44076.00000,901.00000,47527.00000,50330.00000,6795.00000,11727.00000,1463.00000,19130.00000,25925.00000,14.00000,2621.00000,6.00000,,24405.00000,50330.00000
2021-06-30,170.00000,1075.00000,897.00000,474.00000,2616.00000,2420.00000,86.00000,44255.00000,926.00000,47728.00000,50344.00000,6917.00000,11721.00000,1491.00000,19184.00000,26101.00000,14.00000,2357.00000,128.00000,,24243.00000,50344.00000
2021-03-31,349.00000,1065.00000,841.00000,410.00000,2665.00000,2261.00000,88.00000,44158.00000,1187.00000,47738.00000,50403.00000,7225.00000,11715.00000,1367.00000,19107.00000,26332.00000,14.00000,2174.00000,164.00000,,24071.00000,50403.00000
2020-12-31,255.00000,1048.00000,762.00000,323.00000,2388.00000,2212.00000,88.00000,44152.00000,894.00000,47391.00000,49779.00000,7694.00000,11143.00000,1119.00000,18255.00000,25949.00000,14.00000,2061.00000,77.00000,,23830.00000,49779.00000
2020-09-30,218.00000,1051.00000,824.00000,323.00000,2416.00000,2092.00000,90.00000,43863.00000,889.00000,46965.00000,49381.00000,7329.00000,11707.00000,1103.00000,18755.00000,26084.00000,14.00000,1845.00000,-217.00000,,23297.00000,49381.00000
2020-06-30,177.00000,1010.00000,747.00000,306.00000,2240.00000,2071.00000,102.00000,43753.00000,831.00000,46786.00000,49026.00000,7298.00000,11849.00000,1034.00000,18805.00000,26103.00000,14.00000,1613.00000,-328.00000,,22923.00000,49026.00000
2020-03-31,223.00000,1037.00000,682.00000,335.00000,2277.00000,2017.00000,105.00000,43604.00000,811.00000,46566.00000,48843.00000,6858.00000,12431.00000,997.00000,19345.00000,26203.00000,14.00000,1527.00000,-480.00000,,22640.00000,48843.00000
2019-12-31,101.00000,1115.00000,654.00000,403.00000,2273.00000,2028.00000,151.00000,44289.00000,748.00000,47245.00000,49518.00000,6474.00000,12827.00000,930.00000,19787.00000,26261.00000,14.00000,1582.00000,104.00000,,23257.00000,49518.00000
2019-09-30,102.00000,1090.00000,751.00000,326.00000,2269.00000,2236.00000,164.00000,44143.00000,561.00000,47131.00000,49400.00000,6550.00000,13147.00000,767.00000,19936.00000,26486.00000,14.00000,1388.00000,-27.00000,,22914.00000,49400.00000
2019-06-30,150.00000,1068.00000,686.00000,317.00000,2221.00000,2290.00000,170.00000,44267.00000,572.00000,47326.00000,49547.00000,6695.00000,13164.00000,771.00000,19969.00000,26664.00000,14.00000,1294.00000,51.00000,,22883.00000,49547.00000
2019-03-31,129.00000,1016.00000,663.00000,354.00000,2162.00000,2282.00000,172.00000,44065.00000,584.00000,47129.00000,49291.00000,6656.00000,13246.00000,775.00000,19961.00000,26617.00000,14.00000,1192.00000,-37.00000,,22674.00000,49291.00000
2018-12-31,129.00000,1150.00000,626.00000,254.00000,2159.00000,2310.00000,186.00000,43978.00000,259.00000,46759.00000,48918.00000,5702.00000,14201.00000,559.00000,20683.00000,26385.00000,14.00000,1178.00000,-130.00000,,22533.00000,48918.00000
2018-09-30,112.00000,1196.00000,720.00000,357.00000,2385.00000,2345.00000,193.00000,43727.00000,315.00000,46673.00000,49058.00000,5967.00000,14580.00000,244.00000,20798.00000,26765.00000,14.00000,1122.00000,137.00000,,22293.00000,49058.00000
2018-06-30,89.00000,866.00000,265.00000,196.00000,1416.00000,1183.00000,34.00000,7339.00000,214.00000,8830.00000,10246.00000,1526.00000,4126.00000,206.00000,5998.00000,7524.00000,2.00000,2920.00000,-200.00000,,2722.00000,10246.00000
2018-03-31,29.00000,749.00000,243.00000,225.00000,1246.00000,1198.00000,36.00000,7348.00000,286.00000,8933.00000,10179.00000,1624.00000,4135.00000,273.00000,6069.00000,7693.00000,2.00000,2667.00000,-183.00000,,2486.00000,10179.00000
2017-12-31,95.00000,483.00000,384.00000,94.00000,1056.00000,790.00000,97.00000,13653.00000,121.00000,14688.00000,15744.00000,2018.00000,4976.00000,56.00000,6328.00000,8346.00000,8.00000,914.00000,99.00000,,7398.00000,15744.00000
2017-09-30,155.00000,706.00000,261.00000,144.00000,1266.00000,1129.00000,24.00000,7345.00000,215.00000,8773.00000,10039.00000,1359.00000,4399.00000,204.00000,6551.00000,7910.00000,2.00000,2311.00000,-184.00000,,2129.00000,10039.00000
