,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,299.00000,1736.00000,1768.00000,383.00000,4186.00000,3789.00000,432.00000,7982.00000,1490.00000,14310.00000,18496.00000,6349.00000,5317.00000,500.00000,7772.00000,14121.00000,105.00000,9197.00000,-1708.00000,4375.00000,18496.00000
2022-09-30,373.00000,1985.00000,1682.00000,404.00000,4444.00000,3564.00000,427.00000,7993.00000,1980.00000,14572.00000,19016.00000,6033.00000,5697.00000,544.00000,8245.00000,14278.00000,105.00000,9499.00000,-1598.00000,4738.00000,19016.00000
2022-06-30,323.00000,1884.00000,1678.00000,376.00000,4261.00000,3656.00000,426.00000,8104.00000,1847.00000,14676.00000,18937.00000,6051.00000,5838.00000,498.00000,8328.00000,14379.00000,105.00000,9387.00000,-1601.00000,4558.00000,18937.00000
2022-03-31,313.00000,1687.00000,1559.00000,257.00000,3816.00000,3773.00000,425.00000,8192.00000,1725.00000,14796.00000,18612.00000,5848.00000,5953.00000,513.00000,8469.00000,14317.00000,105.00000,9254.00000,-1611.00000,4295.00000,18612.00000
2021-12-31,286.00000,1489.00000,1398.00000,221.00000,3394.00000,3827.00000,424.00000,8180.00000,1713.00000,14784.00000,18178.00000,5315.00000,6262.00000,456.00000,8648.00000,13963.00000,105.00000,9028.00000,-1721.00000,4215.00000,18178.00000
2021-09-30,440.00000,1680.00000,1378.00000,301.00000,3799.00000,3753.00000,423.00000,8235.00000,1546.00000,14608.00000,18407.00000,5029.00000,7020.00000,495.00000,9369.00000,14398.00000,105.00000,8796.00000,-1693.00000,4009.00000,18407.00000
2021-06-30,395.00000,1659.00000,1365.00000,328.00000,3747.00000,3666.00000,394.00000,8237.00000,1508.00000,14466.00000,18213.00000,4946.00000,7029.00000,506.00000,9387.00000,14333.00000,105.00000,8688.00000,-1663.00000,3880.00000,18213.00000
2021-03-31,391.00000,1660.00000,1319.00000,269.00000,3639.00000,3636.00000,397.00000,8217.00000,1534.00000,14425.00000,18064.00000,5385.00000,6655.00000,507.00000,9024.00000,14409.00000,105.00000,8506.00000,-1665.00000,3655.00000,18064.00000
2020-12-31,435.00000,1537.00000,1284.00000,226.00000,3482.00000,3713.00000,391.00000,8290.00000,1462.00000,14514.00000,17996.00000,5238.00000,6746.00000,525.00000,9122.00000,14360.00000,105.00000,8326.00000,-1732.00000,3636.00000,17996.00000
2020-09-30,1579.00000,1626.00000,1263.00000,285.00000,4753.00000,3484.00000,398.00000,8278.00000,1352.00000,14169.00000,18922.00000,6034.00000,7000.00000,520.00000,9302.00000,15336.00000,105.00000,8318.00000,-1757.00000,3586.00000,18922.00000
2020-06-30,1247.00000,1692.00000,1230.00000,323.00000,4492.00000,3436.00000,399.00000,8254.00000,1308.00000,14059.00000,18551.00000,5856.00000,6929.00000,534.00000,9289.00000,15145.00000,105.00000,8166.00000,-1717.00000,3406.00000,18551.00000
2020-03-31,1016.00000,1748.00000,1189.00000,337.00000,4290.00000,3440.00000,402.00000,8275.00000,1237.00000,13950.00000,18240.00000,5595.00000,7163.00000,515.00000,9433.00000,15028.00000,105.00000,8010.00000,-1727.00000,3212.00000,18240.00000
2019-12-31,397.00000,1576.00000,1226.00000,232.00000,3431.00000,3612.00000,404.00000,8437.00000,1139.00000,14133.00000,17564.00000,4778.00000,7195.00000,543.00000,9472.00000,14250.00000,105.00000,7859.00000,-1448.00000,3314.00000,17564.00000
