,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2019-09-30,4538.00000,8155.00000,1491.00000,14184.00000,29071.00000,5914.00000,1415.00000,39098.00000,53282.00000,12835.00000,21740.00000,2741.00000,34873.00000,47708.00000,9.00000,10037.00000,-4617.00000,5574.00000,53282.00000
2019-06-30,4797.00000,8672.00000,1374.00000,14843.00000,28095.00000,5932.00000,1297.00000,37944.00000,52787.00000,13633.00000,20427.00000,2807.00000,34731.00000,48364.00000,9.00000,9109.00000,-4815.00000,4423.00000,52787.00000
2019-03-31,5111.00000,8460.00000,1333.00000,14904.00000,27247.00000,5906.00000,1308.00000,37157.00000,52061.00000,13209.00000,20377.00000,2869.00000,35367.00000,48576.00000,9.00000,8249.00000,-4818.00000,3485.00000,52061.00000
2018-12-31,5035.00000,9898.00000,1277.00000,16210.00000,26576.00000,5886.00000,1203.00000,33806.00000,50016.00000,14087.00000,19931.00000,2995.00000,32892.00000,46979.00000,9.00000,8006.00000,-4994.00000,3037.00000,50016.00000
2018-09-30,4841.00000,7814.00000,1336.00000,13991.00000,25379.00000,5895.00000,1231.00000,32698.00000,46689.00000,12222.00000,20101.00000,3159.00000,31341.00000,43563.00000,9.00000,8377.00000,-5288.00000,3126.00000,46689.00000
2018-06-30,4934.00000,7670.00000,1270.00000,13874.00000,23901.00000,5865.00000,1373.00000,31349.00000,45223.00000,11488.00000,20120.00000,3258.00000,31379.00000,42867.00000,9.00000,7665.00000,-5346.00000,2356.00000,45223.00000
2018-03-31,4209.00000,7894.00000,1517.00000,13620.00000,23239.00000,5918.00000,1423.00000,30844.00000,44464.00000,11149.00000,20409.00000,3641.00000,31940.00000,43089.00000,9.00000,6973.00000,-5638.00000,1375.00000,44464.00000
2017-12-31,4069.00000,10346.00000,1303.00000,15718.00000,22118.00000,5836.00000,1636.00000,29856.00000,45574.00000,12886.00000,20278.00000,3569.00000,31664.00000,44550.00000,9.00000,5852.00000,-4867.00000,1024.00000,45574.00000
2017-09-30,4461.00000,6937.00000,1512.00000,12910.00000,20988.00000,5735.00000,1405.00000,28446.00000,41356.00000,12167.00000,14355.00000,3145.00000,27650.00000,39817.00000,9.00000,5724.00000,-4224.00000,1539.00000,41356.00000
2017-06-30,4604.00000,6553.00000,1237.00000,12394.00000,19841.00000,5674.00000,1453.00000,27330.00000,39724.00000,11082.00000,14257.00000,3035.00000,27368.00000,38450.00000,9.00000,5437.00000,-4202.00000,1274.00000,39724.00000
2017-03-31,3718.00000,6475.00000,1301.00000,11494.00000,19225.00000,5557.00000,1578.00000,26886.00000,38380.00000,11406.00000,12938.00000,2976.00000,26414.00000,37820.00000,9.00000,4988.00000,-4462.00000,560.00000,38380.00000
2016-12-31,4567.00000,8328.00000,954.00000,13849.00000,18800.00000,5515.00000,1622.00000,26528.00000,40377.00000,11730.00000,12394.00000,3018.00000,28218.00000,39948.00000,9.00000,4879.00000,-4483.00000,429.00000,40377.00000
2016-09-30,5358.00000,6272.00000,1223.00000,12853.00000,18489.00000,4973.00000,1571.00000,25489.00000,38342.00000,10889.00000,11506.00000,3056.00000,24686.00000,35575.00000,9.00000,6385.00000,-3651.00000,2767.00000,38342.00000
2016-06-30,5672.00000,6111.00000,1340.00000,13123.00000,18251.00000,4977.00000,1678.00000,25216.00000,38339.00000,9961.00000,11550.00000,3077.00000,25728.00000,35689.00000,9.00000,6223.00000,-3606.00000,2650.00000,38339.00000
2016-03-31,6267.00000,6241.00000,1404.00000,13912.00000,18285.00000,5009.00000,1634.00000,25256.00000,39168.00000,11098.00000,11569.00000,3078.00000,25590.00000,36688.00000,9.00000,6095.00000,-3647.00000,2480.00000,39168.00000
2015-12-31,4726.00000,7134.00000,1348.00000,13208.00000,18352.00000,4968.00000,1528.00000,25103.00000,38311.00000,10696.00000,11316.00000,3055.00000,25124.00000,35820.00000,9.00000,6001.00000,-3540.00000,2491.00000,38311.00000
2015-09-30,5689.00000,6055.00000,1283.00000,13581.00000,18163.00000,4965.00000,1637.00000,25421.00000,39002.00000,11869.00000,10044.00000,3072.00000,25185.00000,37054.00000,9.00000,5771.00000,-3851.00000,1948.00000,39002.00000
2015-06-30,6222.00000,5618.00000,1374.00000,13768.00000,17970.00000,3092.00000,1600.00000,23483.00000,37251.00000,10303.00000,9900.00000,3266.00000,24980.00000,35283.00000,9.00000,5668.00000,-3727.00000,1968.00000,37251.00000
2015-03-31,6417.00000,5724.00000,1363.00000,13915.00000,17901.00000,2984.00000,1777.00000,23417.00000,37332.00000,10610.00000,9941.00000,3269.00000,24875.00000,35485.00000,9.00000,5508.00000,-3688.00000,1847.00000,37332.00000
2014-12-31,3283.00000,6661.00000,1274.00000,11218.00000,18281.00000,3031.00000,1691.00000,24222.00000,35440.00000,8621.00000,9856.00000,3275.00000,24661.00000,33282.00000,9.00000,5726.00000,-3594.00000,2158.00000,35440.00000
2014-09-30,5571.00000,5822.00000,1334.00000,13318.00000,17843.00000,2982.00000,1763.00000,22588.00000,35906.00000,9096.00000,9858.00000,3283.00000,21166.00000,30262.00000,9.00000,6229.00000,-611.00000,5644.00000,35906.00000
2014-06-30,4599.00000,5845.00000,1259.00000,12341.00000,17787.00000,3032.00000,1701.00000,22520.00000,34861.00000,8337.00000,9940.00000,3427.00000,20939.00000,29276.00000,9.00000,6155.00000,-596.00000,5585.00000,34861.00000
2014-03-31,7035.00000,5804.00000,1096.00000,14620.00000,17769.00000,3004.00000,1692.00000,22465.00000,37085.00000,9193.00000,9860.00000,3390.00000,21630.00000,30823.00000,9.00000,6727.00000,-489.00000,6262.00000,37085.00000
2013-12-31,5245.00000,6502.00000,956.00000,13387.00000,17961.00000,2965.00000,1789.00000,22825.00000,36212.00000,7131.00000,10824.00000,3474.00000,22593.00000,29724.00000,9.00000,6925.00000,-460.00000,6488.00000,36212.00000
2013-09-30,6649.00000,5592.00000,930.00000,13758.00000,17992.00000,2951.00000,1802.00000,23718.00000,37476.00000,7821.00000,10897.00000,3483.00000,26000.00000,33821.00000,9.00000,7102.00000,-3469.00000,3655.00000,37476.00000
2013-06-30,6192.00000,5438.00000,1032.00000,13226.00000,17880.00000,2827.00000,1807.00000,23477.00000,36703.00000,7183.00000,10837.00000,3627.00000,25890.00000,33073.00000,9.00000,7185.00000,-3577.00000,3630.00000,36703.00000
2013-03-31,7332.00000,5617.00000,950.00000,14481.00000,17888.00000,2805.00000,1957.00000,23524.00000,38005.00000,8034.00000,11051.00000,3634.00000,25928.00000,33962.00000,9.00000,7614.00000,-3595.00000,4043.00000,38005.00000
2012-12-31,7924.00000,6111.00000,973.00000,15591.00000,17894.00000,2776.00000,1918.00000,23272.00000,38863.00000,8390.00000,11089.00000,3535.00000,25740.00000,34130.00000,10.00000,7997.00000,-3354.00000,4733.00000,38863.00000
2012-09-30,9016.00000,5545.00000,1214.00000,16344.00000,17829.00000,2784.00000,2107.00000,22720.00000,39064.00000,10289.00000,11148.00000,3468.00000,21161.00000,31450.00000,10.00000,10448.00000,-2929.00000,7614.00000,39064.00000
2012-06-30,7322.00000,5541.00000,1246.00000,14702.00000,17597.00000,2767.00000,2111.00000,22475.00000,37177.00000,8400.00000,11112.00000,2737.00000,21052.00000,29452.00000,10.00000,10827.00000,-3192.00000,7725.00000,37177.00000
2012-03-31,6080.00000,5637.00000,1121.00000,13473.00000,17614.00000,2811.00000,2065.00000,22490.00000,35963.00000,7543.00000,11079.00000,2507.00000,20921.00000,28464.00000,10.00000,10433.00000,-3020.00000,7499.00000,35963.00000
