,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,94.35400,,94.35400,9877.08000,1642.22700,11519.31000,11840.64000,191.18300,6993.53400,352.79800,7346.33200,7771.34700,1.33900,-139.25000,48.52100,4069.29800,11840.64000
2022-06-30,70.16600,,70.16600,9135.46400,1601.09200,10736.56000,11038.77000,171.91800,6387.64000,347.57700,6735.21700,7145.52700,1.33900,-159.09100,25.55500,3893.24000,11038.77000
2022-03-31,72.66600,,72.66600,8940.72400,1341.39900,10282.12000,10591.75000,136.85600,6012.66600,321.22200,6333.88800,6713.58600,1.34300,-127.19300,6.45700,3878.16400,10591.75000
2021-12-31,71.12600,,71.12600,8834.64900,1340.75300,10175.40000,10474.48000,142.28500,5957.74700,355.11300,6312.85900,6688.50100,1.33900,-128.24500,-42.54600,3785.97600,10474.48000
2021-09-30,81.28200,,81.28200,8272.67100,1125.22200,9397.89300,9708.35900,164.67400,5583.82800,342.86400,5926.69200,6325.48400,1.33800,-229.26900,-64.15500,3382.87500,9708.35900
2021-06-30,59.74900,,59.74900,8113.07400,1056.34000,9169.41400,9463.09200,150.09100,5370.88200,342.75300,5713.63500,6102.13700,1.33700,-250.27100,-71.83000,3360.95500,9463.09200
2021-03-31,62.79500,,62.79500,7944.39500,1090.49500,9034.89000,9336.61200,129.04400,5300.41700,349.55000,5649.96700,6021.96300,1.33600,-284.44200,-77.18000,3314.64900,9336.61200
2020-12-31,128.00900,,128.00900,7893.80200,1121.86500,9015.66700,9395.84800,130.01200,5746.30300,319.92400,6066.22700,6459.72400,1.31400,-354.90000,-99.09300,2936.12400,9395.84800
2020-09-30,80.57400,,80.57400,7755.94700,668.42900,8424.37600,8761.10400,153.83800,5280.22200,292.12900,5572.35100,5993.28200,1.29100,-392.89100,-108.70800,2767.82200,8761.10400
2020-06-30,61.75100,,61.75100,7673.72400,533.11500,8206.83900,8529.89400,132.25700,5080.89800,299.34590,5380.24400,5784.37600,1.29100,-391.28500,-119.25600,2745.51800,8529.89400
2020-03-31,97.93000,,97.93000,7689.62100,502.25400,8191.87500,8549.48600,116.06900,5125.79700,262.81600,5388.61300,5774.85600,1.29000,-362.26400,-113.84000,2774.63000,8549.48600
2019-12-31,70.73300,,70.73300,7696.86400,500.13700,8197.00100,8532.37700,111.38200,5046.48600,178.03200,5224.51800,5610.68300,1.29500,-301.04900,-28.96600,2921.69400,8532.37700
2019-09-30,66.71500,,66.71500,7665.56700,316.83000,7982.39700,8318.43000,122.65800,4812.00000,196.73400,5008.73400,5410.44100,1.29400,-296.75200,-43.43900,2907.98900,8318.43000
2019-06-30,55.64400,,55.64400,7667.03300,446.56300,8113.59600,8390.71900,115.05600,5038.19800,177.83800,5216.03600,5561.90800,1.28500,-288.39900,-27.47600,2828.81100,8390.71900
2019-03-31,46.82800,,46.82800,7688.61700,302.87100,7991.48800,8132.51400,99.30200,5001.09400,154.72800,5155.82200,5358.70200,1.27400,-277.65500,11.80700,2773.81200,8132.51400
2018-12-31,72.69000,,72.69000,7491.83100,283.45700,7775.28800,7847.97800,101.46100,4811.51500,149.58000,4961.09500,5062.55600,1.27100,-262.90200,34.65000,2785.42200,7847.97800
2018-09-30,66.58300,,66.58300,7425.80600,306.30100,7732.10700,7798.69000,126.53900,4761.45500,140.60200,4902.05700,5028.59600,1.26400,-255.06500,68.36200,2770.09400,7798.69000
2018-06-30,69.10600,,69.10600,7390.08000,262.76300,7652.84300,7721.94900,107.25200,4767.49500,131.40000,4898.89500,5006.14700,1.26100,-276.68800,62.93000,2715.80200,7721.94900
2018-03-31,54.06400,,54.06400,7171.59900,244.96100,7416.56000,7470.62400,108.93100,4514.36300,130.68400,4645.04700,4753.97800,1.26000,-263.35500,55.27100,2716.64600,7470.62400
2017-12-31,86.04400,,86.04400,7132.43100,242.47800,7374.90900,7460.95300,96.08700,4554.21700,86.84200,4641.05900,4737.14600,1.26000,-253.28400,33.29000,2723.80700,7460.95300
2017-09-30,81.00900,4.61800,85.62700,6770.08600,231.24200,7001.32800,7086.95500,114.24700,4313.01200,85.97100,4398.98300,4513.23000,1.26000,-370.95900,17.73100,2573.72500,7086.95500
2017-06-30,48.41200,4.67600,53.08800,6782.78800,201.58700,6984.37500,7037.46300,92.67800,4288.70900,77.39300,4366.10200,4458.78000,1.26000,-366.43700,17.00300,2578.68300,7037.46300
2017-03-31,41.54200,6.25100,47.79300,6770.59300,215.97100,6986.56400,7034.35700,77.10600,4291.45500,79.98100,4371.43600,4448.54200,1.25900,-355.18700,22.81600,2585.81500,7034.35700
2016-12-31,57.74200,16.61100,74.35300,6770.44700,246.64600,7017.09300,7091.44600,101.38800,4306.22300,87.66900,4393.89200,4495.28000,1.25900,-339.25700,16.77000,2596.16600,7091.44600
2016-09-30,35.13400,9.15600,44.29000,6458.76300,239.00300,6697.76600,6742.05600,102.47000,3991.89900,118.31500,4110.21400,4212.68400,1.25800,-323.47200,-41.09400,2529.37200,6742.05600
2016-06-30,56.29000,0.48500,56.77500,6164.78700,237.43600,6402.22300,6458.99800,91.18800,3797.00000,127.59300,3924.59300,4015.78100,1.25200,-343.44400,-53.84500,2443.21700,6458.99800
2016-03-31,81.75600,15.73900,97.49500,5933.95900,259.96500,6193.92400,6291.41900,77.10800,3682.18800,106.73800,3788.92600,3866.03400,1.25100,-328.80100,-35.93900,2425.38500,6291.41900
2015-12-31,106.53700,2.20500,108.74200,5689.30900,273.35600,5962.66500,6071.40700,82.69300,3535.62100,80.48900,3616.11000,3698.80300,1.24100,-337.56600,-6.35200,2372.60400,6071.40700
2015-09-30,1344.16100,3.01600,1347.17700,4452.25100,203.40800,4655.65900,6002.83600,76.30300,3467.79900,71.39400,3539.19300,3615.49600,1.23300,-273.01500,-20.81200,2387.34000,6002.83600
2015-06-30,201.31700,2.07100,203.38800,4452.04600,178.31600,4630.36200,4833.75000,69.37800,2288.45600,52.63800,2341.09400,2410.47200,1.22800,-272.13000,-1.81900,2423.27800,4833.75000
2015-03-31,80.65400,3.13600,83.79000,4197.85300,182.50200,4380.35500,4464.14500,71.55300,2431.91200,53.62500,2485.53700,2557.09000,1.16400,-258.72800,-7.80000,1907.05500,4464.14500
2014-12-31,72.90800,11.77800,84.68600,4135.69600,161.60500,4297.30100,4381.98700,65.52100,2349.76400,54.71900,2404.48300,2470.00400,1.16300,-257.73800,-1.48400,1911.98300,4381.98700
2014-09-30,75.42100,12.28300,87.70400,3954.75900,183.43200,4138.19100,4225.89500,73.52800,2178.88100,39.88800,2218.76900,2292.29700,1.16000,-248.17900,3.73500,1933.59800,4225.89500
2014-06-30,74.59600,12.64000,87.23600,3941.04200,180.61200,4121.65400,4208.89000,65.53900,2163.62700,49.01600,2212.64300,2278.18200,1.16000,-247.87100,2.07300,1930.70800,4208.89000
