,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,68.77600,188.86300,257.63900,9442.20400,197.74500,618.17400,10327.07000,10860.22000,317.25900,3726.75400,424.44600,4151.20000,4682.18100,1.71100,-1764.97700,7.56000,6178.03900,10860.22000
2022-09-30,154.98400,173.57200,328.55600,9409.13300,204.09700,610.30400,10292.62000,10898.84000,328.28500,3729.40400,427.30800,4156.71200,4700.09700,1.71100,-1749.01300,8.25300,6198.74000,10898.84000
2022-06-30,121.19000,159.64300,280.83300,9461.11700,214.26400,601.84100,10342.83000,10901.82000,322.40900,3737.38000,421.09100,4158.47100,4695.68000,1.71100,-1729.64500,2.38800,6206.13500,10901.82000
2022-03-31,178.73000,151.85200,330.58200,9331.62300,205.33300,627.78000,10229.69000,10840.16000,278.26500,3716.71700,423.78500,4140.50200,4634.47200,1.71400,-1726.55600,-1.76400,6205.69200,10840.16000
2021-12-31,95.02700,153.09100,248.11800,9320.61800,212.70700,664.59600,10263.66000,10792.56000,322.27100,3718.94400,425.62800,4144.57200,4682.63100,1.71200,-1814.81400,-10.22700,6109.93200,10792.56000
2021-09-30,362.68500,139.28700,501.97200,9152.80600,173.92600,672.83300,10067.61000,10853.90000,327.71000,3749.27300,414.68000,4163.95300,4710.43900,1.71200,-1775.66800,-12.61800,6143.46400,10853.90000
2021-06-30,286.61300,131.51000,418.12300,9016.04600,169.11900,685.83400,9937.60300,10640.17000,313.89600,3650.30700,417.86300,4068.17000,4600.13500,1.69900,-1791.77300,-13.65800,6040.03100,10640.17000
2021-03-31,139.32000,127.45500,266.77500,9035.40600,178.78400,792.88700,10073.21000,10625.99000,285.32000,3652.24200,426.27500,4078.51700,4582.94400,1.69800,-1786.19600,-12.51200,6043.04400,10625.99000
2020-12-31,378.45000,143.63300,522.08300,9107.75000,188.79900,762.53500,10126.99000,10936.90000,302.36100,3923.08400,432.92200,4356.00600,4878.75700,1.69700,-1765.80600,-18.62500,6058.14700,10936.90000
2020-09-30,280.87600,159.13700,440.01300,9200.61900,201.47200,785.89800,10258.49000,10986.64000,222.37500,3988.52800,442.53100,4431.05900,4873.51600,1.69700,-1703.33800,-23.22000,6113.12300,10986.64000
2020-06-30,587.35800,186.23200,773.59000,9272.31700,215.37600,761.94700,10322.98000,11386.31000,223.99000,4293.29800,450.78400,4744.08200,5189.10700,1.69700,-1615.07700,-25.13500,6197.20200,11386.31000
2020-03-31,736.84500,148.05800,884.90300,9308.60700,228.81900,777.88900,10392.42000,11568.31000,194.83500,4414.85700,461.68100,4876.53800,5293.07600,1.69600,-1533.18200,-25.53100,6275.23500,11568.31000
2019-12-31,115.56200,169.33700,284.89900,9329.13200,242.82200,905.81600,10554.57000,11132.25000,213.70500,3919.54400,486.12500,4405.66900,4842.29200,1.67600,-1408.06200,-11.99700,6289.96100,11132.25000
2019-09-30,47.46100,161.38100,208.84200,9418.27600,264.68100,907.37100,10670.06000,11172.95000,219.52900,3887.26800,502.72500,4389.99300,4833.10300,1.67600,-1350.33100,-15.80400,6339.84700,11172.95000
2019-06-30,37.36400,157.88300,195.24700,9221.77600,262.55300,891.34590,10456.86000,10947.19000,188.72300,3678.46500,503.19400,4181.65900,4594.34100,1.67600,-1309.27800,-14.08600,6352.84800,10947.19000
