,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1536.70000,9412.30000,10949.00000,645.10000,7609.60000,3504.70000,738.30000,22174.80000,33123.80000,26398.60000,2129.90000,366.60000,2496.50000,28895.10000,0.60000,3699.30000,-986.20000,4228.70000,33123.80000
2022-09-30,1429.80000,9850.69900,11280.50000,617.60000,7601.20000,3501.90000,666.70000,21965.20000,33245.70000,26643.00000,2129.30000,374.50000,2503.80000,29146.80000,0.60000,3678.90000,-1084.90000,4098.90000,33245.70000
2022-06-30,1182.00000,8471.69900,9653.69900,608.80000,7702.00000,3631.60000,773.60000,22075.00000,31728.70000,24801.50000,2128.80000,338.70000,2467.50000,27269.00000,0.60000,3774.20000,-822.20000,4459.70000,31728.70000
2022-03-31,1250.90000,8335.80000,9586.70000,585.30000,8308.30000,3748.80000,1768.10000,23435.90000,33022.60000,24395.30000,2203.00000,1403.20000,3606.20000,28001.50000,0.60000,3976.50000,-485.30000,5021.10000,33022.60000
2021-12-31,2040.80000,8123.70000,10164.50000,561.40000,8733.69900,3874.20000,1775.80000,23756.10000,33920.60000,24825.00000,2202.50000,1429.00000,3631.50000,28456.50000,0.70000,4041.20000,-150.00000,5464.10000,33920.60000
2021-09-30,2027.90000,8837.80000,10865.70000,529.00000,9260.19900,3916.90000,504.80000,22759.10000,33624.80000,25317.00000,2201.90000,361.50000,2563.40000,27880.40000,0.70000,4219.30000,-84.10000,5744.40000,33624.80000
2021-06-30,2746.00000,8402.39900,11148.40000,495.20000,7956.40000,4084.40000,14173.80000,34846.40000,45994.80000,24680.10000,2550.50000,12855.80000,15406.30000,40086.40000,0.70000,3640.30000,604.00000,5908.40000,45994.80000
2021-03-31,1651.30000,8452.30000,10103.60000,469.10000,7943.30000,4246.70000,13998.20000,34307.00000,44410.60000,23645.00000,2203.70000,12736.30000,14940.00000,38585.00000,0.70000,3635.50000,504.50000,5825.60000,44410.60000
2020-12-31,2207.60000,8154.30000,10361.90000,446.10000,8289.80000,4437.70000,13726.40000,34288.00000,44649.90000,23960.80000,2252.90000,12481.40000,14734.30000,38695.10000,0.60000,3548.70000,709.80000,5954.80000,44649.90000
2020-09-30,2203.00000,11372.90000,13575.90000,468.40000,15338.90000,4247.40000,2546.50000,30006.70000,43582.60000,33266.70000,2008.60000,2367.30000,4375.90000,37642.60000,1.60000,6126.00000,658.20000,5940.00000,43582.60000
2020-06-30,2137.50000,11057.30000,13194.80000,450.10000,16460.00000,4563.40000,2561.70000,31038.40000,44233.20000,32299.50000,2208.00000,3741.20000,5949.20000,38248.70000,1.60000,6194.40000,568.90000,5984.50000,44233.20000
2020-03-31,1999.90000,11175.50000,13175.40000,438.10000,15708.70000,4610.50000,2288.70000,30247.90000,43423.30000,32247.60000,2207.50000,3582.00000,5789.50000,38037.10000,1.60000,6061.10000,88.40000,5386.20000,43423.30000
2019-12-31,1867.10000,11286.20000,13153.30000,433.70000,16718.50000,4887.90000,2429.80000,31137.90000,44291.20000,32756.10000,2006.90000,3846.10000,5853.00000,38609.10000,1.60000,5966.40000,411.50000,5682.10000,44291.20000
2019-09-30,1749.30000,11277.70000,13027.00000,418.80000,16756.20000,5141.10000,2247.20000,30724.50000,43751.50000,32313.40000,2006.30000,3741.40000,5747.70000,38061.10000,1.60000,5882.90000,405.20000,5690.40000,43751.50000
2019-06-30,1490.40000,10908.30000,12398.70000,419.20000,16643.30000,5456.80000,2453.90000,30740.80000,43139.50000,31470.80000,2007.30000,3901.10000,5908.40000,37379.20000,1.60000,5980.90000,328.70000,5760.30000,43139.50000
