,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,993.56400,663.23600,91.17400,,1747.97400,53.85300,214.38900,2788.18700,37.34100,3249.56100,4997.53500,1250.52700,4503.23300,91.02700,4754.93300,6005.46000,1.33600,3473.19200,-60.21100,-1007.92500,4997.53500
2022-09-30,867.11200,525.36000,134.43600,,1526.90800,54.34100,215.37000,2791.72300,29.47400,3250.61900,4777.52700,1067.25200,4504.29100,98.96800,4787.66600,5854.91800,1.33600,3358.89200,-74.01200,-1077.39100,4777.52700
2022-06-30,842.30000,586.81500,59.96600,,1489.08100,59.39000,216.55400,2807.51600,68.47300,3344.27100,4833.35200,1120.28000,4505.33800,97.84500,4739.51800,5859.79800,1.33600,3243.65400,-64.70100,-1026.44600,4833.35200
2022-03-31,679.31500,592.32600,60.78000,,1332.42100,64.68200,218.12800,2820.25700,68.36100,3359.40800,4691.82900,1160.42600,4162.46500,104.88500,4410.59200,5571.01800,1.33600,3117.66000,-60.81700,-879.18900,4691.82900
2021-12-31,1421.44900,664.51100,57.45000,,2143.41000,66.71500,218.76300,2829.72700,63.38500,3363.29300,5506.70300,1250.93700,4161.42200,104.13200,4419.23200,5670.17000,1.33200,2976.51700,-58.79500,-163.46700,5506.70300
2021-09-30,1284.66400,496.72600,65.96100,,1847.35100,70.54300,186.50200,2828.04800,27.67400,3295.31800,5142.66900,1016.92900,4160.37900,91.57500,4405.76500,5422.69400,1.33200,2869.12700,-61.67500,-280.02500,5142.66900
2021-06-30,1972.00200,488.57000,97.97100,,2558.54300,71.43200,187.45200,1775.08500,24.79800,2232.53300,4791.07600,950.67200,3963.62200,90.95700,4208.21100,5158.88300,1.33100,2785.72700,-59.00900,-367.80700,4791.07600
2021-03-31,1747.14700,506.84900,52.64300,,2306.63900,75.71200,187.88900,1796.13600,24.30600,2258.89000,4565.52900,1425.32700,3369.46900,88.60500,3621.78400,5047.11100,1.33100,2685.16700,-59.81600,-481.58200,4565.52900
2020-12-31,1300.52100,558.56900,66.50800,,1925.59800,80.44600,190.89800,1800.77000,23.97800,2273.04900,4198.64700,1021.76900,3366.77700,88.21900,3620.11200,4641.88100,1.32800,2554.29500,-58.85900,-443.23400,4198.64700
2020-09-30,1302.85800,429.80400,110.43000,,1843.09200,78.96500,190.20600,1803.23500,18.72100,2268.62700,4111.71900,834.85400,3365.78300,81.01100,3663.45100,4498.30500,1.32800,2463.10800,-65.29600,-386.58600,4111.71900
2020-06-30,1384.97700,466.09600,58.79800,,1909.87100,83.26400,190.85600,1806.43300,17.92200,2277.54700,4187.41800,845.00300,3364.78900,77.31400,3653.34700,4498.35000,1.32800,2346.58000,-71.06800,-310.93200,4187.41800
2020-03-31,1066.85600,481.99000,70.92700,,1619.77300,86.27800,190.82200,1812.82300,18.46100,2292.02600,3911.79900,798.27900,3170.06100,77.84700,3467.85100,4266.13000,1.32800,2288.81700,-72.20400,-354.33100,3911.79900
2019-12-31,1506.56700,499.26800,75.94200,,2081.77700,90.70800,,1824.35500,20.28200,2122.66200,4204.43900,900.78600,3071.92600,77.65800,3380.36700,4281.15300,1.32400,2199.29400,-62.57900,-76.71400,4204.43900
2019-09-30,881.15000,409.51900,95.41900,,1386.08800,86.41500,,1806.02000,19.69300,2093.65400,3479.74200,744.52100,2578.15900,68.39100,2883.07700,3627.59800,1.32300,2134.68800,-62.09800,-147.85600,3479.74200
2019-06-30,771.11700,438.31300,113.65200,,1323.08200,85.87500,,1813.81500,18.50700,2102.00800,3425.09000,766.95700,2577.27300,68.43400,2889.93500,3656.89200,1.32300,2055.88100,-57.75900,-231.80200,3425.09000
2019-03-31,642.78100,427.09900,108.04600,,1177.92600,86.08700,,1821.53700,19.23100,2117.63900,3295.56500,720.79900,2576.38800,66.80100,2891.27400,3612.07300,1.32300,1979.80400,-57.20200,-316.50800,3295.56500
2018-12-31,904.17600,473.43300,57.48000,,1435.08900,90.87700,,1826.56400,20.51900,1952.86300,3387.95200,809.00800,2575.50200,87.92800,2745.43800,3554.44600,1.30000,1856.95100,-58.39900,-166.49400,3387.95200
2018-09-30,1398.39800,378.70500,61.24800,18.99500,1857.34600,82.74500,,1834.44700,20.00700,1949.05900,3806.40500,675.05000,2574.61600,107.66900,2752.91400,3427.96400,1.30000,1755.72700,-58.20900,378.44100,3806.40500
