,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,74.57100,1902.47200,217.81800,261.69800,2456.55900,5936.39800,3874.02100,592.58800,10922.34000,13378.90000,1939.20000,4638.35600,500.11900,5535.62000,7474.82000,0.71800,6442.41800,2.02200,-589.80500,5904.08000,13378.90000
2022-06-30,132.65800,1835.23800,209.56900,258.76000,2436.22500,5970.71900,3912.38200,558.25000,10859.88000,13296.10000,1991.69800,4599.20400,496.63900,5400.48900,7392.18700,0.73300,6404.66000,-15.53500,-575.19800,5903.91600,13296.10000
2022-03-31,105.99900,1754.87700,208.30200,232.72400,2301.90200,5918.46700,3949.78800,551.50900,10842.54000,13144.45000,2146.21600,4250.68900,475.00600,5035.65200,7181.86800,0.74900,6414.80800,12.76500,-560.45000,5962.57800,13144.45000
2021-12-31,115.30100,1746.63500,206.83900,194.78100,2263.55600,5874.27500,3962.62400,573.37900,10829.99000,13093.54000,1984.10900,4141.87900,464.75900,4916.38100,6900.49000,0.77100,6604.08900,30.29100,-545.48700,6193.05300,13093.54000
2021-09-30,189.74300,1764.21400,202.82400,186.51800,2343.29900,5687.70400,3888.99900,562.15200,10503.55000,12846.85000,1968.81700,3709.31600,545.28200,4510.23800,6479.05500,0.80500,6776.16800,26.89400,-529.84600,6367.79800,12846.85000
2021-06-30,199.01700,1787.93100,195.14100,183.21600,2365.30500,5629.89700,3903.26600,557.12600,10447.33000,12812.63000,1968.81000,3486.22200,522.00700,4271.74500,6240.55500,0.83300,6956.52000,36.12400,-513.37700,6572.08000,12812.63000
2021-03-31,764.50200,1668.65000,193.96100,157.05200,2784.16500,5495.60200,3886.97300,574.59000,10312.16000,13096.33000,2239.37900,3505.82200,476.37700,4255.11100,6494.49000,0.85400,6970.28900,39.24000,-496.52100,6601.83900,13096.33000
2020-12-31,1224.49000,1728.92800,190.41700,138.03400,3281.86900,5373.12400,3882.71500,574.98400,10195.01000,13476.88000,2481.03900,3524.25300,781.16600,4593.87300,7074.91200,0.85100,6747.67800,48.12000,-479.50300,6401.96700,13476.88000
2020-09-30,1101.23000,1540.74700,176.10500,143.07200,2961.15400,5248.83700,3854.26500,556.25800,10014.60000,12975.76000,2634.22200,3514.67300,488.45700,4306.43800,6940.66000,0.85000,6426.92000,14.52100,-479.50300,6035.09800,12975.76000
2020-06-30,539.62200,1438.69700,167.62600,150.84200,2296.78700,5104.54900,3836.02000,549.12400,9851.71100,12148.50000,2259.16900,3449.94000,374.61600,4127.75800,6386.92700,0.85000,6166.72200,0.57800,-479.50300,5761.57200,12148.50000
2020-03-31,54.61900,1486.82900,162.59700,130.30100,1834.34600,5042.29100,3836.56600,542.54100,9786.08000,11620.43000,1689.95100,3735.79900,387.66900,4445.43200,6135.38300,0.84900,5897.06300,-5.20000,-479.50300,5485.04300,11620.43000
2019-12-31,61.26800,1560.84700,159.88900,133.93000,1915.93400,5016.69800,3869.76000,516.77800,9752.31600,11668.25000,1563.39000,3896.57700,329.93200,4525.98900,6089.37900,0.86700,5933.50400,31.89300,-462.15900,5578.87100,11668.25000
2019-09-30,58.90500,1544.07700,156.28500,171.36000,1930.62700,4958.40900,3827.86700,522.04500,9663.77400,11594.40000,1621.76900,3870.29400,338.87100,4508.68700,6130.45600,0.88000,5851.24600,-18.19900,-444.71200,5463.94500,11594.40000
2019-06-30,61.29700,1601.35200,153.57400,148.80900,1965.03200,4944.69800,3843.42900,644.07600,9787.61800,11752.65000,1544.26900,4057.12100,369.22900,4743.93000,6288.19900,0.88300,5827.25100,-7.93600,-427.10900,5464.45100,11752.65000
2019-03-31,62.72600,1602.40500,149.92800,145.38200,1960.44100,4914.83800,3856.66400,633.74500,9760.83600,11721.28000,1656.76600,3821.93800,364.33400,4512.20000,6168.96600,0.91000,5910.21300,-10.47100,-418.23700,5552.31100,11721.28000
2018-12-31,105.22000,1509.90900,148.20600,174.46700,1937.80200,4847.94000,3844.62800,621.05800,9327.67900,11265.48000,1448.73800,3935.18700,361.80900,4350.94900,5799.68700,0.91400,5793.26200,4.24200,-409.15600,5465.79300,11265.48000
