,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,4867.70000,14567.70000,2382.10000,719.70000,22537.20000,3299.40000,4787.00000,8086.40000,30623.60000,8470.10000,7082.30000,1363.00000,9260.00000,17730.10000,347.80000,13760.80000,-1393.10000,12893.50000,30623.60000
2022-06-30,4790.50000,14608.90000,2232.20000,692.10000,22323.70000,3368.00000,4897.00000,8265.00000,30588.70000,8504.50000,7293.80000,1419.20000,9566.20000,18070.70000,347.70000,13109.90000,-1111.70000,12518.00000,30588.70000
2022-03-31,4830.10000,14491.70000,2222.10000,720.50000,22264.40000,3420.00000,4901.70000,8321.70000,30586.10000,9008.90000,7097.40000,1407.00000,9433.90000,18442.80000,347.70000,12507.90000,-877.70000,12143.30000,30586.10000
2021-12-31,4987.70000,13495.90000,1976.00000,732.90000,21192.50000,3398.10000,4918.80000,8316.90000,29509.40000,8379.50000,7128.80000,1487.60000,9535.89900,17915.40000,347.30000,12025.80000,-921.10000,11594.00000,29509.40000
2021-09-30,3777.20000,12878.20000,2516.70000,667.90000,19840.00000,3336.70000,4733.20000,8069.89900,27909.90000,7433.50000,6849.50000,1398.60000,9146.00000,16579.50000,347.20000,11998.10000,-1145.20000,11330.40000,27909.90000
2021-06-30,4504.40000,13425.00000,2054.60000,796.90000,20780.90000,3318.50000,4912.80000,8231.30100,29012.20000,8093.60000,7158.70000,1821.50000,9734.80100,17828.40000,347.20000,11738.70000,-1029.60000,11183.80000,29012.20000
2021-03-31,4741.10000,13389.50000,1465.40000,572.20000,20168.20000,3242.50000,5092.70000,8335.20000,28503.40000,7626.70000,7521.80000,1458.60000,10159.00000,17785.70000,347.20000,11364.00000,-1116.40000,10717.70000,28503.40000
2020-12-31,4968.60000,13018.20000,1221.90000,515.60000,19724.30000,3270.40000,5265.30000,8535.69900,28260.00000,7561.90000,7508.90000,1944.60000,10308.10000,17870.00000,346.60000,11005.20000,-1050.30000,10390.00000,28260.00000
2020-09-30,4538.60000,12689.20000,1124.50000,541.50000,18893.80000,3137.80000,5202.10000,8339.89900,27233.70000,6015.20000,7776.50000,1384.10000,11034.10000,17049.30000,347.00000,10953.60000,-1189.00000,10184.40000,27233.70000
2020-06-30,4275.20000,12381.40000,1136.40000,492.10000,18285.10000,3025.00000,5096.30000,8121.30000,26406.40000,7379.70000,7416.80000,1327.10000,9249.89900,16629.60000,346.50000,10679.10000,-1289.90000,9776.80000,26406.40000
