,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,1319.90000,1391.60000,354.00000,3132.70000,6198.20000,393.00000,3.90000,2033.90000,71.00000,3016.10000,9214.30000,4753.90000,797.90000,260.60000,1255.10000,6009.00000,3.60000,1811.40000,-198.30000,3205.30000,9214.30000
2022-08-31,1290.10000,1373.30000,286.20000,3135.80000,6085.40000,398.10000,3.90000,2037.80000,84.90000,3040.50000,9125.90000,4702.20000,797.80000,260.40000,1286.30000,5988.50000,3.60000,1736.30000,-171.40000,3137.40000,9125.90000
2022-05-31,1274.20000,1318.20000,306.30000,3682.90000,6581.60000,401.30000,5.00000,2056.10000,79.20000,3053.60000,9635.20000,5269.20000,797.70000,242.80000,1280.80000,6550.00000,3.60000,1669.60000,-133.90000,3085.20000,9635.20000
2022-02-28,1409.30000,1204.70000,319.20000,4304.10000,7237.30000,399.50000,5.10000,2066.60000,77.10000,3046.40000,10283.70000,5687.90000,797.60000,244.40000,1309.80000,6997.70000,3.60000,1798.50000,-47.00000,3286.00000,10283.70000
2021-11-30,1064.70000,1371.50000,321.60000,3874.60000,6632.40000,398.60000,7.00000,2078.20000,80.60000,3055.70000,9688.10000,5221.90000,797.50000,254.60000,1346.40000,6568.30000,3.60000,1606.90000,3.80000,3119.80000,9688.10000
2021-08-31,1190.40000,1084.50000,260.70000,3781.70000,6317.30000,395.40000,7.10000,2076.70000,79.20000,3050.00000,9367.30000,4957.90000,797.40000,250.20000,1365.90000,6323.80000,3.60000,1513.30000,45.10000,3043.50000,9367.30000
2021-05-31,1083.20000,1053.60000,282.70000,3750.00000,6169.50000,395.80000,7.10000,2096.50000,71.20000,3057.70000,9227.20000,4938.20000,797.30000,233.30000,1341.00000,6279.20000,3.60000,1445.90000,51.80000,2948.00000,9227.20000
2021-02-28,1045.10000,1105.90000,259.90000,4211.30000,6622.20000,393.10000,9.90000,2107.50000,57.00000,3043.70000,9665.90000,5356.00000,797.20000,210.30000,1333.50000,6689.50000,3.60000,1499.30000,57.20000,2976.40000,9665.90000
2020-11-30,927.40000,991.80000,280.10000,3393.10000,5592.40000,392.40000,10.10000,2096.10000,57.10000,3023.00000,8615.40000,4380.00000,797.00000,216.10000,1345.70000,5725.70000,3.60000,1418.90000,73.10000,2889.70000,8615.40000
2020-08-31,917.10000,855.90000,252.90000,3314.30000,5340.20000,396.00000,10.20000,2110.90000,54.60000,3036.70000,8376.90000,4263.10000,796.90000,199.70000,1335.20000,5598.30000,3.60000,1370.20000,79.50000,2778.60000,8376.90000
2020-05-31,982.20000,790.30000,261.60000,3430.50000,5464.60000,407.40000,10.20000,2121.70000,59.50000,3086.10000,8550.70000,4426.90000,796.80000,207.90000,1342.40000,5769.30000,3.60000,1431.40000,56.50000,2781.40000,8550.70000
2020-02-29,913.10000,847.00000,273.60000,4355.70000,6389.40000,403.80000,10.20000,2137.80000,34.90000,3077.50000,9466.90000,5389.70000,796.70000,182.90000,1317.40000,6707.10000,3.60000,1433.30000,45.20000,2759.80000,9466.90000
2019-11-30,688.00000,905.60000,299.50000,3734.80000,5627.90000,401.70000,10.10000,2145.50000,37.60000,3073.80000,8701.70000,4823.90000,796.60000,184.90000,1308.40000,6132.30000,3.60000,1301.40000,11.60000,2569.40000,8701.70000
2019-08-31,683.10000,861.40000,242.30000,3769.10000,5555.90000,403.40000,10.30000,2162.60000,30.50000,3082.30000,8638.20000,4823.50000,796.50000,177.50000,1295.40000,6118.90000,3.60000,1265.20000,26.50000,2519.30000,8638.20000
2019-05-31,763.20000,854.20000,256.50000,3803.80000,5677.70000,408.70000,10.20000,2181.70000,31.40000,2998.30000,8676.00000,4845.00000,796.40000,179.00000,1211.50000,6056.50000,3.60000,1409.50000,0.10000,2619.50000,8676.00000
2019-02-28,800.90000,844.70000,240.90000,5405.50000,7292.00000,404.70000,20.00000,2202.40000,83.90000,3071.00000,10363.00000,6549.70000,800.00000,186.10000,1215.30000,7765.00000,3.60000,1425.80000,-19.30000,2598.00000,10363.00000
2018-11-30,759.00000,591.20000,267.50000,3672.30000,5290.00000,394.00000,10.00000,938.60000,15.80000,1712.40000,7002.40000,4306.80000,,109.50000,271.10000,4577.90000,3.60000,1302.60000,-47.40000,2424.50000,7002.40000
2018-08-31,523.00000,564.30000,225.10000,3763.80000,5076.20000,389.10000,264.60000,948.80000,15.70000,1973.80000,7050.00000,4397.40000,,110.10000,265.60000,4663.00000,3.60000,1268.10000,-35.80000,2387.00000,7050.00000
2018-05-31,424.20000,524.60000,241.00000,4703.80000,5893.60000,393.50000,295.50000,955.40000,16.40000,2021.80000,7915.40000,5296.70000,,107.50000,261.90000,5558.60000,3.60000,1262.60000,-36.20000,2356.80000,7915.40000
2018-02-28,421.20000,582.00000,100.80000,3944.70000,5048.70000,397.20000,405.40000,932.50000,59.00000,1794.10000,6842.80000,4623.70000,,131.70000,173.60000,4797.30000,3.60000,961.40000,-26.70000,2045.50000,6842.80000
2017-11-30,338.60000,630.40000,135.80000,4888.20000,5993.00000,377.10000,480.90000,775.50000,58.10000,1691.60000,7684.60000,5501.70000,,129.00000,214.00000,5715.70000,3.60000,881.00000,-9.20000,1968.90000,7684.60000
2017-08-31,368.20000,570.60000,81.60000,4953.10000,5973.50000,328.60000,483.20000,777.20000,57.00000,1646.00000,7619.50000,5455.70000,,124.60000,220.00000,5675.70000,3.60000,843.70000,24.40000,1943.80000,7619.50000
2017-05-31,323.40000,543.40000,103.30000,4301.90000,5272.00000,337.20000,454.00000,714.70000,55.80000,1561.70000,6833.70000,4725.10000,,119.40000,153.30000,4878.40000,3.60000,901.70000,20.00000,1955.30000,6833.70000
2017-02-28,403.90000,461.90000,101.40000,4784.60000,5751.80000,341.60000,440.20000,719.10000,57.60000,1558.50000,7310.30000,5273.70000,,122.20000,139.90000,5413.60000,3.60000,871.90000,4.60000,1896.70000,7310.30000
2016-11-30,293.00000,564.70000,115.80000,3242.20000,4215.70000,349.30000,432.10000,722.30000,56.70000,1560.40000,5776.10000,3784.10000,,157.90000,176.40000,3960.50000,3.60000,834.90000,-16.80000,1815.60000,5776.10000
2016-08-31,497.70000,517.30000,62.70000,3443.30000,4521.00000,348.40000,446.30000,722.10000,59.10000,1575.90000,6096.90000,3913.20000,,154.40000,195.60000,4108.80000,3.60000,958.90000,39.20000,1988.10000,6096.90000
2016-05-31,352.10000,444.70000,69.30000,3997.50000,4863.60000,353.00000,441.10000,726.60000,56.50000,1577.20000,6440.80000,4365.90000,,141.10000,163.20000,4529.10000,3.60000,926.20000,29.20000,1911.70000,6440.80000
2016-02-29,327.20000,385.00000,72.80000,4717.20000,5503.60000,350.00000,428.60000,729.70000,55.60000,1563.90000,7067.50000,5039.20000,,135.90000,154.20000,5193.40000,3.60000,899.60000,37.50000,1874.10000,7067.50000
2015-11-30,476.40000,277.80000,128.20000,3720.10000,4602.50000,352.70000,436.50000,592.80000,32.30000,1414.30000,6016.80000,4009.90000,,134.20000,148.60000,4158.50000,3.60000,913.90000,20.30000,1858.30000,6016.80000
2015-08-31,537.70000,238.70000,63.40000,3748.40000,4588.20000,350.10000,416.20000,594.50000,34.00000,1394.80000,5983.00000,4046.40000,,127.60000,145.80000,4192.20000,3.60000,876.40000,13.80000,1790.80000,5983.00000
2015-05-31,536.60000,214.50000,63.70000,4273.40000,5088.20000,353.90000,399.80000,593.90000,31.70000,1379.30000,6467.50000,4573.00000,,107.20000,109.00000,4682.00000,3.60000,894.30000,7.50000,1785.50000,6467.50000
2015-02-28,620.80000,180.60000,54.00000,5090.80000,5957.40000,347.70000,408.60000,599.40000,31.10000,1386.80000,7344.20000,5348.00000,,106.60000,124.20000,5472.20000,3.60000,978.30000,21.80000,1872.00000,7344.20000
2014-11-30,529.00000,242.00000,56.20000,4032.70000,4859.90000,344.40000,398.50000,602.60000,30.40000,1414.60000,6274.50000,4279.30000,,102.00000,160.90000,4440.20000,3.60000,964.30000,22.40000,1834.30000,6274.50000
2014-08-31,559.30000,198.50000,47.40000,4066.80000,4872.00000,346.60000,396.50000,606.00000,29.30000,1414.60000,6286.60000,4344.00000,,97.00000,157.00000,4501.00000,3.60000,943.70000,26.00000,1785.60000,6286.60000
2014-05-31,551.20000,185.70000,55.00000,4198.60000,5002.50000,342.20000,385.60000,580.90000,21.80000,1367.60000,6370.10000,4438.90000,,98.50000,154.20000,4593.10000,3.60000,957.50000,21.50000,1777.00000,6370.10000
2014-02-28,585.70000,159.00000,49.80000,4916.80000,5719.30000,345.10000,377.80000,580.50000,10.40000,1350.10000,7069.40000,5138.90000,,80.60000,142.30000,5281.20000,3.60000,983.70000,24.60000,1788.20000,7069.40000
2013-11-30,463.40000,213.60000,74.70000,3912.00000,4663.80000,351.40000,375.90000,583.60000,8.60000,1355.60000,6019.40000,4119.10000,,78.30000,139.90000,4259.00000,3.60000,993.20000,13.70000,1760.40000,6019.40000
2013-08-31,559.20000,183.40000,42.00000,3911.70000,4698.30000,350.50000,365.60000,576.00000,4.50000,1332.90000,6031.20000,4150.40000,,74.10000,132.40000,4282.80000,3.70000,1034.20000,-4.90000,1748.40000,6031.20000
2013-05-31,505.50000,165.80000,86.50000,4072.50000,4832.60000,346.00000,369.10000,579.10000,2.80000,1331.10000,6163.70000,4268.20000,,68.50000,121.80000,4390.00000,3.70000,1088.50000,22.00000,1773.70000,6163.70000
2013-02-28,570.60000,150.40000,35.60000,5556.20000,6319.60000,341.70000,227.00000,583.80000,2.80000,1187.90000,7507.50000,5756.50000,,98.10000,145.10000,5901.60000,3.60000,964.90000,32.70000,1605.90000,7507.50000
2012-11-30,301.20000,200.30000,51.80000,3715.50000,4268.80000,351.80000,504.30000,564.40000,3.60000,1455.40000,5724.20000,3888.60000,,90.90000,137.40000,4026.00000,3.60000,1060.80000,39.70000,1698.20000,5724.20000
2012-08-31,390.90000,177.10000,36.30000,3696.10000,4300.40000,326.90000,480.40000,568.70000,4.00000,1410.50000,5710.90000,3919.70000,,90.50000,135.80000,4055.50000,3.60000,1033.00000,37.30000,1655.40000,5710.90000
2012-05-31,316.30000,173.00000,40.80000,4544.20000,5075.90000,324.30000,473.70000,573.20000,3.30000,1403.70000,6479.60000,4745.70000,,88.80000,129.40000,4875.10000,3.60000,1002.10000,37.70000,1604.50000,6479.60000
2012-02-29,503.30000,157.30000,36.00000,4167.00000,4872.20000,316.80000,295.40000,579.30000,3.20000,1222.70000,6094.90000,4372.40000,,86.90000,127.10000,4499.50000,3.60000,995.00000,43.10000,1595.40000,6094.90000
2011-11-30,411.10000,249.40000,46.70000,3032.80000,3740.00000,316.00000,265.20000,579.30000,3.80000,1192.00000,4932.00000,3248.20000,,88.00000,125.10000,3373.30000,3.60000,975.80000,33.90000,1558.70000,4932.00000
