,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,118.80000,529.70000,778.70000,,135.30000,1562.50000,339.10000,4313.20000,293.80000,4946.10000,6508.60000,1100.50000,2448.10000,185.90000,2768.90000,3869.40000,1.70000,1331.80000,-243.60000,,2639.20000,6508.60000
2022-06-30,135.10000,493.20000,695.00000,,139.30000,1462.60000,318.40000,2862.60000,228.60000,3409.60000,4872.20000,1056.10000,911.50000,181.40000,1253.10000,2309.20000,1.70000,1250.90000,-230.10000,,2563.00000,4872.20000
2022-03-31,102.30000,648.60000,656.20000,,134.60000,1541.70000,315.00000,2913.40000,205.80000,3434.20000,4975.90000,1014.40000,1091.10000,189.60000,1457.60000,2472.00000,1.70000,1132.60000,-214.70000,,2503.90000,4975.90000
2021-12-31,94.50000,534.30000,562.90000,,112.30000,1304.00000,310.00000,2932.50000,207.10000,3449.60000,4753.60000,1051.70000,894.10000,202.90000,1280.00000,2331.70000,1.70000,1051.40000,-213.90000,,2421.90000,4753.60000
2021-09-30,173.20000,461.00000,504.60000,,110.70000,1249.50000,296.80000,2726.10000,200.40000,3223.30000,4472.80000,1016.00000,700.90000,224.80000,1118.70000,2134.70000,1.70000,935.80000,-213.60000,,2338.10000,4472.80000
2021-06-30,95.90000,435.30000,463.40000,,112.70000,1107.30000,297.10000,2750.50000,199.80000,3247.40000,4354.70000,931.10000,716.60000,239.10000,1152.00000,2083.10000,1.70000,825.30000,-206.70000,,2271.60000,4354.70000
2021-03-31,95.00000,566.40000,429.10000,,118.00000,1208.50000,293.40000,2682.70000,199.50000,3175.60000,4384.10000,823.90000,932.40000,231.40000,1366.40000,2190.30000,1.70000,726.50000,-211.00000,,2193.80000,4384.10000
2020-12-31,82.10000,367.50000,420.00000,,105.50000,975.10000,301.20000,2718.10000,202.80000,3222.10000,4197.20000,772.50000,839.60000,269.40000,1318.40000,2090.90000,1.70000,631.20000,-207.30000,,2106.30000,4197.20000
2020-09-30,82.60000,362.10000,401.70000,,117.10000,963.50000,291.10000,2652.90000,196.00000,3140.00000,4103.50000,818.90000,805.20000,223.10000,1234.80000,2053.70000,1.70000,561.60000,-212.30000,,2049.80000,4103.50000
2020-06-30,90.60000,401.80000,396.50000,,112.80000,1001.70000,284.70000,2627.50000,202.20000,3114.40000,4116.10000,750.60000,1013.00000,195.60000,1415.80000,2166.40000,1.70000,482.50000,-214.80000,,1949.70000,4116.10000
2020-03-31,169.30000,665.00000,392.40000,,112.90000,1339.60000,280.70000,2583.30000,223.10000,3087.10000,4426.70000,682.80000,1450.50000,190.70000,1851.40000,2534.20000,1.70000,442.10000,-225.20000,,1892.50000,4426.70000
2019-12-31,82.50000,502.90000,377.40000,,99.10000,1061.90000,283.20000,2597.50000,196.90000,3077.60000,4139.50000,749.00000,1029.10000,206.70000,1436.60000,2185.60000,1.70000,401.00000,-226.50000,,1953.90000,4139.50000
2019-09-30,113.20000,404.00000,390.30000,,95.10000,1002.60000,277.90000,2602.40000,197.50000,3077.80000,4080.40000,694.20000,1118.70000,199.20000,1517.40000,2211.60000,1.70000,335.30000,-234.10000,,1868.80000,4080.40000
2019-06-30,80.50000,459.60000,396.70000,,104.70000,1041.50000,280.30000,2641.70000,206.50000,3128.50000,4170.00000,710.20000,1215.10000,229.10000,1653.20000,2363.40000,1.70000,273.40000,-230.20000,,1806.60000,4170.00000
2019-03-31,78.90000,645.70000,421.80000,,105.20000,1251.60000,279.10000,2644.50000,207.00000,3130.60000,4382.20000,705.30000,1370.70000,221.40000,1806.50000,2511.80000,1.70000,189.50000,-225.90000,,1870.40000,4382.20000
2018-12-31,74.30000,488.20000,387.50000,,89.40000,1039.40000,272.60000,2349.00000,145.50000,2767.10000,3806.50000,818.70000,787.60000,168.20000,1151.70000,1970.40000,1.70000,169.20000,-228.60000,,1836.10000,3806.50000
