,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2091.00000,3454.00000,653.00000,795.00000,6993.00000,2044.00000,3276.00000,4768.00000,11261.00000,18254.00000,6170.00000,3850.00000,1787.00000,7132.00000,13302.00000,2.00000,-4123.00000,-736.00000,4952.00000,18254.00000
2022-09-30,2260.00000,3467.00000,662.00000,289.00000,6678.00000,2039.00000,3446.00000,4442.00000,11059.00000,17737.00000,5865.00000,3695.00000,1785.00000,6936.00000,12801.00000,2.00000,-4211.00000,-724.00000,4936.00000,17737.00000
2022-06-30,2209.00000,3693.00000,666.00000,280.00000,6848.00000,2212.00000,3699.00000,4653.00000,11799.00000,18647.00000,6257.00000,3874.00000,1000.00000,7341.00000,13598.00000,2.00000,-4239.00000,-563.00000,5049.00000,18647.00000
2022-03-31,2672.00000,3854.00000,617.00000,303.00000,7446.00000,2412.00000,3995.00000,4932.00000,12693.00000,20139.00000,6853.00000,4065.00000,2169.00000,7911.00000,14764.00000,3.00000,-4450.00000,-385.00000,5375.00000,20139.00000
2021-12-31,2919.00000,3670.00000,600.00000,314.00000,7503.00000,2555.00000,4204.00000,4310.00000,12450.00000,19953.00000,6728.00000,4236.00000,2215.00000,8138.00000,14866.00000,3.00000,-5058.00000,-385.00000,5087.00000,19953.00000
2021-09-30,2699.00000,3821.00000,534.00000,330.00000,7384.00000,2691.00000,4322.00000,4289.00000,12731.00000,20115.00000,6819.00000,4363.00000,2213.00000,8213.00000,15032.00000,3.00000,-5225.00000,-482.00000,5083.00000,20115.00000
2021-06-30,2460.00000,4081.00000,659.00000,341.00000,7541.00000,2841.00000,4527.00000,4421.00000,13326.00000,20867.00000,7406.00000,4116.00000,2390.00000,8075.00000,15481.00000,3.00000,-5045.00000,-426.00000,5386.00000,20867.00000
2021-03-31,2968.00000,4156.00000,567.00000,517.00000,8208.00000,2946.00000,4684.00000,4545.00000,13830.00000,22038.00000,8150.00000,4345.00000,928.00000,8580.00000,16730.00000,3.00000,-5331.00000,-302.00000,5308.00000,22038.00000
2020-12-31,3919.00000,4130.00000,586.00000,470.00000,9105.00000,3321.00000,4755.00000,4679.00000,14529.00000,23634.00000,8270.00000,5444.00000,2146.00000,9369.00000,17639.00000,3.00000,-4533.00000,-407.00000,5995.00000,23634.00000
2020-09-30,3079.00000,4194.00000,604.00000,460.00000,8337.00000,3417.00000,4871.00000,4360.00000,17333.00000,25670.00000,8656.00000,8046.00000,2242.00000,12263.00000,20919.00000,3.00000,-5631.00000,-562.00000,4751.00000,25670.00000
