,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,16459.00000,1801.00000,1109.00000,689.00000,,20058.00000,34448.00000,1373.00000,7289.00000,210.00000,47300.00000,67358.00000,19992.00000,28398.00000,2213.00000,40470.00000,60462.00000,4.00000,1265.00000,175.00000,6896.00000,67358.00000
2022-09-30,18756.00000,2034.00000,1116.00000,783.00000,,22689.00000,32506.00000,1285.00000,7299.00000,208.00000,46279.00000,68968.00000,21989.00000,28602.00000,1846.00000,42081.00000,64070.00000,4.00000,421.00000,-964.00000,4898.00000,68968.00000
2022-06-30,20118.00000,2217.00000,1153.00000,883.00000,,24371.00000,31853.00000,1297.00000,7309.00000,204.00000,46010.00000,70381.00000,23444.00000,29380.00000,1793.00000,42973.00000,66417.00000,4.00000,-515.00000,-944.00000,3964.00000,70381.00000
2022-03-31,18720.00000,2062.00000,1068.00000,762.00000,,22612.00000,31881.00000,1401.00000,7319.00000,214.00000,46426.00000,69038.00000,21788.00000,29875.00000,1792.00000,43626.00000,65414.00000,4.00000,-844.00000,-937.00000,3624.00000,69038.00000
2021-12-31,18443.00000,1663.00000,983.00000,745.00000,,21834.00000,32074.00000,1420.00000,7330.00000,213.00000,46341.00000,68175.00000,18304.00000,30580.00000,2147.00000,44842.00000,63146.00000,4.00000,625.00000,-942.00000,5029.00000,68175.00000
2021-09-30,19676.00000,1709.00000,955.00000,717.00000,,23057.00000,32128.00000,1336.00000,7342.00000,215.00000,46237.00000,69294.00000,16935.00000,31770.00000,2766.00000,46928.00000,63863.00000,4.00000,1271.00000,-1124.00000,5431.00000,69294.00000
2021-06-30,21322.00000,1793.00000,912.00000,646.00000,,24673.00000,32331.00000,1407.00000,7354.00000,216.00000,46376.00000,71049.00000,18064.00000,37473.00000,3033.00000,48081.00000,66145.00000,4.00000,804.00000,-1114.00000,4904.00000,71049.00000
2021-03-31,13229.00000,1389.00000,918.00000,483.00000,,16019.00000,31915.00000,1107.00000,7367.00000,218.00000,45643.00000,61662.00000,14167.00000,26089.00000,2866.00000,42289.00000,56456.00000,4.00000,1239.00000,-1126.00000,5206.00000,61662.00000
2020-12-31,11938.00000,1295.00000,932.00000,635.00000,,14800.00000,31466.00000,1000.00000,7365.00000,218.00000,44748.00000,59548.00000,12725.00000,25060.00000,2296.00000,40863.00000,53588.00000,4.00000,2626.00000,-1139.00000,5960.00000,59548.00000
2020-09-30,13778.00000,1171.00000,961.00000,566.00000,,16476.00000,31650.00000,824.00000,7379.00000,172.00000,44713.00000,61189.00000,15791.00000,22575.00000,2131.00000,38395.00000,54186.00000,3.00000,4524.00000,-1009.00000,7003.00000,61189.00000
2020-06-30,7463.00000,857.00000,955.00000,766.00000,,10041.00000,31735.00000,798.00000,7375.00000,73.00000,44860.00000,54901.00000,16395.00000,14634.00000,1430.00000,29989.00000,46384.00000,3.00000,6365.00000,-1259.00000,8517.00000,54901.00000
2020-03-31,5221.00000,792.00000,1070.00000,822.00000,,7905.00000,31811.00000,763.00000,7468.00000,106.00000,45150.00000,53055.00000,16087.00000,13567.00000,1179.00000,27550.00000,43637.00000,3.00000,7991.00000,-771.00000,9418.00000,53055.00000
2019-12-31,4944.00000,1364.00000,1072.00000,814.00000,,8194.00000,30170.00000,1180.00000,7532.00000,106.00000,44417.00000,52611.00000,14938.00000,18311.00000,1024.00000,26142.00000,41080.00000,3.00000,9716.00000,-718.00000,11531.00000,52611.00000
2019-09-30,5126.00000,1617.00000,1065.00000,725.00000,,8533.00000,29332.00000,1131.00000,7637.00000,100.00000,43666.00000,52199.00000,15691.00000,13086.00000,981.00000,25207.00000,40898.00000,3.00000,9075.00000,-504.00000,11301.00000,52199.00000
2019-06-30,5444.00000,1762.00000,996.00000,708.00000,,8910.00000,28918.00000,1139.00000,7652.00000,105.00000,43240.00000,52150.00000,16078.00000,13140.00000,980.00000,25752.00000,41830.00000,3.00000,8050.00000,-807.00000,10320.00000,52150.00000
2019-03-31,4067.00000,1789.00000,972.00000,780.00000,,7608.00000,28586.00000,1098.00000,7667.00000,103.00000,43031.00000,50639.00000,15335.00000,12970.00000,998.00000,25502.00000,40837.00000,3.00000,6999.00000,-793.00000,9802.00000,50639.00000
2018-12-31,3950.00000,1426.00000,985.00000,733.00000,,7094.00000,27399.00000,966.00000,7682.00000,105.00000,41930.00000,49024.00000,13839.00000,17715.00000,1010.00000,25143.00000,38982.00000,3.00000,6715.00000,-803.00000,10042.00000,49024.00000
2018-09-30,4935.00000,1752.00000,1011.00000,973.00000,,8671.00000,27308.00000,848.00000,7905.00000,105.00000,36166.00000,44837.00000,13684.00000,13334.00000,1811.00000,21684.00000,35368.00000,3.00000,6203.00000,-1089.00000,9469.00000,44837.00000
