,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-07-31,8830.00000,6716.00000,5650.00000,54479.00000,5754.00000,199.00000,4285.00000,11013.00000,22785.00000,77264.00000,24081.00000,34037.00000,,40292.00000,64373.00000,4750.00000,31128.00000,-5319.00000,12891.00000,77264.00000
2020-04-30,9526.00000,7230.00000,6171.00000,54868.00000,5685.00000,192.00000,4228.00000,10918.00000,22458.00000,77326.00000,24982.00000,34324.00000,,40479.00000,65461.00000,4713.00000,30556.00000,-5715.00000,11865.00000,77326.00000
2020-01-31,4211.00000,6765.00000,6482.00000,49230.00000,5900.00000,217.00000,4294.00000,10766.00000,22591.00000,71821.00000,23201.00000,30475.00000,,36690.00000,59891.00000,4675.00000,30129.00000,-5329.00000,11930.00000,71821.00000
2019-10-31,4438.00000,6763.00000,5975.00000,50754.00000,5973.00000,215.00000,4297.00000,10306.00000,22257.00000,73011.00000,24903.00000,30229.00000,,36691.00000,61594.00000,4642.00000,29852.00000,-5607.00000,11417.00000,73011.00000
2019-07-31,3948.00000,8347.00000,6747.00000,51291.00000,5798.00000,219.00000,4457.00000,10677.00000,22239.00000,73530.00000,25716.00000,29242.00000,,35544.00000,61260.00000,4599.00000,29369.00000,-4581.00000,12270.00000,73530.00000
2019-04-30,4029.00000,9030.00000,7161.00000,50904.00000,5757.00000,235.00000,4501.00000,10294.00000,21826.00000,72730.00000,26290.00000,28255.00000,,34516.00000,60806.00000,4559.00000,28709.00000,-4610.00000,11924.00000,72730.00000
2019-01-31,4149.00000,7184.00000,7402.00000,48448.00000,5785.00000,212.00000,4555.00000,10084.00000,21470.00000,69918.00000,24432.00000,27855.00000,,34153.00000,58585.00000,4512.00000,27816.00000,-4578.00000,11333.00000,69918.00000
2018-10-31,4394.00000,6762.00000,6149.00000,48381.00000,5868.00000,207.00000,4663.00000,10181.00000,21727.00000,70108.00000,25259.00000,27237.00000,,33558.00000,58817.00000,4474.00000,27553.00000,-4427.00000,11291.00000,70108.00000
2018-07-31,4411.00000,7536.00000,6239.00000,48061.00000,5638.00000,199.00000,4628.00000,9219.00000,21329.00000,69390.00000,25126.00000,26838.00000,,33898.00000,59024.00000,4451.00000,26272.00000,-4553.00000,10366.00000,69390.00000
2018-04-30,4680.70000,7943.60000,6888.90000,48225.00000,5742.90000,202.10000,4880.90000,9103.60000,21648.00000,69873.00000,25231.00000,26278.60000,,34222.00000,59453.00000,4423.40000,25586.00000,-4173.20000,10420.00000,69873.00000
2018-01-31,4377.40000,5754.40000,6614.20000,45075.10000,5781.20000,194.00000,4771.30000,8879.69900,21502.40000,66577.50000,22779.50000,26421.80000,,34533.10000,57312.60000,4374.00000,24571.90000,-4289.00000,9264.90000,66577.50000
2017-10-31,9786.50000,5160.80000,3904.10000,48114.30000,5067.70000,182.50000,1251.30000,8755.50000,17672.00000,65786.30000,22692.90000,25891.30000,,33532.90000,56225.80000,4280.50000,25301.30000,-4563.70000,9560.50000,65786.30000
2017-07-31,6963.50000,5247.50000,4252.90000,45109.10000,4968.50000,220.80000,937.80000,8046.00000,17240.80000,62349.90000,21477.10000,23674.30000,,32297.90000,53775.00000,4245.10000,24984.20000,-5179.80000,8574.90000,62349.90000
2017-04-30,5072.10000,5448.50000,4114.80000,42218.30000,4959.90000,215.70000,897.00000,7636.00000,16750.50000,58968.80000,19505.70000,23253.10000,,31769.30000,51275.00000,4165.40000,24535.80000,-5495.50000,7693.80000,58968.80000
2017-01-31,4335.50000,4147.50000,3959.60000,39723.90000,5030.40000,220.90000,904.70000,7458.80000,16572.30000,56296.20000,18091.00000,22916.60000,,31369.90000,49460.90000,4079.10000,23919.60000,-5604.50000,6835.30000,56296.20000
2016-10-31,4789.30000,4046.30000,3340.50000,41004.90000,5170.60000,232.60000,919.80000,7626.20000,16913.60000,57918.50000,19230.20000,23703.00000,,32157.50000,51387.70000,3911.80000,23911.30000,-5626.00000,6530.80000,57918.50000
2016-07-31,4789.90000,4755.20000,3851.30000,41938.60000,5047.30000,246.20000,933.10000,7761.30000,16600.50000,58539.10000,19956.90000,24068.90000,,31142.50000,51099.40000,3883.90000,23815.00000,-4582.20000,7439.70000,58539.10000
2016-04-30,4608.70000,5856.40000,4061.00000,42676.10000,5079.70000,236.70000,955.50000,7486.30000,16440.10000,59116.20000,20301.30000,24587.70000,,31638.20000,51939.50000,3862.00000,23514.70000,-4518.80000,7176.70000,59116.20000
2016-01-31,3936.20000,4523.70000,4249.50000,40343.00000,5039.20000,299.50000,778.30000,6995.40000,15629.00000,55972.00000,17975.60000,24474.40000,,31392.60000,49368.20000,3843.10000,23209.10000,-4860.10000,6603.80000,55972.00000
2015-10-31,4599.60000,4075.60000,3817.00000,42135.80000,5181.50000,303.50000,789.60000,6769.90000,15811.80000,57947.60000,20408.70000,23832.80000,,30781.30000,51190.00000,3825.60000,23144.80000,-4729.40000,6757.60000,57947.60000
2015-07-31,4551.90000,5086.70000,4319.00000,43668.80000,5126.40000,310.60000,773.70000,6347.70000,15263.40000,58932.20000,21252.80000,23200.90000,,29954.40000,51207.20000,3806.50000,22986.50000,-4507.40000,7725.00000,58932.20000
2015-04-30,4748.30000,5636.90000,4624.20000,44496.30000,5245.10000,299.20000,797.40000,6096.60000,15097.70000,59594.00000,21082.00000,23622.80000,,30336.00000,51418.00000,3745.20000,22673.40000,-4293.60000,8176.00000,59594.00000
2015-01-31,4468.60000,4283.10000,4527.10000,42978.00000,5347.50000,301.60000,803.60000,6275.30000,15312.10000,58290.10000,19051.70000,24106.70000,266.80000,30989.60000,50041.30000,3714.00000,22185.20000,-4245.00000,8248.80000,58290.10000
2014-10-31,5002.10000,4808.10000,4209.70000,46044.40000,5577.80000,303.20000,860.00000,5774.40000,15292.00000,61336.40000,21232.80000,24380.70000,,31038.10000,52270.90000,3675.40000,22004.40000,-3783.00000,9065.50000,61336.40000
2014-07-31,4524.10000,5778.20000,5439.00000,47085.40000,5385.50000,310.20000,899.20000,5504.20000,14663.10000,61748.50000,21246.90000,24035.50000,,29669.10000,50916.00000,3652.80000,21564.60000,-2644.70000,10832.50000,61748.50000
2014-04-30,4650.20000,6352.20000,5849.60000,46693.50000,5373.10000,308.50000,910.80000,5118.40000,14168.90000,60862.40000,21377.30000,23166.90000,49.80000,28817.50000,50194.80000,3621.60000,20931.30000,-2663.50000,10667.60000,60862.40000
2014-01-31,4627.00000,4909.60000,5554.60000,43824.41000,5351.00000,297.50000,909.20000,4953.70000,13834.80000,57659.20000,19567.20000,22265.20000,,27834.20000,47401.40000,3571.30000,20136.90000,-2809.40000,10257.80000,57659.20000
2013-10-31,5128.80000,5253.40000,4934.70000,45102.70000,5466.90000,221.40000,921.90000,5483.00000,14418.60000,59521.30000,21978.50000,21577.70000,120.40000,27275.10000,49253.60000,3524.20000,19645.60000,-2693.10000,10267.70000,59521.30000
2013-07-31,4796.30000,5923.30000,5594.30000,44387.50000,5107.60000,214.20000,1005.40000,4154.10000,13949.40000,58336.90000,20379.90000,21698.70000,,29365.40000,49745.30000,3498.70000,19031.50000,-4498.80000,8591.60000,58336.90000
2013-04-30,5050.40000,6601.20000,6173.00000,44357.80000,5114.00000,230.00000,1016.70000,4063.40000,13797.30000,58155.10000,20478.50000,21752.90000,,29409.80000,49888.30000,3474.40000,18231.50000,-4454.00000,8266.80000,58155.10000
2013-01-31,5047.70000,5251.20000,6242.70000,41645.20000,5042.60000,201.50000,1032.50000,3936.20000,13524.40000,55169.60000,17646.40000,22170.20000,,30037.70000,47684.10000,3434.30000,17346.10000,-4479.50000,7485.50000,55169.60000
2012-10-31,6122.60000,5649.70000,5170.00000,42719.00000,5011.90000,215.00000,1026.20000,4013.30000,13546.80000,56265.80000,19091.40000,22453.10000,,30312.40000,49403.80000,3352.20000,16875.20000,-4571.50000,6862.00000,56265.80000
2012-07-31,4943.20000,5952.20000,5867.50000,40611.80000,4463.40000,217.80000,1041.40000,3835.10000,12586.80000,53198.60000,18241.90000,21157.20000,,27542.10000,45784.00000,3320.10000,16366.50000,-3814.60000,7414.60000,53198.60000
2012-04-30,4358.70000,6195.30000,6112.40000,39235.10000,4387.60000,233.70000,1079.50000,3524.80000,12170.20000,51405.30000,18764.30000,18719.40000,,25245.00000,44009.30000,3298.90000,15759.40000,-3674.30000,7396.00000,51405.30000
2012-01-31,4514.70000,4627.60000,5677.70000,36599.20000,4303.80000,226.00000,1084.30000,3484.10000,11977.70000,48576.90000,18050.40000,16924.00000,,23747.30000,41797.70000,3276.80000,14887.10000,-3743.90000,6779.20000,48576.90000
2011-10-31,4434.50000,4673.10000,4370.60000,36306.70000,4352.30000,201.70000,1127.20000,3360.90000,11900.70000,48207.40000,17552.20000,16959.90000,,23840.30000,41392.50000,3251.70000,14519.40000,-3678.00000,6814.90000,48207.40000
2011-07-31,4077.70000,4837.70000,4687.70000,35520.70000,4068.90000,224.70000,1156.60000,3339.10000,11614.40000,47135.10000,17573.90000,15892.50000,,22021.20000,39595.10000,3231.10000,14017.70000,-2997.30000,7540.00000,47135.10000
2011-04-30,4189.30000,5031.10000,4687.00000,35234.00000,3968.50000,220.90000,1169.40000,3166.90000,11351.50000,46585.50000,16864.10000,16192.20000,,22287.80000,39151.90000,3211.70000,13476.30000,-3027.20000,7433.60000,46585.50000
2011-01-31,3672.20000,4166.00000,4178.40000,31948.90000,3781.50000,215.30000,1130.40000,3155.20000,10946.90000,42895.80000,13645.50000,16705.90000,,22663.60000,36309.10000,3154.60000,12719.20000,-3292.00000,6586.70000,42895.80000
2010-10-31,4018.50000,4428.60000,3063.00000,31430.60000,3790.70000,244.50000,1115.60000,4208.30000,11836.20000,43266.80000,14219.70000,16814.50000,,22743.70000,36963.40000,3106.30000,12353.10000,-3379.60000,6303.40000,43266.80000
2010-07-31,3986.00000,4252.20000,3175.40000,30281.50000,4398.60000,232.70000,1119.00000,3186.00000,11528.80000,41810.30000,13502.50000,16374.20000,,22182.00000,35684.50000,3075.00000,12023.10000,-3384.90000,6125.80000,41810.30000
2010-04-30,3849.10000,4662.50000,3002.90000,29638.80000,4430.40000,227.00000,1135.70000,2988.80000,11375.30000,41014.10000,12037.90000,17375.80000,,23316.80000,35354.70000,3058.10000,11533.40000,-3419.10000,5659.40000,41014.10000
2010-01-31,5249.70000,3933.40000,2752.50000,29226.20000,4424.80000,220.40000,1140.70000,3018.40000,11554.50000,40780.70000,12534.10000,17090.60000,,23260.60000,35794.70000,3040.10000,11105.00000,-3624.70000,4986.00000,40780.70000
2009-10-31,4843.70000,3519.80000,2397.30000,29123.90000,4532.20000,212.80000,1172.80000,3191.70000,12008.70000,41132.60000,12585.30000,17391.70000,,23724.50000,36309.80000,2996.20000,10980.50000,-3593.30000,4822.80000,41132.60000
2009-07-31,4495.80000,3963.40000,3020.00000,29404.40000,4411.00000,214.30000,1435.70000,4365.80000,11982.30000,41386.70000,13714.30000,16720.90000,,20244.70000,33959.00000,2988.10000,11321.70000,-1312.40000,7427.70000,41386.70000
2009-04-30,4983.00000,5056.70000,3551.00000,30269.50000,4254.80000,207.60000,1401.90000,4095.10000,11531.30000,41800.80000,14620.60000,16850.20000,,20307.30000,34927.90000,2976.60000,11020.00000,-1548.30000,6872.90000,41800.80000
2009-01-31,5234.60000,4209.50000,3836.60000,29928.90000,4149.40000,213.70000,1393.00000,2675.50000,12403.20000,41339.60000,14976.30000,16574.70000,,19803.60000,34779.90000,2968.20000,10666.10000,-1496.70000,6559.70000,41339.60000
