,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,980.20000,,,68.30000,1048.50000,235.20000,197.50000,32.70000,695.90000,1744.40000,1095.10000,1787.40000,64.90000,2191.70000,3286.80000,12843.80000,-14383.50000,-2.70000,-1542.40000,1744.40000
2022-06-30,996.90000,,,65.30000,1062.20000,240.10000,197.50000,32.10000,700.30000,1762.50000,1067.20000,1786.80000,64.80000,2150.30000,3217.50000,13100.90000,-14553.00000,-2.90000,-1455.00000,1762.50000
2022-03-31,1209.60000,,,58.10000,1267.70000,244.90000,197.50000,32.30000,705.50000,1973.20000,1088.50000,1786.30000,79.30000,2169.80000,3258.30000,13438.20000,-14720.30000,-3.00000,-1285.10000,1973.20000
2021-12-31,1205.80000,,,62.90000,1268.70000,251.20000,197.50000,35.70000,715.10000,1983.80000,1074.00000,1785.70000,78.60000,2170.30000,3244.30000,13620.10000,-14877.80000,-2.80000,-1260.50000,1983.80000
2021-09-30,1198.42100,,,65.98900,1264.41000,249.09300,197.52700,38.51400,550.29700,1814.70700,1048.17500,1785.15200,84.86900,2184.11000,3232.28500,13793.05000,-15207.85000,-2.77300,-1417.57800,1814.70700
2021-06-30,1122.98900,,,66.07800,1189.06700,247.69400,197.52700,40.65100,552.31300,1741.38000,998.33400,1784.65400,86.29600,2160.83100,3159.16500,13949.53000,-15364.48000,-2.83400,-1417.78500,1741.38000
2021-03-31,1181.17600,,,54.37400,1235.55000,241.13600,197.52700,41.10800,547.34800,1782.89800,1010.21700,1790.71200,95.44100,2176.44100,3186.65800,14111.24000,-15512.25000,-2.74700,-1403.76000,1782.89800
2020-12-31,1166.90700,,,51.03300,1217.94000,245.57100,197.52700,37.95800,548.97000,1766.91000,988.69300,1790.08300,95.49400,2168.41500,3157.10800,14275.16000,-15662.60000,-2.75600,-1390.19800,1766.91000
2020-09-30,1150.35900,,,55.76700,1206.12600,248.58700,197.52700,35.16300,558.18010,1764.30600,978.00800,1789.45300,101.20600,2172.54600,3150.55400,14436.41000,-15819.92000,-2.74100,-1386.24800,1764.30600
2020-06-30,1194.57300,,,55.07500,1249.64800,250.29000,197.52700,40.61300,570.47800,1820.12600,1018.33200,1788.82400,131.64500,2202.11800,3220.45000,14592.93000,-15990.89000,-2.35800,-1400.32400,1820.12600
2020-03-31,1138.63200,,,46.86300,1185.49500,247.76400,197.52700,38.68700,568.36600,1753.86100,955.67200,1788.19400,138.07900,2207.30300,3162.97500,14734.62000,-16143.37000,-0.35800,-1409.11400,1753.86100
2019-12-31,1218.05900,,,60.53000,1278.58900,250.28300,197.52700,39.81200,575.42000,1854.00900,965.16600,1787.56500,312.67600,2378.94300,3344.10900,14990.01000,-16477.49000,-2.62100,-1490.10000,1854.00900
2019-09-30,1230.01100,,,68.13500,1298.14600,250.15900,197.52700,40.33400,588.58400,1886.73000,960.87800,1786.93500,309.10100,2377.77100,3338.64900,0.35300,-16625.81000,-2.41900,-1451.91900,1886.73000
2019-06-30,1224.94200,,,70.44000,1295.38200,250.82000,197.52700,36.25200,594.51610,1889.89800,934.68100,1786.30600,307.93500,2380.38400,3315.06500,0.35300,-16779.73000,-2.72700,-1425.16700,1889.89800
