,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2016-06-30,302.93500,586.35100,493.44200,241.92500,1700.35800,348.65000,1290.35800,39.83000,1678.83800,3379.19600,664.55200,744.13900,42.60700,988.80500,1653.35700,1.32300,2450.88400,-290.34600,1725.83900,3379.19600
2016-03-31,262.77400,619.78600,478.72300,253.03800,1686.56500,353.87300,1304.77200,35.57500,1694.22000,3380.78500,657.66800,801.88300,41.95700,1044.73100,1702.39900,1.32300,2367.60900,-249.09700,1678.38600,3380.78500
2015-12-31,226.19100,598.78900,478.57400,236.46600,1540.02000,353.19300,1299.06600,37.23400,1689.49300,3229.51300,664.77600,691.80500,43.30900,863.39800,1528.17400,1.32300,2280.80100,-276.71900,1701.33900,3229.51300
2015-09-30,208.24100,625.34400,517.48600,252.99500,1650.09100,351.23400,1289.98600,34.77100,1675.99100,3326.08200,654.64900,450.58900,43.20800,685.99200,1340.64100,1.32300,2186.67300,-257.20800,1985.44100,3326.08200
2015-06-30,264.84400,680.26900,535.00200,55.64300,1579.96600,356.97000,1319.45400,41.73300,1718.15700,3298.12300,699.52700,400.34800,44.08600,642.26400,1341.79100,1.32300,2095.22400,-209.69600,1956.33200,3298.12300
2015-03-31,249.13500,665.66900,515.94500,28.76800,1503.93300,349.04300,1275.52000,39.01100,1663.57400,3167.50700,695.76900,420.40600,42.13100,654.38400,1350.15300,1.32300,1999.51900,-245.58500,1817.35400,3167.50700
2014-12-31,425.84900,631.22600,510.94900,25.88700,1637.86400,339.11100,1285.14900,41.71700,1665.97700,3303.84100,738.80200,520.40300,41.51500,756.74100,1495.54300,1.32300,1909.13600,-159.48600,1808.29800,3303.84100
2014-09-30,212.54100,715.10800,489.05300,64.86600,1533.80800,342.36500,1313.99300,38.22100,1694.57900,3228.38700,674.74800,521.08700,37.02300,764.03000,1438.77800,1.32300,1822.22500,-84.28500,1789.60900,3228.38700
2014-06-30,225.90700,717.05000,481.50700,49.87000,1526.85100,343.15400,1257.00100,36.86200,1637.01700,3163.86800,668.41600,500.21900,46.00300,729.76000,1398.17600,1.32300,1737.85000,-25.96000,1765.69200,3163.86800
2014-03-31,295.10300,636.65400,420.05800,30.45800,1434.17800,273.64700,1168.15100,40.54300,1482.34100,2916.51900,580.90500,450.24700,37.16300,655.22600,1236.13100,1.32300,1653.00800,-34.06300,1680.38800,2916.51900
2013-12-31,285.76000,554.50300,403.22900,38.93300,1333.04700,276.07800,1172.11200,40.76000,1488.95000,2821.99700,579.40000,450.28800,40.65300,655.43000,1234.83000,1.32300,1576.70200,-34.85600,1587.16700,2821.99700
2013-09-30,281.00700,570.27600,400.29500,31.64800,1344.43400,266.95000,1166.89300,38.70300,1472.54600,2816.98000,541.75800,539.60600,39.80300,758.17300,1299.93100,1.32300,1506.50500,-52.07900,1517.04900,2816.98000
2013-06-30,214.50500,488.44900,405.93800,20.71700,1189.98500,240.96600,1044.78800,40.65100,1326.40500,2516.39000,524.27200,396.91500,38.77200,586.41200,1110.68400,1.32300,1436.56600,-86.11300,1405.70600,2516.39000
2013-03-31,225.33800,432.79700,428.58400,21.36000,1168.98600,242.71600,1053.31800,41.15500,1337.18900,2506.17500,560.98100,417.52700,43.18800,613.92600,1174.90700,0.66200,1364.99900,-79.30400,1331.26800,2506.17500
2012-12-31,215.76600,389.91500,407.03900,19.32400,1092.93800,244.08800,974.34300,39.99000,1258.60400,2351.54200,553.05900,317.85300,41.04900,516.46600,1069.52500,1.32300,1297.11100,-53.56400,1282.01700,2351.54200
2012-09-30,282.05500,430.23000,391.59200,21.58000,1184.04900,229.14700,941.82200,41.02400,1211.99300,2396.04200,540.69200,432.85400,40.34300,624.33300,1165.02500,0.66200,1235.41700,-55.08000,1231.01700,2396.04200
2012-06-30,234.10500,442.14100,388.79800,19.60800,1143.46400,226.70700,921.61710,40.10900,1188.43300,2331.89700,550.31400,443.08800,33.42400,627.43010,1177.74400,0.66200,1174.80100,-66.29800,1154.15300,2331.89700
2012-03-31,269.30400,396.49000,370.74000,20.15700,1114.02200,225.02200,847.87100,32.57900,1105.55200,2219.57400,535.55800,385.83100,35.55300,560.13600,1095.69400,0.66200,1111.52900,-49.67200,1123.88000,2219.57400
2011-12-31,285.61500,346.28100,348.17400,18.37300,1055.78200,222.02200,844.88600,36.02300,1103.17100,2158.95300,541.38500,395.80500,36.06500,569.92400,1111.30900,0.66200,1053.70600,-60.89700,1047.64400,2158.95300
2011-09-30,221.13600,346.43600,324.87600,18.90100,950.37700,209.91800,803.04800,39.99200,1055.24000,2005.61700,453.59300,366.08700,38.36300,537.76400,991.35700,0.66200,1008.88600,-45.99600,1014.26000,2005.61700
2011-06-30,221.47500,336.67300,311.16900,23.17800,931.93200,218.44400,821.37900,36.42900,1079.54600,2011.47800,456.14400,356.19000,37.94900,537.01800,993.16200,0.66200,963.72700,-10.39300,1018.31600,2011.47800
2011-03-31,200.68700,305.68700,284.96400,14.33700,844.93500,216.42500,803.08000,29.18000,1052.19300,1897.12800,381.47100,360.00100,45.60100,546.02400,927.49500,0.66200,927.87700,-17.59500,969.63300,1897.12800
2010-12-31,236.94100,258.14900,253.49100,13.79900,801.95300,206.22500,762.74500,28.81200,1001.12800,1803.08100,348.37400,382.00700,32.30000,551.31990,899.69400,0.66200,887.40600,-38.07700,903.38700,1803.08100
2010-09-30,176.80800,264.79300,248.79500,15.66600,743.77800,203.14200,723.79100,26.17900,961.90200,1705.68000,319.13300,369.77200,31.13900,513.40600,832.53900,0.66200,856.91100,-34.09200,873.14100,1705.68000
2010-06-30,166.50900,275.20100,239.43900,13.52700,731.64000,192.47700,682.26800,17.65900,900.54400,1632.18400,310.45300,369.74300,30.27600,514.79100,825.24400,0.66200,826.84700,-67.98500,806.94000,1632.18400
2010-03-31,178.90000,247.94900,241.08600,12.42100,716.44900,200.15500,696.75100,19.05400,921.79100,1638.24000,309.99100,384.99000,27.57900,526.99200,836.98300,0.66200,796.11700,-40.59600,801.25700,1638.24000
2009-12-31,188.65900,208.26000,239.33300,12.72400,689.50900,201.70700,670.60800,19.04700,896.32600,1585.83500,305.34800,359.03900,26.30100,501.57400,806.92200,0.66200,766.22100,-30.54600,778.91300,1585.83500
2009-09-30,255.18500,230.98100,244.86800,10.35100,773.09300,196.05100,585.50900,19.55500,801.72200,1574.81500,309.82100,400.36500,28.01100,512.45000,822.27100,0.66200,742.49500,-29.39100,752.54400,1574.81500
2009-06-30,121.33300,251.79800,249.60000,11.29100,665.48000,194.47600,577.42000,19.62100,794.70400,1460.18400,316.56000,320.53500,25.51800,440.20400,756.76400,0.66200,715.62400,-48.54700,703.42000,1460.18400
2009-03-31,98.09200,259.60700,253.32900,9.47000,651.59800,193.32900,556.76100,18.17500,769.33700,1420.93500,311.83700,331.75300,37.10900,449.67500,761.51200,0.66200,685.26900,-72.01900,659.42300,1420.93500
