,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1932.00000,8025.00000,636.00000,,10593.00000,839.00000,63345.00000,2549.00000,67724.00000,78317.00000,13671.00000,13509.00000,2109.00000,19309.00000,32980.00000,6.00000,2673.00000,-392.00000,45337.00000,78317.00000
2022-06-30,1688.00000,8105.00000,913.00000,,10706.00000,881.00000,65198.00000,1876.00000,68914.00000,79620.00000,15528.00000,11755.00000,2036.00000,17577.00000,33105.00000,6.00000,2709.00000,-200.00000,46515.00000,79620.00000
2022-03-31,1547.00000,7977.00000,621.00000,,10145.00000,901.00000,67077.00000,2132.00000,71053.00000,81198.00000,13777.00000,14208.00000,2122.00000,20385.00000,34162.00000,6.00000,2721.00000,106.00000,47036.00000,81198.00000
2021-12-31,2010.00000,8147.00000,551.00000,,10708.00000,949.00000,68168.00000,2137.00000,72223.00000,82931.00000,14466.00000,14825.00000,2089.00000,21107.00000,35573.00000,6.00000,2889.00000,252.00000,47358.00000,82931.00000
2021-09-30,1390.00000,8132.00000,489.00000,,10011.00000,846.00000,67977.00000,1921.00000,71679.00000,81690.00000,12627.00000,15833.00000,1943.00000,21946.00000,34573.00000,6.00000,2840.00000,156.00000,47117.00000,81690.00000
2021-06-30,1301.00000,7580.00000,557.00000,,9438.00000,864.00000,69347.00000,1655.00000,72850.00000,82288.00000,11494.00000,16062.00000,2040.00000,22390.00000,33884.00000,6.00000,2921.00000,249.00000,48404.00000,82288.00000
2021-03-31,1039.00000,7600.00000,466.00000,,9105.00000,863.00000,69766.00000,1624.00000,73212.00000,82317.00000,11208.00000,16300.00000,2161.00000,22635.00000,33843.00000,6.00000,2823.00000,124.00000,48474.00000,82317.00000
2020-12-31,1959.00000,7545.00000,394.00000,,9898.00000,887.00000,70566.00000,1574.00000,73944.00000,83842.00000,12361.00000,15951.00000,2200.00000,22168.00000,34529.00000,6.00000,3440.00000,57.00000,49313.00000,83842.00000
2020-09-30,1826.00000,7121.00000,823.00000,164.00000,9934.00000,914.00000,70092.00000,1404.00000,73261.00000,83195.00000,12775.00000,15213.00000,1944.00000,21375.00000,34150.00000,6.00000,3556.00000,-212.00000,49045.00000,83195.00000
2020-06-30,1183.00000,6934.00000,333.00000,150.00000,8600.00000,887.00000,69821.00000,2535.00000,74042.00000,82642.00000,12117.00000,14874.00000,2463.00000,21468.00000,33585.00000,6.00000,3753.00000,-358.00000,49057.00000,82642.00000
2020-03-31,1373.00000,6498.00000,334.00000,141.00000,8346.00000,870.00000,70210.00000,2299.00000,74128.00000,82474.00000,7926.00000,18982.00000,2206.00000,25366.00000,33292.00000,6.00000,3952.00000,-248.00000,49182.00000,82474.00000
2019-12-31,1152.00000,7108.00000,308.00000,124.00000,8692.00000,900.00000,71244.00000,2303.00000,75114.00000,83806.00000,10382.00000,17229.00000,2406.00000,23968.00000,34350.00000,6.00000,4161.00000,-33.00000,49456.00000,83806.00000
2019-09-30,1305.00000,7565.00000,302.00000,153.00000,9325.00000,811.00000,70998.00000,1996.00000,74393.00000,83718.00000,10901.00000,16945.00000,2411.00000,23605.00000,34506.00000,6.00000,4538.00000,-391.00000,49212.00000,83718.00000
2019-06-30,9756.00000,2330.00000,297.00000,122.00000,12505.00000,541.00000,18203.00000,1049.00000,20354.00000,32859.00000,4170.00000,16682.00000,664.00000,18697.00000,22867.00000,4.00000,4599.00000,-438.00000,9992.00000,32859.00000
2019-03-31,576.00000,2613.00000,299.00000,123.00000,3611.00000,556.00000,18340.00000,1028.00000,20462.00000,24073.00000,3521.00000,8562.00000,681.00000,10649.00000,14170.00000,4.00000,4558.00000,-427.00000,9903.00000,24073.00000
2018-12-31,703.00000,2619.00000,288.00000,123.00000,3733.00000,587.00000,18472.00000,503.00000,20037.00000,23770.00000,3125.00000,8670.00000,326.00000,10423.00000,13548.00000,4.00000,4528.00000,-430.00000,10222.00000,23770.00000
2018-09-30,632.00000,2545.00000,252.00000,168.00000,3597.00000,546.00000,18599.00000,510.00000,20097.00000,23694.00000,2692.00000,8998.00000,375.00000,10836.00000,13528.00000,4.00000,4339.00000,-433.00000,10166.00000,23694.00000
2018-06-30,683.00000,2408.00000,294.00000,109.00000,3494.00000,557.00000,18913.00000,492.00000,20374.00000,23868.00000,2534.00000,8854.00000,378.00000,10790.00000,13324.00000,4.00000,4291.00000,-403.00000,10544.00000,23868.00000
2018-03-31,725.00000,2594.00000,309.00000,107.00000,3735.00000,581.00000,19193.00000,504.00000,20670.00000,24405.00000,3816.00000,8040.00000,390.00000,9978.00000,13794.00000,4.00000,4186.00000,-318.00000,10611.00000,24405.00000
2017-12-31,665.00000,2662.00000,253.00000,108.00000,3688.00000,610.00000,19343.00000,531.00000,20838.00000,24526.00000,4011.00000,7718.00000,403.00000,9695.00000,13706.00000,4.00000,4109.00000,-332.00000,10820.00000,24526.00000
