,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,5899.00000,2118.00000,774.00000,8791.00000,2210.00000,1184.00000,8352.00000,12770.00000,21561.00000,10778.00000,6240.00000,451.00000,7055.00000,17833.00000,,-1409.00000,-234.00000,3728.00000,21561.00000
2022-09-30,6415.00000,2056.00000,799.00000,9270.00000,2169.00000,1122.00000,8332.00000,12609.00000,21879.00000,11119.00000,6237.00000,445.00000,7047.00000,18166.00000,0.00000,-1586.00000,-317.00000,3713.00000,21879.00000
2022-06-30,8350.00000,2278.00000,1158.00000,11786.00000,2163.00000,1151.00000,8441.00000,12958.00000,24744.00000,13837.00000,6727.00000,420.00000,7526.00000,21363.00000,0.00000,-2068.00000,-240.00000,3381.00000,24744.00000
2022-03-31,8135.00000,1829.00000,1183.00000,11147.00000,2169.00000,1468.00000,8534.00000,13430.00000,24577.00000,12469.00000,7719.00000,414.00000,8541.00000,21010.00000,,-1883.00000,-161.00000,3567.00000,24577.00000
2021-12-31,6005.00000,1349.00000,827.00000,8181.00000,2180.00000,1450.00000,8564.00000,13367.00000,21548.00000,9450.00000,7715.00000,413.00000,8546.00000,17996.00000,,-1761.00000,-149.00000,3552.00000,21548.00000
2021-09-30,6618.00000,1587.00000,838.00000,9043.00000,2264.00000,655.00000,8743.00000,12901.00000,21944.00000,9751.00000,7712.00000,438.00000,8591.00000,18342.00000,,-2147.00000,-221.00000,3602.00000,21944.00000
2021-06-30,8016.00000,1839.00000,1258.00000,11113.00000,2261.00000,663.00000,8827.00000,13068.00000,24181.00000,11713.00000,8480.00000,465.00000,9375.00000,21088.00000,,-2531.00000,-186.00000,3093.00000,24181.00000
2021-03-31,6286.00000,1399.00000,1151.00000,8836.00000,2241.00000,667.00000,8842.00000,13030.00000,21866.00000,8774.00000,8464.00000,456.00000,9382.00000,18156.00000,,-2359.00000,-199.00000,3710.00000,21866.00000
2020-12-31,4159.00000,821.00000,654.00000,5634.00000,2257.00000,671.00000,8895.00000,13056.00000,18690.00000,5406.00000,8216.00000,462.00000,9258.00000,14664.00000,,-1781.00000,-178.00000,4026.00000,18690.00000
2020-09-30,5101.00000,949.00000,685.00000,6735.00000,2303.00000,606.00000,8880.00000,12944.00000,19679.00000,5636.00000,8826.00000,456.00000,9909.00000,15545.00000,,-1398.00000,-239.00000,4134.00000,19679.00000
