,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,8348.00000,2695.00000,2077.00000,1177.00000,,14297.00000,2019.00000,8655.00000,52.00000,11759.00000,26056.00000,6807.00000,922.00000,81.00000,1257.00000,8064.00000,,16855.00000,-351.00000,,17992.00000,26056.00000
2022-06-30,7897.00000,2691.00000,1921.00000,1054.00000,,13563.00000,1324.00000,10162.00000,87.00000,12480.00000,26043.00000,6812.00000,641.00000,113.00000,1246.00000,8058.00000,,15812.00000,-240.00000,,17985.00000,26043.00000
2022-03-31,10115.00000,3173.00000,1942.00000,1120.00000,,16350.00000,1341.00000,9171.00000,94.00000,11259.00000,27609.00000,9238.00000,646.00000,91.00000,1296.00000,10534.00000,,13615.00000,-184.00000,,17075.00000,27609.00000
2021-12-31,10727.00000,3175.00000,1441.00000,728.00000,,16071.00000,1241.00000,6843.00000,46.00000,8598.00000,24669.00000,9128.00000,599.00000,76.00000,1396.00000,10524.00000,,9958.00000,-24.00000,,14145.00000,24669.00000
2021-09-30,8906.00000,3142.00000,965.00000,412.00000,,13425.00000,845.00000,6442.00000,15.00000,7498.00000,20923.00000,9957.00000,238.00000,1.00000,842.00000,10799.00000,,5090.00000,31.00000,,10124.00000,20923.00000
2021-06-30,7990.00000,2020.00000,643.00000,316.00000,,10969.00000,794.00000,4207.00000,13.00000,5184.00000,16153.00000,8840.00000,328.00000,1.00000,609.00000,9449.00000,,1757.00000,16.00000,,6704.00000,16153.00000
2021-03-31,7735.00000,3210.00000,494.00000,264.00000,,11703.00000,372.00000,468.00000,12.00000,991.00000,12694.00000,8441.00000,138.00000,2.00000,415.00000,8856.00000,,-1023.00000,1.00000,,3838.00000,12694.00000
2020-12-31,4608.00000,1391.00000,47.00000,252.00000,,6298.00000,297.00000,639.00000,13.00000,1039.00000,7337.00000,4389.00000,110.00000,3.00000,387.00000,4776.00000,,-2244.00000,3.00000,,2561.00000,7337.00000
2020-09-30,3277.33400,190.50100,,109.37600,,3577.21100,276.90900,691.96900,13.10000,1073.66200,4650.87300,1473.56100,108.60900,2.18300,417.51400,1891.07500,0.04000,-1971.03300,4.78400,,2759.79800,4650.87300
2020-06-30,2718.04500,33.36200,,45.33700,,2796.74400,229.93900,354.91600,12.36100,689.26200,3486.00600,161.64700,68.13600,1.22400,377.47400,539.12100,0.03900,-1737.39700,8.25600,,2946.88500,3486.00600
2020-03-31,1218.73300,7.30000,,23.90300,,1249.93600,202.06600,502.47900,12.52700,817.60500,2067.54100,134.58200,38.93000,1.24700,292.08500,426.66700,0.03700,-1620.68400,-6.12700,,1640.87400,2067.54100
2019-12-31,1104.03200,5.36900,,19.40300,,1128.80400,201.49500,159.98700,12.72200,460.61800,1589.42200,143.11500,38.68900,0.13800,271.49700,414.61200,0.03400,-1496.45400,1.80400,,1174.81000,1589.42200
2019-09-30,1059.57200,8.21600,,26.67800,,1094.46600,203.68800,279.86000,12.88500,496.43300,1590.89900,147.84200,,33.96200,191.25000,339.09200,0.03300,-1369.54800,2.83000,,1251.80700,1590.89900
2019-06-30,1070.40800,4.51800,,22.49200,,1097.41800,208.50900,365.03200,14.32000,587.86100,1685.27900,161.98700,,33.77600,184.73800,346.72500,0.03300,-1246.35400,2.74100,,1338.55400,1685.27900
2019-03-31,1108.92400,6.61100,,25.29200,,1140.82700,213.46000,437.65900,14.26100,665.38000,1806.20700,159.15900,,33.59700,201.01500,360.17400,0.03300,-1111.30000,0.59100,,1446.03300,1806.20700
2018-12-31,1522.02200,12.58500,,28.39900,,1563.00600,211.97700,172.99000,14.17600,399.14300,1962.14900,222.80300,,33.74700,209.10500,431.90800,0.03300,-1006.62700,-1.32000,,1530.24100,1962.14900
2018-09-30,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2018-06-30,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2018-03-31,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2017-12-31,756.98000,13.41700,,,12.82000,783.22300,187.06200,145.85000,16.38000,349.29200,1084.48900,191.46100,,1193.87000,1444.38000,1635.85400,0.00600,-621.89300,,-1.15000,-551.36500,1084.48000
2016-12-31,1058.13800,13.52300,,,15.49000,1087.15200,109.01600,236.56000,12.23000,357.80600,1417.16100,162.80200,,1190.26000,1589.16000,1751.97100,0.00600,-365.71800,,-0.40000,-334.81000,1417.16000
