,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1090.40000,1227.30000,619.40000,680.00000,,3617.10000,666.80000,139.60000,3894.90000,866.70000,5709.60000,9326.70000,2078.90000,1601.30000,411.10000,2772.70000,4851.60000,,-2375.50000,4.20000,4475.10000,9326.70000
2022-09-30,1057.10000,1027.60000,519.60000,604.40000,,3208.70000,667.20000,197.80000,3912.00000,844.80000,5767.50000,8976.20000,1896.70000,1595.70000,438.50000,2741.40000,4638.10000,,-2504.20000,-52.60000,4338.10000,8976.20000
2022-06-30,1016.10000,1048.40000,394.90000,612.60000,,3072.00000,675.70000,269.50000,3930.00000,768.60000,5789.00000,8861.00000,1949.90000,1625.80000,389.30000,2662.40000,4612.30000,,-2625.40000,-0.10000,4248.70000,8861.00000
2022-03-31,1306.70000,848.80000,317.00000,480.30000,85.50000,3038.30000,689.40000,362.20000,3949.50000,635.40000,5789.60000,8827.90000,1858.40000,1648.40000,420.90000,2702.60000,4561.00000,,-2677.90000,11.70000,4266.90000,8827.90000
2021-12-31,1238.00000,994.40000,272.60000,451.60000,,2956.60000,703.00000,455.50000,4046.40000,564.20000,5930.40000,8887.00000,1876.50000,1686.80000,388.90000,2693.60000,4570.10000,,-2653.60000,-2.10000,4316.90000,8887.00000
2021-09-30,1331.80000,774.30000,223.20000,410.30000,,2739.60000,715.40000,504.00000,4049.20000,539.10000,5981.80000,8721.40000,1639.10000,1692.00000,400.30000,2698.50000,4337.60000,,-2697.00000,44.00000,4383.80000,8721.40000
2021-06-30,1322.20000,768.30000,211.50000,344.10000,,2646.10000,725.10000,493.20000,4069.40000,608.70000,6077.30000,8723.40000,1690.90000,1694.40000,396.40000,2691.60000,4382.50000,,-2757.80000,55.90000,4340.90000,8723.40000
2021-03-31,1283.20000,758.90000,,558.20000,,2600.30000,743.60000,481.40000,4088.40000,611.60000,6110.80000,8711.10000,1607.70000,1685.20000,390.10000,2673.80000,4281.50000,,-2762.60000,81.30000,4429.60000,8711.10000
2020-12-31,1774.00000,964.10000,210.20000,322.90000,,3271.20000,762.30000,656.60000,3936.30000,567.30000,6107.10000,9378.30000,2161.10000,1705.80000,385.90000,2673.70000,4834.80000,,-2669.00000,55.60000,4543.50000,9378.30000
2020-09-30,1840.80000,754.00000,,443.70000,,3038.50000,768.60000,720.40000,3489.00000,505.50000,5656.20000,8694.70000,1501.60000,1714.10000,375.20000,2632.30000,4133.90000,0.00000,-2669.20000,15.20000,4560.80000,8694.70000
2020-06-30,1857.90000,754.70000,,388.60000,,3001.20000,781.60000,712.40000,3498.40000,573.70000,5740.30100,8741.50000,1596.30000,1720.10000,421.60000,2680.90000,4277.20000,,-2768.50000,-22.90000,4464.30000,8741.50000
2020-03-31,1921.60000,675.10000,,376.00000,,2972.70000,802.90000,608.30000,3507.80000,552.00000,5636.80000,8609.50000,1536.50000,1712.90000,415.70000,2682.30000,4218.80000,,-2831.40000,-59.20000,4390.70000,8609.50000
2019-12-31,1953.80000,879.70000,,376.30000,,3209.80000,830.90000,589.80000,3522.90000,514.60000,5627.90000,8837.70000,1543.90000,1683.90000,430.70000,2683.20000,4227.10000,,-2741.40000,-18.50000,4610.60000,8837.70000
2019-09-30,2245.60000,635.80000,,306.10000,,3187.50000,848.70000,581.10000,3534.00000,430.40000,5566.10000,8753.60000,1422.90000,1687.60000,460.10000,2688.30000,4111.20000,,-2832.70000,-26.80000,4642.40000,8753.60000
2019-06-30,2800.20000,659.40000,,299.00000,,3758.60000,870.00000,74.80000,3543.90000,479.30000,5144.70000,8903.30000,1766.20000,1490.50000,506.50000,2545.90000,4312.10000,,-2888.70000,-11.30000,4591.20000,8903.30000
