,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4749.00000,12672.00000,4406.00000,21826.00000,55485.00000,7740.00000,147167.00000,25057.00000,235449.00000,257275.00000,27887.00000,98240.00000,20395.00000,147760.00000,175648.00000,51.00000,51609.00000,-2611.00000,81627.00000,257275.00000
2022-09-30,5695.00000,11918.00000,5803.00000,23416.00000,53555.00000,7857.00000,144383.00000,25096.00000,230891.00000,254308.00000,27999.00000,95576.00000,20288.00000,145375.00000,173375.00000,52.00000,52541.00000,-4555.00000,80933.00000,254308.00000
2022-06-30,6822.00000,11956.00000,5415.00000,24192.00000,53508.00000,8240.00000,156579.00000,24514.00000,242841.00000,267032.00000,27585.00000,96630.00000,20254.00000,146888.00000,174474.00000,53.00000,61209.00000,-2170.00000,92558.00000,267032.00000
2022-03-31,8880.00000,12300.00000,4201.00000,25381.00000,53820.00000,8933.00000,160885.00000,25054.00000,248692.00000,274074.00000,29657.00000,97614.00000,20441.00000,148425.00000,178082.00000,53.00000,61555.00000,674.00000,95992.00000,274074.00000
2021-12-31,8711.00000,12008.00000,4088.00000,24807.00000,54047.00000,8687.00000,163134.00000,25230.00000,251098.00000,275905.00000,29348.00000,97888.00000,20620.00000,149068.00000,178415.00000,54.00000,61902.00000,1480.00000,97490.00000,275905.00000
2021-09-30,11806.00000,11974.00000,3646.00000,27427.00000,52809.00000,9726.00000,162384.00000,24715.00000,249634.00000,277061.00000,26738.00000,101691.00000,20756.00000,153017.00000,179755.00000,54.00000,61783.00000,1328.00000,97306.00000,277061.00000
2021-06-30,12378.00000,11110.00000,3558.00000,27046.00000,52769.00000,9467.00000,164115.00000,23607.00000,249958.00000,277004.00000,29314.00000,100344.00000,20775.00000,151174.00000,180488.00000,55.00000,60359.00000,1992.00000,96516.00000,277004.00000
2021-03-31,14950.00000,10986.00000,3502.00000,29438.00000,52317.00000,8376.00000,164332.00000,24048.00000,249073.00000,278511.00000,30811.00000,104104.00000,20690.00000,153600.00000,184411.00000,55.00000,58321.00000,1972.00000,94100.00000,278511.00000
2020-12-31,11740.00000,11466.00000,3535.00000,26741.00000,51995.00000,8267.00000,165423.00000,21443.00000,247128.00000,273869.00000,28796.00000,105782.00000,18222.00000,153335.00000,182131.00000,54.00000,56438.00000,1884.00000,91738.00000,273869.00000
2020-09-30,13707.00000,10310.00000,3352.00000,27369.00000,50466.00000,7131.00000,162748.00000,21226.00000,241571.00000,268940.00000,29511.00000,105162.00000,17537.00000,151858.00000,181369.00000,54.00000,54254.00000,212.00000,87571.00000,268940.00000
2020-06-30,13935.00000,10227.00000,3323.00000,27485.00000,48985.00000,7378.00000,160905.00000,21225.00000,238493.00000,265978.00000,28445.00000,105931.00000,17608.00000,152742.00000,181187.00000,54.00000,53420.00000,-1279.00000,84791.00000,265978.00000
2020-03-31,8516.00000,10800.00000,4768.00000,24084.00000,48442.00000,7080.00000,161255.00000,21560.00000,238337.00000,262421.00000,27600.00000,105770.00000,17144.00000,152038.00000,179638.00000,54.00000,51516.00000,-1144.00000,82783.00000,262421.00000
2019-12-31,5500.00000,11292.00000,8600.00000,25392.00000,48322.00000,7683.00000,164218.00000,17799.00000,238022.00000,263414.00000,30292.00000,102931.00000,16765.00000,149248.00000,179540.00000,54.00000,50695.00000,1047.00000,83874.00000,263414.00000
2019-09-30,3507.00000,10684.00000,8132.00000,22323.00000,46790.00000,8289.00000,161442.00000,17530.00000,234051.00000,256374.00000,25989.00000,105012.00000,16853.00000,151225.00000,177214.00000,54.00000,48570.00000,-1159.00000,79160.00000,256374.00000
2019-06-30,3919.00000,10835.00000,6607.00000,21361.00000,46047.00000,8438.00000,163386.00000,17323.00000,235194.00000,256555.00000,31008.00000,101248.00000,17144.00000,147717.00000,178725.00000,54.00000,46425.00000,-62.00000,77830.00000,256555.00000
2019-03-31,3498.00000,10736.00000,6039.00000,20273.00000,45721.00000,9159.00000,164340.00000,16696.00000,235916.00000,256189.00000,27917.00000,104464.00000,18811.00000,152410.00000,180327.00000,54.00000,44379.00000,422.00000,75862.00000,256189.00000
2018-12-31,3814.00000,11104.00000,6930.00000,21848.00000,44437.00000,7883.00000,163877.00000,13639.00000,229836.00000,251684.00000,27603.00000,107345.00000,15329.00000,151579.00000,179182.00000,54.00000,41983.00000,-368.00000,72502.00000,251684.00000
2018-09-30,10616.00000,8983.00000,3607.00000,23206.00000,39855.00000,7724.00000,114717.00000,15133.00000,177429.00000,200635.00000,19627.00000,69711.00000,12468.00000,108663.00000,128290.00000,54.00000,41218.00000,374.00000,72345.00000,200635.00000
