,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2019-09-30,2036.00000,2438.00000,3269.00000,823.00000,8566.00000,2460.00000,12760.00000,1287.00000,18093.00000,26659.00000,3921.00000,7889.00000,1439.00000,10423.00000,14344.00000,37.00000,11238.00000,-553.00000,12315.00000,26659.00000
2019-06-30,1839.00000,2408.00000,3198.00000,740.00000,8185.00000,2387.00000,12946.00000,1223.00000,18169.00000,26354.00000,3946.00000,7974.00000,1385.00000,10465.00000,14411.00000,37.00000,10967.00000,-630.00000,11943.00000,26354.00000
2019-03-31,1758.00000,2284.00000,3064.00000,782.00000,7888.00000,2297.00000,12950.00000,1171.00000,18049.00000,25937.00000,3713.00000,7950.00000,1363.00000,10531.00000,14244.00000,37.00000,10683.00000,-565.00000,11693.00000,25937.00000
2018-12-31,3699.00000,2332.00000,2955.00000,747.00000,9733.00000,2291.00000,12726.00000,801.00000,17496.00000,27229.00000,4807.00000,8486.00000,978.00000,10692.00000,15499.00000,37.00000,10765.00000,-631.00000,11730.00000,27229.00000
2018-09-30,2210.00000,2076.00000,2893.00000,739.00000,7918.00000,2178.00000,11097.00000,891.00000,14166.00000,22084.00000,4153.00000,5928.00000,892.00000,8071.00000,12224.00000,37.00000,8892.00000,-604.00000,9860.00000,22084.00000
2018-06-30,1920.00000,2089.00000,2740.00000,664.00000,7413.00000,2101.00000,11203.00000,853.00000,14157.00000,21570.00000,4046.00000,5925.00000,877.00000,8064.00000,12110.00000,37.00000,8477.00000,-557.00000,9460.00000,21570.00000
2018-03-31,2455.00000,2108.00000,2664.00000,624.00000,7851.00000,2054.00000,11412.00000,816.00000,14282.00000,22133.00000,4800.00000,5920.00000,912.00000,8110.00000,12910.00000,37.00000,8201.00000,-510.00000,9223.00000,22133.00000
2017-12-31,2793.00000,2198.00000,2465.00000,537.00000,7993.00000,1975.00000,10645.00000,1301.00000,14204.00000,22197.00000,3485.00000,6590.00000,881.00000,8732.00000,12217.00000,37.00000,8986.00000,-553.00000,9980.00000,22197.00000
2017-09-30,2689.00000,1965.00000,2454.00000,602.00000,7710.00000,1852.00000,10496.00000,1427.00000,13775.00000,21485.00000,3258.00000,6593.00000,1209.00000,7802.00000,11060.00000,37.00000,9411.00000,-498.00000,10425.00000,21485.00000
2017-06-30,3747.00000,1905.00000,2279.00000,547.00000,8478.00000,1758.00000,9853.00000,1203.00000,12814.00000,21292.00000,3552.00000,6592.00000,1113.00000,7705.00000,11257.00000,37.00000,9136.00000,-590.00000,10035.00000,21292.00000
2017-03-31,3279.00000,1875.00000,2172.00000,563.00000,7889.00000,1655.00000,9839.00000,1134.00000,12628.00000,20517.00000,2554.00000,7184.00000,1075.00000,8259.00000,10813.00000,37.00000,8903.00000,-675.00000,9704.00000,20517.00000
2016-12-31,3384.00000,1967.00000,2030.00000,480.00000,7861.00000,1569.00000,9864.00000,1141.00000,12574.00000,20435.00000,3148.00000,6686.00000,764.00000,7737.00000,10885.00000,37.00000,8842.00000,-761.00000,9550.00000,20435.00000
2016-09-30,3022.00000,1803.00000,2092.00000,449.00000,7366.00000,1505.00000,10083.00000,1233.00000,12821.00000,20187.00000,3026.00000,6713.00000,1116.00000,7829.00000,10855.00000,37.00000,8491.00000,-600.00000,9332.00000,20187.00000
2016-06-30,3656.00000,1758.00000,1989.00000,421.00000,7824.00000,1446.00000,10100.00000,1150.00000,12696.00000,20520.00000,3605.00000,6717.00000,1100.00000,7817.00000,11422.00000,37.00000,8278.00000,-595.00000,9098.00000,20520.00000
2016-03-31,7483.00000,1591.00000,1768.00000,483.00000,11325.00000,1224.00000,5945.00000,1174.00000,8343.00000,19668.00000,3186.00000,6706.00000,968.00000,7674.00000,10860.00000,37.00000,8040.00000,-622.00000,8808.00000,19668.00000
