,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,85.55800,292.66200,7388.68200,412.61100,7801.29300,8233.99100,190.34000,4397.05300,356.47000,4931.89400,5199.97600,0.81800,-1034.18600,5.75700,3034.01500,8233.99100
2022-09-30,146.21400,342.83800,7344.20100,389.02500,7733.22600,8217.00700,245.61000,4364.56100,360.96300,4911.28300,5235.12700,0.81700,-1060.02700,6.08400,2981.88000,8217.00700
2022-06-30,176.55900,373.42800,7058.08700,240.12300,7298.21000,7810.44100,226.66000,4102.36900,323.84600,4635.52700,4934.01400,0.81300,-1126.46300,3.55000,2876.42700,7810.44100
2022-03-31,157.94400,350.94200,6918.92700,258.76400,7177.69100,7668.37500,233.77300,4119.29500,314.37000,4647.70800,4953.79800,0.79900,-1101.15400,1.52500,2714.57700,7668.37500
2021-12-31,162.13200,340.68200,6890.96700,250.09600,7141.06300,7622.32000,235.16800,4119.57900,318.05600,4651.34300,4959.17200,0.79000,-1066.93200,-2.04700,2663.14800,7622.32000
2021-09-30,177.59100,346.95200,6891.10000,254.40100,7145.50100,7634.44200,244.27200,4236.38700,321.04200,4770.37900,5088.26000,0.78200,-1095.74100,-2.72600,2546.18200,7634.44200
2021-06-30,304.26800,467.09500,6826.29600,242.55400,7068.85000,7678.87600,253.09200,4244.97400,318.21900,4775.81600,5103.03700,0.78200,-1062.64100,-3.23800,2575.83900,7678.87600
2021-03-31,779.90100,981.02900,6315.47700,239.57900,6555.05600,7669.60100,254.51500,4346.95500,261.96600,4747.10300,5064.64100,0.78100,-1024.41700,-2.30000,2604.96000,7669.60100
2020-12-31,798.32900,998.00100,6225.17800,241.08100,6466.25900,7607.62400,228.64100,4363.42400,256.65100,4757.79500,5058.87700,0.77100,-988.27200,-5.64400,2548.74700,7607.62400
2020-09-30,863.27900,1068.06600,6247.82300,251.13000,6498.95300,7711.29300,276.39600,4532.90100,251.27000,4943.89200,5293.20900,0.76000,-999.66400,-7.30000,2418.08400,7711.29300
2020-06-30,980.03900,1178.01200,6237.49400,229.17200,6466.66600,7789.93000,244.48200,4534.02800,247.20900,4940.82000,5258.82900,0.76000,-889.19500,-7.75800,2531.10100,7789.93000
2020-03-31,994.68800,1178.26300,6192.77300,242.65200,6435.42500,7759.91400,245.96800,4426.47200,254.25000,4840.25600,5160.30600,0.76000,-818.28400,-7.26500,2599.60800,7759.91400
2019-12-31,127.43200,310.43300,6082.71900,255.66400,6338.38300,6794.99200,255.50300,3428.65600,261.31500,3829.72900,4158.86000,0.75900,-791.12400,-0.81300,2636.13200,6794.99200
