,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,359298.00000,298871.00000,658169.00000,,452457.00000,24614.00000,24789.00000,501860.00000,1160029.00000,837517.00000,220423.00000,220423.00000,1057940.00000,20.00000,94055.00000,-5758.00000,102089.00000,1160029.00000
2022-06-30,390529.00000,289241.00000,679770.00000,,444329.00000,24803.00000,24874.00000,494006.00000,1173776.00000,844937.00000,226177.00000,226177.00000,1071114.00000,20.00000,92889.00000,-5021.00000,102662.00000,1173776.00000
2022-03-31,414848.00000,291064.00000,705912.00000,,467674.00000,25069.00000,23578.00000,516321.00000,1222233.00000,888341.00000,229817.00000,229817.00000,1118158.00000,20.00000,91722.00000,-4902.00000,104075.00000,1222233.00000
2021-12-31,377437.00000,284152.00000,661589.00000,,477867.00000,25193.00000,23491.00000,526551.00000,1188140.00000,848415.00000,233127.00000,233127.00000,1081542.00000,20.00000,89432.00000,-3102.00000,106598.00000,1188140.00000
2021-09-30,369506.00000,271712.00000,641218.00000,,498592.00000,25346.00000,25320.00000,549258.00000,1190476.00000,853595.00000,229762.00000,229762.00000,1083357.00000,20.00000,87099.00000,-2701.00000,107119.00000,1190476.00000
2021-06-30,349113.00000,266980.00000,616093.00000,,496487.00000,25528.00000,23697.00000,545712.00000,1161805.00000,829501.00000,224142.00000,224142.00000,1053643.00000,20.00000,84791.00000,-2523.00000,108162.00000,1161805.00000
2021-03-31,334988.00000,274166.00000,609154.00000,,502364.00000,25682.00000,21572.00000,549618.00000,1158772.00000,835358.00000,215826.00000,215826.00000,1051184.00000,20.00000,82034.00000,-2754.00000,107588.00000,1158772.00000
2020-12-31,334279.00000,248334.00000,582613.00000,,494892.00000,16615.00000,21742.00000,533249.00000,1115862.00000,795634.00000,217079.00000,217079.00000,1012713.00000,20.00000,78694.00000,-1962.00000,103149.00000,1115862.00000
2020-09-30,283858.00000,218774.00000,502632.00000,,424673.00000,9228.00000,19407.00000,453308.00000,955940.00000,662678.00000,203444.00000,203444.00000,866122.00000,20.00000,76061.00000,-537.00000,89818.00000,955940.00000
2020-06-30,309722.00000,204263.00000,513985.00000,,433011.00000,9287.00000,19080.00000,461378.00000,975363.00000,681890.00000,205464.00000,205464.00000,887354.00000,20.00000,74015.00000,1.00000,88009.00000,975363.00000
2020-03-31,308609.00000,223121.00000,531730.00000,,387073.00000,9146.00000,19846.00000,416065.00000,947795.00000,665711.00000,194856.00000,194856.00000,860567.00000,20.00000,71518.00000,2095.00000,87228.00000,947795.00000
2019-12-31,276944.00000,186283.00000,463227.00000,,402835.00000,9250.00000,20117.00000,432202.00000,895429.00000,620105.00000,192627.00000,192627.00000,812732.00000,20.00000,70589.00000,-2788.00000,82697.00000,895429.00000
2019-09-30,305424.00000,185036.00000,490460.00000,,383213.00000,9350.00000,19581.00000,412144.00000,902604.00000,625395.00000,193659.00000,193659.00000,819054.00000,20.00000,69071.00000,-1598.00000,83550.00000,902604.00000
