,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-06-30,772.61300,2736.01000,96.53700,,3753.11600,455.62600,3416.80800,707.02900,4579.46300,8332.57900,2169.93800,789.41600,,1629.98300,3799.92100,133.01000,3504.78800,-303.99200,4532.65800,8332.57900
2014-03-31,691.25600,2718.21600,104.76800,,3648.77300,471.90200,3397.22300,718.15100,4587.27600,8236.04900,1982.80300,932.15400,,1789.41200,3772.21500,132.17900,3460.61900,-319.51300,4463.83400,8236.04900
2013-12-31,1011.23600,2690.28900,110.64000,,3944.24400,468.33500,3348.14100,680.43200,4496.90800,8441.15200,2162.11900,1041.48000,,1917.95400,4080.07300,131.86300,3394.61600,-314.76600,4361.07900,8441.15200
2013-09-30,1256.40500,2548.99000,103.07700,,4039.55800,379.29600,2240.73500,614.55500,3234.58600,7274.14400,1887.61900,415.08600,,1138.19000,3025.80900,131.63900,3300.96100,-304.12700,4248.33500,7274.14400
2013-06-30,1295.51700,2317.91700,79.30000,,3800.25700,361.26600,2015.37100,872.85500,3249.49200,7049.74900,1733.32300,432.70100,,1194.58500,2927.90800,131.41000,3190.98100,-300.70500,4121.84100,7049.74900
2013-03-31,1166.20700,2274.36200,84.39500,,3641.50100,358.84600,2005.23500,866.14900,3230.23000,6871.73100,1654.24400,447.21300,,1228.11900,2882.36300,130.72000,3085.32200,-287.68900,3989.36800,6871.73100
2012-12-31,1241.74500,2223.85900,86.95300,,3695.37200,340.95600,2011.52300,888.82700,3241.30600,6936.67800,1750.80000,513.11300,,1317.55700,3068.35700,130.24000,3017.61700,-291.60500,3868.32100,6936.67800
2012-09-30,1032.45700,2348.89200,88.35900,,3612.07700,331.13100,2010.34000,885.88500,3227.35600,6839.43300,1747.05200,528.26000,,1333.49200,3080.54400,129.93600,2920.44100,-281.88700,3758.88900,6839.43300
2012-06-30,898.58800,2208.37400,60.37000,,3305.46900,311.31100,1993.09000,872.69700,3177.09800,6482.56700,1571.17600,510.64500,,1220.98200,2792.15800,129.65500,2812.30600,-220.42300,3690.40900,6482.56700
2012-03-31,921.50700,2146.87900,61.33800,,3265.22200,297.40300,1877.58500,891.56000,3066.54800,6331.77000,1828.97100,285.38500,,940.38400,2769.35500,128.91100,2718.50800,-217.50500,3562.41500,6331.77000
2011-12-31,959.23700,2026.97300,58.59200,,3158.52100,291.42900,1780.74500,895.58000,2967.75400,6126.27500,2023.34500,,,650.18700,2673.53200,128.38400,2648.45400,-223.75600,3452.74300,6126.27500
2011-09-30,905.63300,2077.49400,63.54600,,3180.09100,284.63300,1872.76800,861.73400,3019.13500,6199.22600,2168.52600,2.04200,,707.31500,2875.84100,127.78500,2564.28100,-237.53800,3323.38500,6199.22600
2011-06-30,773.81900,2177.63200,56.38100,,3124.72600,292.87000,1744.25500,877.46600,2914.59100,6039.31700,2129.81500,2.45500,,756.32400,2886.13900,127.47200,2470.01800,-296.27600,3153.17800,6039.31700
2011-03-31,747.91100,1984.25800,74.29800,,2933.51400,234.54800,1731.66100,737.89000,2704.09900,5637.61300,1486.32400,379.69600,,1101.83500,2588.15900,126.75400,2386.86100,-284.57100,3049.45400,5637.61300
2010-12-31,1039.68300,1617.83000,61.33000,,2837.20900,207.09200,1161.26200,701.07300,2069.42700,4906.63600,1254.92500,11.83700,,696.80000,1951.72500,126.26500,2317.18200,-281.27100,2954.91100,4906.63600
2010-09-30,938.84200,1659.84400,50.65800,,2767.04200,215.03200,1118.88900,582.95400,1916.87500,4683.91700,1239.45300,0.50900,,579.53590,1818.98900,125.90900,2251.36600,-285.74100,2864.92800,4683.91700
2010-06-30,941.68000,1661.76700,41.24600,,2773.20100,220.15300,1118.19500,549.22700,1887.57500,4660.77600,1366.69800,0.51700,,476.28600,1842.98400,125.62300,2174.37800,-240.61300,2817.79200,4660.77600
2010-03-31,839.05700,1698.77400,44.05500,,2710.33000,223.77600,1125.59100,591.12500,1940.49200,4650.82200,1352.70600,0.56100,,485.82900,1838.53500,124.90500,2156.89500,-210.30800,2812.28700,4650.82200
2009-12-31,1055.03800,1549.76000,50.43700,,2772.87200,221.57500,1133.30900,552.78000,1907.66400,4680.53600,1450.31200,0.62800,,506.81000,1957.12200,124.51100,2081.35400,-206.20700,2723.41400,4680.53600
2009-09-30,1033.61900,1618.56100,49.20300,,2818.44900,240.35000,929.84200,439.97300,1610.16500,4428.61400,1295.90100,0.73700,,501.23800,1797.13900,124.23000,2009.33800,-211.51500,2631.47500,4428.61400
2009-06-30,1059.47000,1650.99800,44.05500,,2893.06000,243.43100,922.19700,366.84800,1532.47600,4425.53600,1426.33100,13.27500,,384.55500,1810.88600,123.90400,1938.22600,-132.64200,2614.65000,4425.53600
2009-03-31,772.65200,1737.29400,40.11800,,2691.00800,244.20900,921.26000,325.37800,1490.84700,4181.85500,1333.99600,24.97500,,370.66200,1704.65800,123.44300,1844.55100,-158.00800,2477.19700,4181.85500
