,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1186.71400,393.11800,155.88000,421.67200,,2157.38400,14511.65000,598.65900,1683.23700,16793.54000,18950.93000,4662.75400,12893.41000,994.98500,13888.39000,18551.15000,0.42100,-6583.83500,-604.50200,,399.78300,18950.93000
2022-06-30,1903.23800,598.25600,154.39700,475.85600,,3131.74700,13641.34000,598.65900,1741.44900,15981.45000,19113.20000,5033.46200,12239.36000,938.56100,13177.92000,18211.38000,0.41900,-6288.44100,-377.29200,,901.81500,19113.20000
2022-03-31,2136.84000,544.96100,141.95600,390.75300,,3214.51000,13532.40000,598.65900,1909.92400,16040.98000,19255.49000,4176.68000,12563.52000,1007.69200,13571.21000,17747.89000,0.41900,-5779.12000,-250.80800,,1507.60200,19255.49000
2021-12-31,1746.64700,1167.47300,118.20500,269.24300,,3301.56800,13528.81000,598.65900,1300.80400,15428.27000,18729.84000,3730.43200,11569.70000,997.05500,12566.75000,16297.19000,0.41700,-4796.40600,-285.08600,,2432.65000,18729.84000
2021-09-30,1934.81600,990.38400,108.17700,247.82400,,3281.20100,13480.12000,598.65900,1370.04700,15448.83000,18730.03000,2939.84800,11864.79000,1042.14600,12906.94000,15846.79000,0.37000,-3223.68500,-264.99100,,2883.23900,18730.03000
2021-06-30,2750.14000,422.59800,92.04100,200.67100,,3465.45000,13431.88000,598.65900,1030.58600,15061.13000,18526.58000,2180.56700,11924.63000,702.12600,12626.76000,14807.33000,0.37000,-2377.80000,-232.90300,,3719.25200,18526.58000
2021-03-31,3508.03300,18.58100,84.69100,168.01800,,3779.32300,13401.34000,598.65900,1194.47400,15194.47000,18973.79000,1810.05400,12181.70000,604.77600,12786.48000,14596.53000,0.37000,-1660.01100,-291.21800,,4377.26100,18973.79000
2020-12-31,3300.48200,20.57800,82.38100,154.10300,,3557.54400,13411.23000,598.65900,831.88800,14841.77000,18399.32000,1913.90300,11681.23000,450.07500,12131.31000,14045.21000,0.31600,-295.44900,-240.11700,,4354.10500,18399.32000
2020-09-30,2356.21100,78.49600,81.25900,136.53300,,2652.49900,13453.43000,598.65900,697.44600,14749.54000,17402.04000,2334.26600,10465.09000,514.91000,10980.00000,13314.27000,0.30000,557.41000,-372.00400,,4087.76600,17402.04000
2020-06-30,2259.94900,74.21300,82.26300,334.24300,,2750.66800,13488.51000,598.65900,690.21800,14777.39000,17528.06000,2583.85500,10011.87000,595.30700,10607.18000,13191.03000,0.28100,1234.77600,-495.88700,,4337.02500,17528.06000
2020-03-31,1360.26100,96.27700,85.51600,154.28100,,1696.33500,13567.58000,598.65900,599.93900,14766.17000,16462.51000,2959.79300,8432.42500,695.63700,9128.06200,12087.86000,0.23900,1950.01900,-579.24900,,4374.65400,16462.51000
2019-12-31,252.87600,75.10900,95.42700,306.73300,,730.14500,13135.34000,2206.45600,612.66100,15954.45000,16684.60000,3584.39000,6055.33500,529.29500,6584.63000,10169.02000,0.23700,3829.06800,-295.49000,,6515.57900,16684.60000
2019-09-30,407.25800,67.69800,94.25400,273.50600,,842.71600,12288.90000,2206.45600,600.82700,15096.18000,15938.90000,3399.59100,5672.62600,593.25500,6265.88100,9665.47200,0.23700,3707.77100,-389.63300,,6273.42400,15938.90000
2019-06-30,419.92500,75.13400,90.95600,317.54900,,903.56400,12252.05000,2206.45600,603.90200,15062.41000,15965.98000,3582.55100,5743.92700,489.15600,6233.08300,9815.63400,0.23700,3257.18700,-179.76900,,6150.34300,15965.98000
2019-03-31,304.70800,57.05400,90.10100,316.53200,,768.39500,12181.01000,2206.45600,605.23500,14992.70000,15761.09000,3429.42000,5934.18500,492.18600,6426.37100,9855.79100,0.23700,3016.99700,-153.40000,,5905.30200,15761.09000
2018-12-31,163.85100,55.24900,90.20200,241.01100,,550.31300,12119.25000,2206.45600,329.94800,14655.66000,15205.97000,3150.50000,5810.87300,281.59600,6092.46900,9242.96900,0.23500,2898.84000,-161.64700,,5963.00100,15205.97000
2018-09-30,286.46100,46.56200,95.95000,298.43500,,727.40800,12029.14000,2206.45600,353.11800,14588.71000,15316.12000,3052.17900,5875.25200,190.60100,6065.85300,9118.03200,0.23500,2744.20600,56.11800,,6198.09000,15316.12000
2018-06-30,205.00700,44.21200,93.13600,329.13500,,671.49000,12085.70000,2206.45600,365.99900,14658.16000,15329.65000,3306.16500,6149.22100,187.46700,6336.68800,9642.85300,0.23500,2273.82800,51.35200,,5686.79300,15329.65000
2018-03-31,301.74800,41.15900,80.42700,337.44100,,760.77500,11085.57000,2206.45600,432.18200,13724.21000,14484.99000,3093.54300,5580.29000,172.07900,5752.36900,8845.91200,0.23500,2047.15200,73.86200,,5639.07300,14484.99000
2017-12-31,176.19000,43.96100,82.12100,216.06500,,518.33700,11040.49000,2206.45600,329.58800,13576.53000,14094.87000,2490.02100,5688.39200,166.69000,5855.08200,8345.10300,0.23300,1963.12800,26.96600,,5749.76600,14094.87000
2017-09-30,522.90400,56.76400,78.91500,206.25100,,864.83400,10916.82000,2206.45600,277.00300,13400.28000,14265.12000,2528.66200,6002.87700,195.97400,6198.85100,8727.51300,0.23300,1864.33100,-61.05500,,5537.60400,14265.12000
2017-06-30,219.31500,50.35900,77.08900,167.15300,,513.91600,10974.09000,2206.45600,251.71700,13432.26000,13946.18000,2654.12700,6083.22600,217.07400,6300.30000,8954.42700,0.23300,1463.63900,-170.07900,,4991.74900,13946.18000
2017-03-31,219.78900,47.94900,71.43900,149.17400,,488.35100,10149.17000,2206.45600,232.27800,12587.90000,13076.25000,2506.75900,5644.17500,300.03500,5944.21000,8450.96900,0.23200,1265.16600,-311.94600,,4625.28200,13076.25000
2016-12-31,128.34700,63.21500,66.25500,153.27600,,411.09300,10117.69000,2206.45600,238.67300,12562.82000,12973.91000,2312.81800,5838.49400,284.87300,6123.36700,8436.18500,0.23200,1201.10300,-314.47300,,4537.72600,12973.91000
