,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,935.46800,1177.42000,1036.30800,243.02100,,3546.99600,36307.14000,,377.17200,1112.94000,49818.30000,53365.30000,6115.90100,18278.36000,10922.27000,36788.41000,42904.31000,2.70000,9364.52300,-388.60400,10460.99000,53365.30000
2020-03-31,1463.83300,1076.07300,998.72000,268.20100,,3973.95100,35781.12000,,377.17200,1135.01600,48581.08000,52555.03000,6017.93900,18228.53000,10551.43000,36058.74000,42076.68000,2.70000,9190.14100,-398.98700,10478.35000,52555.03000
2019-12-31,425.72200,1208.59200,970.46500,283.64500,,3045.99200,35182.69000,,377.17200,1117.61700,48677.92000,51723.91000,5620.46300,17078.64000,11140.15000,35844.77000,41465.24000,2.70000,9257.60900,-446.92000,10258.67000,51723.91000
2019-09-30,955.83100,1338.37100,935.54600,258.69500,,3661.67200,34120.73000,,377.17200,5614.20100,46844.59000,50506.27000,5103.04600,16938.01000,10928.54000,35113.75000,40216.80000,2.70000,9057.74900,-419.77200,10289.47000,50506.27000
2019-06-30,635.90900,1234.62400,917.71800,267.30300,8.68500,3283.50800,33544.73000,,377.17200,1101.06000,47282.23000,50565.75000,4522.60800,17204.29000,11665.51000,36026.20000,40548.82000,2.70000,8873.46500,-430.40400,10016.93000,50565.75000
2019-03-31,983.49600,1074.70900,893.41200,205.32200,19.20900,3407.77600,32652.22000,310.21500,377.17200,330.74500,46197.61000,49605.38000,4861.08300,17167.89000,11315.92000,35554.50000,40415.59000,2.61600,8809.90200,-551.15200,9189.79400,49605.38000
2018-12-31,480.97500,1114.40500,870.14700,234.32600,27.25100,2958.06400,31974.45000,,377.17200,741.64700,45317.00000,48275.07000,5443.54400,15518.30000,11313.17000,33767.81000,39211.36000,2.61600,8721.15000,-557.17300,9063.70700,48275.07000
2018-09-30,987.98100,1366.65300,880.68600,248.10700,61.30900,3694.54600,31092.74000,0.19800,377.17200,872.86600,44776.63000,48471.17000,5750.56300,15801.71000,11088.16000,34110.13000,39860.69000,2.54800,8953.61100,-632.12600,8610.48300,48471.17000
2018-06-30,812.78700,1258.46600,926.65100,249.64500,114.29300,3534.45000,30512.11000,0.19800,377.17200,461.21400,44088.20000,47622.65000,6232.07300,14878.95000,10902.31000,33170.34000,39402.42000,2.54800,8578.27600,-613.64200,8220.23200,47622.65000
2018-03-31,1205.59600,1081.80100,940.58100,231.94600,83.44500,3655.73400,30102.67000,0.19800,377.17200,484.36400,43625.79000,47281.52000,5232.67200,15613.26000,10771.94000,33876.11000,39108.78000,2.54800,8493.79000,-561.49800,8172.74200,47281.52000
2017-12-31,781.27300,1212.95000,905.86500,156.33300,95.74600,3285.33100,29664.36000,0.19800,377.17200,814.90400,43421.82000,46707.15000,5036.20700,14337.27000,11546.56000,33480.63000,38516.83000,2.54800,7977.70200,-23.53100,8190.31800,46707.15000
2017-09-30,546.29100,1313.34300,878.63600,366.32400,185.06600,3471.23100,28960.77000,0.19800,377.17200,829.18300,42927.21000,46398.44000,4460.87100,14000.31000,8591.57000,33247.34000,37708.20000,2.54800,8617.90100,111.67800,8690.23700,46398.44000
2017-06-30,934.49500,1120.43600,869.07700,252.79100,194.24500,3599.34400,28567.22000,0.19800,377.17200,842.84500,42407.69000,46007.04000,4240.53000,14330.94000,8532.98800,33192.46000,37432.99000,2.54800,8375.89000,52.77300,8574.04100,46007.04000
2017-03-31,1083.06200,973.14300,854.40200,208.36300,117.97100,3397.49100,28173.35000,0.19800,377.17200,862.68700,41920.71000,45318.21000,3879.04300,13950.78000,8489.08600,33178.79000,37057.84000,2.54800,8122.10300,10.96000,8260.37400,45318.21000
2016-12-31,1187.84400,1170.16700,878.12300,193.44800,108.46500,3684.26800,27921.41000,0.19800,377.17200,2309.31400,42220.16000,45904.43000,3200.09600,14492.24000,9168.66000,34419.34000,37619.44000,2.54800,8195.57100,-34.97100,8284.99400,45904.43000
2016-09-30,1307.43400,1380.45700,1107.17900,285.79200,41.68600,4340.03500,29329.13000,0.71700,377.17200,2339.91500,43398.14000,47738.18000,3451.74700,13886.66000,8472.92100,33984.19000,37435.93000,2.54800,10123.09000,38.13600,10302.25000,47738.18000
2016-06-30,996.09900,1169.97000,1112.19700,292.83500,31.89500,3851.92800,29069.68000,4.84500,377.17200,1283.35300,42025.12000,45877.04000,4021.84300,13137.64000,7211.39700,31779.23000,35801.07000,2.54800,9887.35000,-9.15500,10075.97000,45877.04000
2016-03-31,1091.65100,993.42400,1100.57700,541.62400,28.29600,4001.19500,28982.01000,4.65300,377.17200,1332.19700,41932.68000,45933.88000,3839.34800,13526.43000,7091.56900,32415.40000,36254.75000,2.54800,9472.04000,29.79200,9679.13200,45933.88000
2015-12-31,1350.96100,1068.90000,1091.16700,344.87200,,4067.41200,27824.36000,4.34100,377.17200,1250.31300,40580.27000,44647.68000,3089.95800,13138.56000,7115.66800,31982.75000,35072.71000,2.54800,9393.91300,8.95100,9574.97600,44647.68000
2015-09-30,1040.59800,1333.13900,1094.52000,400.11300,54.43100,4117.34600,27986.55000,36.68400,377.17200,1430.45900,40924.26000,45041.61000,3453.82600,13080.24000,6865.24700,32430.66000,35884.48000,2.54800,9445.96900,-117.79800,9157.12500,45041.61000
2015-06-30,910.37000,1190.36300,1150.60400,446.87700,98.19600,4085.05000,28857.90000,34.63400,377.17200,1576.30000,42180.60000,46265.65000,3998.37100,12120.42000,6722.45900,32015.08000,36013.45000,2.54800,10318.29000,-46.81600,10252.20000,46265.65000
2015-03-31,1180.54600,1067.90700,1157.82900,304.10800,127.74200,4139.98500,28808.03000,34.86400,377.17200,1591.11200,42237.55000,46377.53000,3765.42500,12336.59000,6841.58300,32384.13000,36149.55000,2.54800,10318.45000,-59.73700,10227.98000,46377.53000
2014-12-31,1422.02600,1103.25500,1124.01800,343.22300,155.14000,4389.63300,28722.95000,36.23400,377.17200,1426.46800,42024.82000,46414.45000,3848.89100,12416.42000,6817.68200,32463.84000,36312.73000,2.54800,10169.66000,-42.30700,10101.72000,46414.45000
2014-09-30,1068.50900,1313.38300,1109.02900,281.79600,205.55300,4264.53900,28289.14000,39.75600,377.17200,1513.68800,40277.11000,44541.65000,4453.56700,11665.02000,6604.97600,29845.05000,34298.61000,2.54800,10199.34000,20.38400,10243.04000,44541.65000
2014-06-30,650.06800,1232.94900,1109.81500,600.75500,311.01800,4245.13300,28109.24000,38.33300,377.17200,1284.37400,39905.61000,44150.75000,4128.06900,11967.09000,6236.23800,29866.21000,33994.28000,2.54800,10118.38000,31.06800,10156.47000,44150.75000
2014-03-31,908.48300,1128.19200,1119.27400,424.75100,241.37200,4193.31600,28008.66000,39.37000,377.17200,1328.03600,39683.45000,43876.77000,3917.46100,12230.25000,6054.19200,29916.88000,33834.34000,2.54800,10077.95000,-5.20200,10042.43000,43876.77000
2013-12-31,739.12600,1172.18600,1123.96400,410.48900,116.37900,3929.69100,27881.64000,40.35000,377.17200,1297.15100,39476.76000,43406.45000,4060.57200,12171.37000,5928.17700,29619.41000,33679.98000,2.54800,9825.05300,-29.32400,9726.46600,43406.45000
2013-09-30,415.07300,1267.75900,1103.52800,247.58500,125.59400,3489.59000,27567.44000,44.41800,377.17200,1368.53100,39834.54000,43324.13000,3439.02800,12308.31000,5571.46600,30382.65000,33821.68000,2.54800,9825.65300,-243.53000,9502.45100,43324.13000
2013-06-30,348.29400,1222.43300,1142.86900,263.28700,173.06100,3591.72200,27572.08000,41.49100,377.17200,1408.58200,39670.56000,43262.29000,3983.95400,12128.15000,5233.43200,29909.81000,33893.77000,2.54800,9733.99000,-274.30300,9368.51700,43262.29000
