,cash-on-hand,receivables-total,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2011-12-31,4510.00000,6934.00000,11444.00000,94111.00000,2273.00000,86887.00000,190047.00000,201491.00000,93480.00000,5391.00000,89519.00000,94910.00000,188390.00000,7590.00000,2831.00000,2680.00000,13101.00000,201491.00000
2011-09-30,4833.00000,7042.00000,11875.00000,93214.00000,3019.00000,81509.00000,185872.00000,197747.00000,93132.00000,5348.00000,84348.00000,89696.00000,182828.00000,7792.00000,4664.00000,2463.00000,14919.00000,197747.00000
2011-06-30,2912.00000,6926.00000,9838.00000,87272.00000,3019.00000,92154.00000,191716.00000,201554.00000,87894.00000,5729.00000,94345.00000,100074.00000,187968.00000,7938.00000,4536.00000,1112.00000,13586.00000,201554.00000
2011-03-31,2216.00000,6981.00000,9197.00000,85300.00000,3019.00000,91529.00000,189120.00000,198317.00000,86434.00000,5370.00000,93423.00000,98793.00000,185227.00000,8064.00000,4243.00000,783.00000,13090.00000,198317.00000
2010-12-31,2741.00000,6862.00000,9603.00000,84273.00000,3019.00000,87999.00000,184221.00000,193824.00000,86046.00000,5399.00000,89573.00000,94972.00000,181018.00000,8124.00000,3934.00000,748.00000,12806.00000,193824.00000
2010-09-30,3547.00000,6976.00000,10523.00000,87103.00000,3019.00000,81927.00000,179967.00000,190490.00000,86998.00000,5943.00000,83990.00000,89933.00000,176931.00000,8142.00000,3755.00000,1662.00000,13559.00000,190490.00000
2010-06-30,3700.00000,6977.00000,10677.00000,83898.00000,6175.00000,70844.00000,169452.00000,180129.00000,85507.00000,5865.00000,76119.00000,81984.00000,167491.00000,8188.00000,3512.00000,938.00000,12638.00000,180129.00000
2010-03-31,3445.00000,6917.00000,10362.00000,79398.00000,3013.00000,79653.00000,171259.00000,181621.00000,82698.00000,5060.00000,81495.00000,86555.00000,169253.00000,7845.00000,3409.00000,302.00000,12368.00000,181621.00000
2009-12-31,4025.00000,6747.00000,10772.00000,76807.00000,3013.00000,77331.00000,166661.00000,177433.00000,82393.00000,5050.00000,78290.00000,83340.00000,165733.00000,7840.00000,3316.00000,-262.00000,11700.00000,177433.00000
2009-09-30,3161.00000,7987.00000,11148.00000,77126.00000,3096.00000,80938.00000,170342.00000,181490.00000,82605.00000,4789.00000,82440.00000,87229.00000,169834.00000,7842.00000,3234.00000,-220.00000,11656.00000,181490.00000
2009-06-30,2539.00000,8204.00000,10743.00000,71429.00000,3344.00000,71073.00000,156302.00000,167045.00000,80722.00000,4775.00000,72473.00000,77248.00000,157970.00000,7681.00000,3101.00000,-1707.00000,9075.00000,167045.00000
2009-03-31,5613.00000,8629.00000,14242.00000,67036.00000,3344.00000,60883.00000,143185.00000,157427.00000,84183.00000,4345.00000,61576.00000,65921.00000,150104.00000,7033.00000,3265.00000,-2975.00000,7323.00000,157427.00000
