,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1452552.00000,2690905.00000,27199.00000,811462.00000,60806.00000,183512.00000,1082979.00000,3773884.00000,3186314.00000,287473.00000,299552.00000,3485866.00000,4105.00000,288776.00000,-19134.00000,,288018.00000,3773884.00000
2022-06-30,1456993.00000,2688840.00000,26770.00000,866111.00000,59360.00000,200233.00000,1152474.00000,3841314.00000,3256319.00000,288212.00000,298852.00000,3555171.00000,4105.00000,282445.00000,-14369.00000,,286143.00000,3841314.00000
2022-03-31,1567935.00000,2776235.00000,26916.00000,904312.00000,58485.00000,188739.00000,1178452.00000,3954687.00000,3365405.00000,293239.00000,303383.00000,3668788.00000,4105.00000,277177.00000,-9567.00000,,285899.00000,3954687.00000
2021-12-31,1436107.00000,2600005.00000,27070.00000,878303.00000,56691.00000,181498.00000,1143562.00000,3743567.00000,3137685.00000,301005.00000,311755.00000,3449440.00000,4105.00000,272268.00000,-84.00000,,294127.00000,3743567.00000
2021-09-30,1557931.00000,2700791.00000,26996.00000,798119.00000,56566.00000,175104.00000,1056785.00000,3757576.00000,3155813.00000,298465.00000,311722.00000,3467535.00000,4105.00000,265276.00000,963.00000,,290041.00000,3757576.00000
2021-06-30,1486996.00000,2633703.00000,26631.00000,760013.00000,54655.00000,209254.00000,1050553.00000,3684256.00000,3083541.00000,299926.00000,314329.00000,3397870.00000,4105.00000,256983.00000,2570.00000,,286386.00000,3684256.00000
2021-03-31,1527605.00000,2630665.00000,26926.00000,776910.00000,54588.00000,200247.00000,1058671.00000,3689336.00000,3113524.00000,279427.00000,295098.00000,3408622.00000,4105.00000,248151.00000,1041.00000,,280714.00000,3689336.00000
2020-12-31,1327019.00000,2402047.00000,27109.00000,750634.00000,53428.00000,151539.00000,982710.00000,3384757.00000,2806140.00000,281685.00000,299263.00000,3105403.00000,4105.00000,236990.00000,7986.00000,,279354.00000,3384757.00000
2020-09-30,1313193.00000,2349064.00000,26672.00000,673577.00000,51594.00000,145169.00000,897012.00000,3246076.00000,2676597.00000,279175.00000,298366.00000,2974963.00000,4105.00000,228014.00000,8940.00000,-11.00000,271113.00000,3246076.00000
2020-06-30,1276751.00000,2295437.00000,26301.00000,701495.00000,51669.00000,138213.00000,917678.00000,3213115.00000,2610818.00000,317003.00000,337831.00000,2948649.00000,4105.00000,221732.00000,8789.00000,-11.00000,264466.00000,3213115.00000
2020-03-31,1164694.00000,2278889.00000,25882.00000,610983.00000,51867.00000,171810.00000,860542.00000,3139431.00000,2559195.00000,299344.00000,318974.00000,2878169.00000,4105.00000,220226.00000,7418.00000,-21.00000,261262.00000,3139431.00000
2019-12-31,882475.00000,1939833.00000,25813.00000,537997.00000,53341.00000,130395.00000,747546.00000,2687379.00000,2116710.00000,291498.00000,309339.00000,2426049.00000,4105.00000,223211.00000,1569.00000,-21.00000,261330.00000,2687379.00000
2019-09-30,1009863.00000,2030834.00000,25117.00000,532587.00000,53078.00000,123045.00000,733827.00000,2764661.00000,2185326.00000,296472.00000,314987.00000,2500313.00000,4105.00000,217888.00000,1800.00000,-21.00000,264348.00000,2764661.00000
2019-06-30,1059275.00000,2091397.00000,24665.00000,437925.00000,53302.00000,120090.00000,635982.00000,2727379.00000,2149710.00000,288869.00000,314454.00000,2464164.00000,4105.00000,212093.00000,1114.00000,-21.00000,263215.00000,2727379.00000
2019-03-31,1135146.00000,2150098.00000,24160.00000,390551.00000,54168.00000,118211.00000,587090.00000,2737188.00000,2160503.00000,290893.00000,316848.00000,2477351.00000,4105.00000,205437.00000,-558.00000,-21.00000,259837.00000,2737188.00000
2018-12-31,1014095.00000,2058404.00000,14934.00000,373823.00000,54349.00000,121022.00000,564128.00000,2622532.00000,2063745.00000,282031.00000,302272.00000,2366017.00000,4105.00000,199202.00000,-1507.00000,-21.00000,256515.00000,2622532.00000
2018-09-30,1056556.00000,2076538.00000,14180.00000,353832.00000,54697.00000,115936.00000,538645.00000,2615183.00000,2065862.00000,270124.00000,290365.00000,2356227.00000,4105.00000,195180.00000,-2425.00000,-21.00000,258956.00000,2615183.00000
2018-06-30,1050484.00000,2061317.00000,14132.00000,341261.00000,54535.00000,118805.00000,528733.00000,2590050.00000,2038155.00000,273114.00000,294437.00000,2332592.00000,4105.00000,189881.00000,-1138.00000,-21.00000,257458.00000,2590050.00000
2018-03-31,1074702.00000,2068410.00000,14382.00000,354320.00000,54533.00000,118140.00000,541375.00000,2609785.00000,2057551.00000,274449.00000,296033.00000,2353584.00000,4105.00000,183855.00000,-1063.00000,-21.00000,256201.00000,2609785.00000
2017-12-31,1011570.00000,1996392.00000,14159.00000,355070.00000,54392.00000,113587.00000,537208.00000,2533600.00000,1967746.00000,284080.00000,310161.00000,2277907.00000,4105.00000,177676.00000,-119.00000,-21.00000,255693.00000,2533600.00000
2017-09-30,1063676.00000,2025655.00000,14218.00000,364968.00000,53855.00000,104378.00000,537419.00000,2563074.00000,1957967.00000,318301.00000,346725.00000,2304692.00000,4105.00000,175827.00000,-309.00000,-21.00000,258382.00000,2563074.00000
2017-06-30,1074795.00000,2034237.00000,14206.00000,354112.00000,53880.00000,106739.00000,528937.00000,2563174.00000,1949884.00000,323909.00000,354807.00000,2304691.00000,4105.00000,171488.00000,-392.00000,-21.00000,258483.00000,2563174.00000
2017-03-31,1053474.00000,1996073.00000,14227.00000,374159.00000,54218.00000,107613.00000,550217.00000,2546290.00000,1939911.00000,313834.00000,350516.00000,2290427.00000,4105.00000,166663.00000,-923.00000,-21.00000,255863.00000,2546290.00000
2016-12-31,991732.00000,1925051.00000,14131.00000,385468.00000,54246.00000,112076.00000,565921.00000,2490972.00000,1902490.00000,295245.00000,334292.00000,2236782.00000,4105.00000,162440.00000,-1175.00000,-21.00000,254190.00000,2490972.00000
2016-09-30,1025064.00000,1963247.00000,14208.00000,381598.00000,53126.00000,108850.00000,557782.00000,2521029.00000,1890568.00000,333897.00000,376130.00000,2266698.00000,4105.00000,157870.00000,1474.00000,-21.00000,254331.00000,2521029.00000
2016-06-30,983365.00000,1906853.00000,14262.00000,381835.00000,53292.00000,109854.00000,559243.00000,2466096.00000,1857874.00000,315572.00000,355799.00000,2213673.00000,4105.00000,153749.00000,1618.00000,-21.00000,252423.00000,2466096.00000
2016-03-31,967781.00000,1858749.00000,14195.00000,388260.00000,53908.00000,108696.00000,565059.00000,2423808.00000,1824521.00000,310457.00000,349130.00000,2173651.00000,4105.00000,149730.00000,782.00000,-21.00000,250157.00000,2423808.00000
2015-12-31,916919.00000,1787268.00000,14362.00000,389548.00000,54948.00000,105572.00000,564430.00000,2351698.00000,1752490.00000,309756.00000,351635.00000,2104125.00000,4105.00000,146420.00000,192.00000,-21.00000,247573.00000,2351698.00000
2015-09-30,977629.00000,1831546.00000,14709.00000,412328.00000,55157.00000,103381.00000,585575.00000,2417121.00000,1802541.00000,320119.00000,368852.00000,2171393.00000,4105.00000,143050.00000,751.00000,-21.00000,245728.00000,2417121.00000
2015-06-30,1013622.00000,1860596.00000,15073.00000,416323.00000,56138.00000,101469.00000,589003.00000,2449599.00000,1841638.00000,316754.00000,366756.00000,2208394.00000,4105.00000,138294.00000,1102.00000,-21.00000,241205.00000,2449599.00000
2015-03-31,1147529.00000,1967655.00000,14963.00000,439512.00000,55222.00000,99796.00000,609493.00000,2577148.00000,1980550.00000,309643.00000,360734.00000,2341284.00000,4105.00000,134048.00000,2430.00000,-21.00000,235864.00000,2577148.00000
2014-12-31,1127099.00000,1940329.00000,15133.00000,458439.00000,56275.00000,102098.00000,631945.00000,2572274.00000,1981626.00000,306601.00000,358921.00000,2340547.00000,4105.00000,129977.00000,2189.00000,-21.00000,231727.00000,2572274.00000
2014-09-30,1064677.00000,1868549.00000,15177.00000,485231.00000,57480.00000,100568.00000,658456.00000,2527005.00000,1947551.00000,300613.00000,348177.00000,2295728.00000,4105.00000,127234.00000,3266.00000,-21.00000,231277.00000,2527005.00000
2014-06-30,1062124.00000,1870877.00000,15216.00000,475885.00000,57796.00000,100562.00000,649459.00000,2520336.00000,1942657.00000,304642.00000,350365.00000,2293022.00000,4105.00000,123497.00000,3438.00000,-21.00000,227314.00000,2520336.00000
2014-03-31,1039224.00000,1827470.00000,14919.00000,473871.00000,58106.00000,102620.00000,649516.00000,2476986.00000,1904080.00000,306463.00000,353251.00000,2257331.00000,4105.00000,119318.00000,2276.00000,-21.00000,219655.00000,2476986.00000
2013-12-31,978602.00000,1765916.00000,14891.00000,465468.00000,59313.00000,110101.00000,649773.00000,2415689.00000,1859011.00000,295883.00000,345500.00000,2204511.00000,4105.00000,115756.00000,1199.00000,-21.00000,211178.00000,2415689.00000
2013-09-30,1021373.00000,1798750.00000,14876.00000,478994.00000,59407.00000,111282.00000,664559.00000,2463309.00000,1913973.00000,293808.00000,342666.00000,2256639.00000,4105.00000,112135.00000,390.00000,-21.00000,206670.00000,2463309.00000
2013-06-30,994509.00000,1782273.00000,14574.00000,471883.00000,59343.00000,111421.00000,657221.00000,2439494.00000,1878568.00000,296597.00000,351687.00000,2230255.00000,4105.00000,114216.00000,136.00000,-21.00000,209239.00000,2439494.00000
2013-03-31,952493.00000,1734807.00000,14541.00000,479802.00000,58098.00000,102101.00000,654542.00000,2389349.00000,1828402.00000,295561.00000,353861.00000,2182263.00000,4105.00000,109402.00000,3491.00000,-21.00000,207086.00000,2389349.00000
2012-12-31,921861.00000,1694654.00000,14519.00000,490169.00000,58024.00000,101775.00000,664487.00000,2359141.00000,1816221.00000,275660.00000,338851.00000,2155072.00000,4105.00000,104223.00000,4102.00000,-21.00000,204069.00000,2359141.00000
2012-09-30,886731.00000,1648843.00000,14271.00000,499427.00000,57899.00000,100844.00000,672441.00000,2321284.00000,1800278.00000,263395.00000,321313.00000,2121591.00000,4105.00000,99888.00000,4426.00000,-38.00000,199693.00000,2321284.00000
2012-06-30,847761.00000,1619480.00000,14206.00000,492804.00000,58062.00000,105594.00000,670666.00000,2290146.00000,1782293.00000,261228.00000,316281.00000,2098574.00000,4105.00000,95518.00000,2272.00000,-38.00000,191572.00000,2290146.00000
2012-03-31,866528.00000,1626457.00000,14213.00000,517392.00000,59276.00000,102826.00000,693707.00000,2320164.00000,1780016.00000,283129.00000,350879.00000,2130895.00000,4105.00000,91888.00000,2645.00000,-38.00000,189269.00000,2320164.00000
2011-12-31,824158.00000,1581747.00000,14041.00000,507255.00000,58618.00000,104131.00000,684045.00000,2265792.00000,1737559.00000,278683.00000,344660.00000,2082219.00000,4105.00000,88315.00000,944.00000,-38.00000,183573.00000,2265792.00000
2011-09-30,895216.00000,1635799.00000,13812.00000,470910.00000,59409.00000,109310.00000,653441.00000,2289240.00000,1737976.00000,303006.00000,368977.00000,2106953.00000,4105.00000,85726.00000,1964.00000,-53.00000,182287.00000,2289240.00000
2011-06-30,872430.00000,1613938.00000,13679.00000,446234.00000,64804.00000,108109.00000,632826.00000,2246764.00000,1686992.00000,309436.00000,376893.00000,2063885.00000,4105.00000,82612.00000,1638.00000,-53.00000,182879.00000,2246764.00000
2011-03-31,822815.00000,1558297.00000,13422.00000,453800.00000,65806.00000,106836.00000,639864.00000,2198161.00000,1640326.00000,306320.00000,377237.00000,2017563.00000,4105.00000,78342.00000,712.00000,-53.00000,180598.00000,2198161.00000
2010-12-31,761686.00000,1492494.00000,13355.00000,439923.00000,66542.00000,105291.00000,625111.00000,2117605.00000,1558872.00000,304978.00000,382627.00000,1941499.00000,4105.00000,73998.00000,1001.00000,-53.00000,176106.00000,2117605.00000
2010-09-30,765942.00000,1485536.00000,11316.00000,467533.00000,63023.00000,114187.00000,656059.00000,2141595.00000,1583096.00000,307231.00000,384669.00000,1967765.00000,4105.00000,69531.00000,3096.00000,-68.00000,173830.00000,2141595.00000
2010-06-30,668768.00000,1393710.00000,11267.00000,434302.00000,64351.00000,110389.00000,620309.00000,2014019.00000,1461702.00000,293049.00000,381197.00000,1842899.00000,4105.00000,65465.00000,2404.00000,-68.00000,171120.00000,2014019.00000
2010-03-31,746687.00000,1476291.00000,11123.00000,471117.00000,68273.00000,108992.00000,659505.00000,2135796.00000,1566182.00000,311838.00000,404893.00000,1971075.00000,4105.00000,61043.00000,761.00000,-68.00000,164721.00000,2135796.00000
2009-12-31,695968.00000,1365251.00000,11118.00000,480020.00000,68509.00000,107091.00000,666738.00000,2031989.00000,1529341.00000,322058.00000,337283.00000,1866624.00000,4105.00000,62481.00000,-91.00000,-68.00000,165365.00000,2031989.00000
2009-09-30,676133.00000,1358592.00000,10675.00000,500926.00000,66859.00000,103957.00000,682417.00000,2041009.00000,1537949.00000,322948.00000,340807.00000,1878756.00000,4105.00000,59573.00000,283.00000,-86.00000,162253.00000,2041009.00000
2009-06-30,641811.00000,1354642.00000,10668.00000,474826.00000,67970.00000,118536.00000,672000.00000,2026642.00000,1505024.00000,345907.00000,366852.00000,1871876.00000,4105.00000,56355.00000,-3438.00000,-86.00000,154766.00000,2026642.00000
2009-03-31,703483.00000,1436513.00000,10336.00000,461789.00000,64184.00000,106366.00000,642675.00000,2079188.00000,1525218.00000,374102.00000,383776.00000,1908994.00000,3942.00000,55487.00000,-4490.00000,-86.00000,170194.00000,2079188.00000
