,cash-on-hand,receivables-total,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,359492.00000,120927.00000,608872.00000,444165.00000,36719.00000,480884.00000,1089756.00000,771901.00000,225476.00000,225476.00000,997377.00000,9.00000,106501.00000,1937.00000,3037.00000,92379.00000,1089756.00000
2019-12-31,355308.00000,74605.00000,538817.00000,419269.00000,34882.00000,454151.00000,992968.00000,695627.00000,207076.00000,207076.00000,902703.00000,9.00000,106465.00000,-1484.00000,3195.00000,90265.00000,992968.00000
2019-09-30,372762.00000,83092.00000,541691.00000,424989.00000,40640.00000,465629.00000,1007320.00000,698430.00000,216878.00000,216878.00000,915308.00000,9.00000,105194.00000,-484.00000,3052.00000,92012.00000,1007320.00000
2019-06-30,367189.00000,83915.00000,534873.00000,370942.00000,39088.00000,410030.00000,944903.00000,632866.00000,221145.00000,221145.00000,854011.00000,9.00000,103867.00000,-815.00000,2930.00000,90892.00000,944903.00000
2019-03-31,368279.00000,73438.00000,524391.00000,363275.00000,37683.00000,400958.00000,925349.00000,610603.00000,224473.00000,224473.00000,835076.00000,9.00000,101988.00000,-613.00000,2739.00000,90273.00000,925349.00000
2018-12-31,405090.00000,72455.00000,575382.00000,327419.00000,28995.00000,356414.00000,931796.00000,617462.00000,224149.00000,224149.00000,841611.00000,9.00000,100100.00000,693.00000,2845.00000,90185.00000,931796.00000
2018-09-30,417209.00000,83315.00000,576535.00000,351028.00000,29627.00000,380655.00000,957190.00000,641041.00000,229387.00000,229387.00000,870428.00000,9.00000,98083.00000,-1839.00000,2716.00000,86762.00000,957190.00000
2018-06-30,429422.00000,88637.00000,592141.00000,347959.00000,28510.00000,376469.00000,968610.00000,654657.00000,227354.00000,227354.00000,882011.00000,9.00000,95941.00000,-958.00000,2581.00000,86599.00000,968610.00000
2018-03-31,429531.00000,108019.00000,609247.00000,336879.00000,27409.00000,364288.00000,973535.00000,664057.00000,225899.00000,225899.00000,889956.00000,9.00000,93907.00000,-1770.00000,2415.00000,83579.00000,973535.00000
2017-12-31,421721.00000,84788.00000,572442.00000,315988.00000,28346.00000,344334.00000,916776.00000,616846.00000,217687.00000,217687.00000,834533.00000,9.00000,91519.00000,-1880.00000,2777.00000,82243.00000,916776.00000
2017-09-30,417536.00000,88143.00000,567165.00000,333474.00000,29493.00000,362967.00000,930132.00000,631988.00000,211852.00000,211852.00000,843840.00000,9.00000,93958.00000,-1716.00000,3355.00000,86292.00000,930132.00000
2017-06-30,404742.00000,91634.00000,550328.00000,327740.00000,28450.00000,356190.00000,906518.00000,616196.00000,203647.00000,203647.00000,819843.00000,9.00000,92225.00000,-1615.00000,3308.00000,86675.00000,906518.00000
2017-03-31,427759.00000,80210.00000,558354.00000,308871.00000,26844.00000,335715.00000,894069.00000,607782.00000,199370.00000,199370.00000,807152.00000,9.00000,90904.00000,-1370.00000,3155.00000,86917.00000,894069.00000
2016-12-31,423236.00000,65824.00000,538732.00000,295952.00000,25481.00000,321433.00000,860165.00000,584186.00000,189086.00000,189086.00000,773272.00000,9.00000,89039.00000,-1216.00000,3914.00000,86893.00000,860165.00000
2016-09-30,433749.00000,79536.00000,562349.00000,292420.00000,25218.00000,317638.00000,879987.00000,602291.00000,190586.00000,190586.00000,792877.00000,9.00000,87160.00000,-582.00000,3974.00000,87110.00000,879987.00000
2016-06-30,465703.00000,78441.00000,592356.00000,279992.00000,24495.00000,304487.00000,896843.00000,626597.00000,183732.00000,183732.00000,810329.00000,9.00000,85339.00000,-551.00000,3955.00000,86514.00000,896843.00000
2016-03-31,446572.00000,72370.00000,566866.00000,286902.00000,24268.00000,311170.00000,878036.00000,611040.00000,180159.00000,180159.00000,791199.00000,9.00000,83990.00000,-478.00000,3820.00000,86837.00000,878036.00000
2015-12-31,405385.00000,71883.00000,522675.00000,313502.00000,25218.00000,338720.00000,861395.00000,599245.00000,175422.00000,175422.00000,774667.00000,9.00000,83386.00000,-718.00000,4151.00000,86728.00000,861395.00000
2015-09-30,423961.00000,99002.00000,565152.00000,290487.00000,24920.00000,315407.00000,880559.00000,617039.00000,175817.00000,175817.00000,792856.00000,9.00000,83105.00000,-911.00000,4011.00000,87703.00000,880559.00000
2015-06-30,397782.00000,94685.00000,530864.00000,303463.00000,25552.00000,329015.00000,859879.00000,601966.00000,170259.00000,170259.00000,772225.00000,9.00000,82072.00000,-908.00000,4011.00000,87654.00000,859879.00000
2015-03-31,385350.00000,98302.00000,516271.00000,325938.00000,23249.00000,349187.00000,865458.00000,616649.00000,163682.00000,163682.00000,780331.00000,9.00000,81455.00000,-771.00000,3924.00000,85127.00000,865458.00000
2014-12-31,397976.00000,94479.00000,521393.00000,312248.00000,22201.00000,334449.00000,855842.00000,605743.00000,167302.00000,167302.00000,773045.00000,9.00000,78984.00000,-743.00000,3766.00000,82797.00000,855842.00000
2014-09-30,396381.00000,125006.00000,521387.00000,325326.00000,22220.00000,347546.00000,868933.00000,621354.00000,165304.00000,165304.00000,786658.00000,9.00000,77227.00000,-643.00000,3687.00000,82275.00000,868933.00000
2014-06-30,371473.00000,119244.00000,490717.00000,345806.00000,23391.00000,369197.00000,859914.00000,611266.00000,167019.00000,167019.00000,778285.00000,8.00000,75340.00000,-595.00000,3709.00000,81629.00000,859914.00000
2014-03-31,444806.00000,114874.00000,559680.00000,332533.00000,23452.00000,355985.00000,915665.00000,670939.00000,165627.00000,165627.00000,836566.00000,8.00000,73646.00000,-560.00000,3572.00000,79099.00000,915665.00000
2013-12-31,437102.00000,97880.00000,549877.00000,339121.00000,22509.00000,361630.00000,911507.00000,672075.00000,160965.00000,160965.00000,833040.00000,8.00000,71961.00000,-524.00000,3839.00000,78467.00000,911507.00000
2013-09-30,464316.00000,97720.00000,562036.00000,324257.00000,36930.00000,361187.00000,923223.00000,677525.00000,168082.00000,168082.00000,845607.00000,8.00000,69975.00000,-600.00000,3701.00000,77616.00000,923223.00000
2013-06-30,452681.00000,97357.00000,550038.00000,356161.00000,32257.00000,388418.00000,938456.00000,698371.00000,162042.00000,162042.00000,860413.00000,8.00000,68783.00000,-583.00000,3822.00000,78043.00000,938456.00000
2013-03-31,434924.00000,98418.00000,533342.00000,387393.00000,38488.00000,425881.00000,959223.00000,714987.00000,167008.00000,167008.00000,881995.00000,8.00000,67164.00000,-208.00000,3679.00000,77228.00000,959223.00000
2012-12-31,400567.00000,91354.00000,491921.00000,407011.00000,39623.00000,446634.00000,938555.00000,695534.00000,167305.00000,167305.00000,862839.00000,8.00000,65223.00000,-193.00000,3298.00000,75716.00000,938555.00000
2012-09-30,429847.00000,80343.00000,510190.00000,415293.00000,23724.00000,439017.00000,949207.00000,707642.00000,167878.00000,167878.00000,875520.00000,8.00000,62638.00000,-382.00000,4109.00000,73687.00000,949207.00000
2012-06-30,450458.00000,86820.00000,537278.00000,387196.00000,24164.00000,411360.00000,948638.00000,708790.00000,166993.00000,166993.00000,875783.00000,8.00000,61412.00000,-506.00000,4128.00000,72855.00000,948638.00000
2012-03-31,460379.00000,82097.00000,542476.00000,385506.00000,22950.00000,408456.00000,950932.00000,707684.00000,171592.00000,171592.00000,879276.00000,8.00000,60723.00000,-507.00000,3889.00000,71656.00000,950932.00000
2011-12-31,461402.00000,74465.00000,535867.00000,364206.00000,23152.00000,387358.00000,923225.00000,679301.00000,173545.00000,173545.00000,852846.00000,8.00000,58834.00000,-516.00000,5681.00000,70379.00000,923225.00000
2011-09-30,464409.00000,88351.00000,552760.00000,371459.00000,24690.00000,396149.00000,948909.00000,703171.00000,175650.00000,175650.00000,878821.00000,8.00000,58043.00000,-314.00000,5286.00000,70088.00000,948909.00000
2011-06-30,444681.00000,94152.00000,538833.00000,370605.00000,27472.00000,398077.00000,936910.00000,689344.00000,175210.00000,175210.00000,864554.00000,8.00000,58659.00000,-347.00000,5200.00000,72356.00000,936910.00000
2011-03-31,442506.00000,87619.00000,530125.00000,374806.00000,28358.00000,403164.00000,933289.00000,687027.00000,173793.00000,173793.00000,860820.00000,8.00000,57803.00000,-330.00000,4759.00000,72469.00000,933289.00000
2010-12-31,448180.00000,78140.00000,526320.00000,356953.00000,28059.00000,385012.00000,911332.00000,659577.00000,174399.00000,174399.00000,833976.00000,8.00000,57163.00000,-286.00000,7706.00000,77356.00000,911332.00000
2010-09-30,450498.00000,77315.00000,527813.00000,351795.00000,29071.00000,380866.00000,908679.00000,647902.00000,185120.00000,185120.00000,833022.00000,8.00000,55136.00000,-284.00000,7257.00000,75657.00000,908679.00000
2010-06-30,448374.00000,70746.00000,519120.00000,334868.00000,29200.00000,364068.00000,883188.00000,630787.00000,178582.00000,178582.00000,809369.00000,8.00000,53599.00000,-318.00000,6362.00000,73819.00000,883188.00000
2010-03-31,439326.00000,71443.00000,510769.00000,339435.00000,30324.00000,369759.00000,880528.00000,627170.00000,180414.00000,180414.00000,807584.00000,8.00000,53345.00000,-356.00000,5934.00000,72944.00000,880528.00000
2009-12-31,409172.00000,67900.00000,477072.00000,342402.00000,29468.00000,371870.00000,848942.00000,593143.00000,185085.00000,185085.00000,778228.00000,8.00000,50252.00000,-362.00000,6245.00000,70714.00000,848942.00000
2009-09-30,430380.00000,69936.00000,500316.00000,352190.00000,29679.00000,381869.00000,882185.00000,627107.00000,189724.00000,189724.00000,816831.00000,8.00000,45660.00000,-240.00000,5609.00000,65354.00000,882185.00000
2009-06-30,432873.00000,72315.00000,505188.00000,355251.00000,29105.00000,384356.00000,889544.00000,635489.00000,191242.00000,191242.00000,826731.00000,7.00000,42827.00000,-350.00000,5187.00000,62813.00000,889544.00000
2009-03-31,476403.00000,70486.00000,546889.00000,349591.00000,28810.00000,378401.00000,925290.00000,673203.00000,188534.00000,188534.00000,861737.00000,7.00000,40366.00000,-357.00000,4761.00000,63553.00000,925290.00000
