,cash-on-hand,receivables-total,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,663721.00000,165421.00000,1005811.00000,510938.00000,39245.00000,550183.00000,1555994.00000,1196739.00000,239965.00000,239965.00000,1436704.00000,9.00000,139067.00000,-1872.00000,5479.00000,119290.00000,1555994.00000
2022-06-30,736290.00000,163251.00000,1075479.00000,486671.00000,39074.00000,525745.00000,1601224.00000,1232909.00000,250444.00000,250444.00000,1483353.00000,9.00000,136998.00000,-1954.00000,5245.00000,117871.00000,1601224.00000
2022-03-31,727580.00000,174637.00000,1067732.00000,484537.00000,37172.00000,521709.00000,1589441.00000,1215810.00000,258392.00000,258392.00000,1474202.00000,9.00000,134931.00000,-2684.00000,4965.00000,115239.00000,1589441.00000
2021-12-31,645510.00000,160673.00000,964745.00000,464635.00000,34608.00000,499243.00000,1463988.00000,1099970.00000,254092.00000,254092.00000,1354062.00000,9.00000,131811.00000,-2068.00000,4211.00000,109926.00000,1463988.00000
2021-09-30,611563.00000,171780.00000,926967.00000,479706.00000,36557.00000,516263.00000,1443230.00000,1094153.00000,242780.00000,242780.00000,1336933.00000,9.00000,128631.00000,-1956.00000,3896.00000,106297.00000,1443230.00000
2021-06-30,590666.00000,162094.00000,883297.00000,466644.00000,37981.00000,504625.00000,1387922.00000,1047102.00000,238930.00000,238930.00000,1286032.00000,9.00000,124051.00000,-1889.00000,3759.00000,101890.00000,1387922.00000
2021-03-31,515484.00000,164658.00000,801403.00000,462234.00000,37911.00000,500145.00000,1301548.00000,984840.00000,219044.00000,219044.00000,1203884.00000,9.00000,119210.00000,-2074.00000,3608.00000,97664.00000,1301548.00000
2020-12-31,406062.00000,121331.00000,643508.00000,482075.00000,37445.00000,519520.00000,1163028.00000,853615.00000,213481.00000,213481.00000,1067096.00000,9.00000,112947.00000,-1434.00000,3468.00000,95932.00000,1163028.00000
2020-09-30,381869.00000,111181.00000,604893.00000,489192.00000,37974.00000,527166.00000,1132059.00000,825473.00000,213936.00000,213936.00000,1039409.00000,9.00000,109033.00000,-635.00000,3308.00000,92650.00000,1132059.00000
2020-06-30,406225.00000,106489.00000,629808.00000,473956.00000,37759.00000,511715.00000,1141523.00000,828867.00000,222627.00000,222627.00000,1051494.00000,9.00000,106248.00000,-341.00000,3203.00000,90029.00000,1141523.00000
