,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,6017.00000,395.00000,428.00000,652.00000,,7492.00000,38687.00000,1735.00000,2515.00000,44211.00000,51703.00000,10605.00000,31953.00000,891.00000,34033.00000,44638.00000,373.00000,269.00000,-1982.00000,7065.00000,51703.00000
2022-08-31,7071.00000,360.00000,420.00000,581.00000,,8432.00000,38137.00000,1730.00000,2455.00000,43485.00000,51917.00000,12954.00000,28518.00000,989.00000,30583.00000,43538.00000,373.00000,1868.00000,-2024.00000,8379.00000,51917.00000
2022-05-31,7205.00000,359.00000,425.00000,566.00000,,8554.00000,39262.00000,1746.00000,2221.00000,44434.00000,52988.00000,13380.00000,29263.00000,965.00000,31348.00000,44728.00000,372.00000,2649.00000,-1742.00000,8260.00000,52988.00000
2022-02-28,6929.00000,267.00000,392.00000,470.00000,,8057.00000,40183.00000,1760.00000,2002.00000,45223.00000,53281.00000,10920.00000,29887.00000,973.00000,32050.00000,42970.00000,372.00000,4493.00000,-1486.00000,10311.00000,53281.00000
2021-11-30,9153.00000,246.00000,356.00000,379.00000,,10133.00000,38107.00000,1760.00000,2011.00000,43211.00000,53344.00000,10408.00000,28509.00000,1043.00000,30791.00000,41200.00000,372.00000,6448.00000,-1501.00000,12144.00000,53344.00000
2021-08-31,7798.00000,281.00000,322.00000,508.00000,,8909.00000,38917.00000,2000.00000,2323.00000,44606.00000,53514.00000,9491.00000,26831.00000,1061.00000,29161.00000,38651.00000,372.00000,9194.00000,-1349.00000,14863.00000,53514.00000
2021-05-31,9271.00000,218.00000,308.00000,400.00000,,10198.00000,39499.00000,2016.00000,1936.00000,44866.00000,55064.00000,8754.00000,25968.00000,1149.00000,28434.00000,37188.00000,372.00000,12030.00000,-1126.00000,17876.00000,55064.00000
2021-02-28,11514.00000,250.00000,312.00000,382.00000,,12459.00000,39583.00000,2009.00000,1821.00000,44767.00000,57226.00000,8619.00000,26522.00000,1017.00000,28795.00000,37413.00000,372.00000,14102.00000,-1233.00000,19813.00000,57226.00000
2020-11-30,9513.00000,273.00000,335.00000,443.00000,,10563.00000,38073.00000,1993.00000,1594.00000,43030.00000,53593.00000,8686.00000,22130.00000,949.00000,24352.00000,33038.00000,372.00000,16075.00000,-1436.00000,20555.00000,53593.00000
2020-08-31,8176.00000,376.00000,349.00000,367.00000,,9268.00000,36926.00000,1993.00000,1252.00000,41550.00000,50818.00000,10184.00000,18916.00000,934.00000,21131.00000,31315.00000,369.00000,18297.00000,-1439.00000,19503.00000,50818.00000
2020-05-31,6881.00000,604.00000,362.00000,374.00000,,8222.00000,37139.00000,1958.00000,1086.00000,41596.00000,49817.00000,11858.00000,14870.00000,956.00000,17118.00000,28977.00000,367.00000,21155.00000,-1962.00000,20840.00000,49817.00000
2020-02-29,1354.00000,405.00000,440.00000,687.00000,,2885.00000,38023.00000,3349.00000,1216.00000,44057.00000,46943.00000,10716.00000,9738.00000,887.00000,11937.00000,22653.00000,366.00000,25527.00000,-2028.00000,24290.00000,46943.00000
2019-11-30,518.00000,444.00000,427.00000,671.00000,,2059.00000,38131.00000,4086.00000,783.00000,43000.00000,45058.00000,9127.00000,9675.00000,890.00000,10565.00000,19693.00000,365.00000,26653.00000,-2066.00000,25365.00000,45058.00000
2019-08-31,1153.00000,441.00000,482.00000,635.00000,,2712.00000,36466.00000,4052.00000,771.00000,41289.00000,44001.00000,8932.00000,8893.00000,882.00000,9775.00000,18706.00000,365.00000,26576.00000,-2183.00000,25295.00000,44001.00000
2019-05-31,1202.00000,405.00000,501.00000,727.00000,,2835.00000,36814.00000,4079.00000,785.00000,41678.00000,44512.00000,10377.00000,9080.00000,948.00000,10028.00000,20404.00000,365.00000,25138.00000,-2076.00000,24108.00000,44512.00000
2019-02-28,649.00000,406.00000,444.00000,603.00000,,2101.00000,37005.00000,4124.00000,700.00000,41829.00000,43930.00000,9642.00000,9134.00000,912.00000,10046.00000,19689.00000,365.00000,25033.00000,-1869.00000,24241.00000,43930.00000
2018-11-30,982.00000,358.00000,450.00000,436.00000,,2225.00000,35336.00000,4101.00000,738.00000,40175.00000,42401.00000,9204.00000,7897.00000,856.00000,8753.00000,17958.00000,365.00000,25066.00000,-1949.00000,24443.00000,42401.00000
2018-08-31,526.00000,366.00000,405.00000,458.00000,,1755.00000,35178.00000,4131.00000,689.00000,39998.00000,41753.00000,8020.00000,8297.00000,783.00000,9080.00000,17099.00000,365.00000,24921.00000,-1840.00000,24654.00000,41753.00000
2018-05-31,1053.00000,342.00000,402.00000,481.00000,,2278.00000,35227.00000,4133.00000,546.00000,39906.00000,42184.00000,9308.00000,8172.00000,771.00000,8943.00000,18251.00000,365.00000,23564.00000,-1855.00000,23933.00000,42184.00000
2018-02-28,453.00000,345.00000,394.00000,475.00000,,1667.00000,35027.00000,4212.00000,535.00000,39774.00000,41441.00000,8851.00000,7445.00000,764.00000,8209.00000,17059.00000,365.00000,23360.00000,-1486.00000,24382.00000,41441.00000
