,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1226.00000,879.80000,,754.30000,12263.90000,504.00000,,15551.80000,952.20000,17008.00000,29271.90000,2767.10000,8035.80000,286.70000,10991.70000,13758.80000,113.20000,7416.20000,-1131.00000,15513.10000,29271.90000
2022-06-30,1132.80000,1035.30000,,1067.70000,12840.40000,491.40000,,15820.60000,1034.30000,17346.30000,30186.70000,2978.60000,8402.30000,443.00000,11413.30000,14391.90000,113.20000,7323.20000,-801.10000,15794.80000,30186.70000
2022-03-31,1614.10000,1159.90000,,1662.10000,14447.50000,499.60000,,16053.60000,853.10000,17406.30000,31853.80000,3428.80000,9170.10000,763.10000,12438.80000,15867.60000,113.20000,7287.90000,-508.50000,15986.20000,31853.80000
2021-12-31,2147.10000,1317.60000,,1893.60000,15327.10000,518.10000,,16110.50000,729.90000,17358.50000,32685.60000,4113.00000,9421.20000,846.30000,12404.60000,16517.60000,113.20000,7169.20000,-441.50000,16168.00000,32685.60000
2021-09-30,2309.50000,1231.40000,144.80000,2232.20000,15748.50000,512.50000,,16124.80000,428.10000,17065.40000,32813.90000,4774.30000,9309.00000,864.90000,12307.60000,17081.90000,113.20000,6821.20000,-477.30000,15732.00000,32813.90000
2021-06-30,1737.10000,1511.90000,139.60000,3415.20000,16073.80000,524.80000,,16229.00000,420.80000,17174.60000,33248.40000,5929.50000,8834.50000,1118.60000,11892.30000,17821.80000,113.20000,6570.10000,-369.80000,15426.60000,33248.40000
2021-03-31,1587.90000,1377.10000,132.50000,5629.50000,17496.70000,555.90000,,16214.90000,614.00000,17384.80000,34881.50000,8499.70000,8784.10000,663.60000,11352.30000,19852.00000,113.20000,6279.90000,-407.70000,15029.50000,34881.50000
2020-12-31,1710.10000,1026.00000,149.20000,7582.10000,19204.20000,563.80000,,16221.90000,514.20000,17299.90000,36504.10000,10574.60000,8796.70000,588.60000,11120.60000,21695.20000,113.20000,6085.00000,-404.50000,14808.90000,36504.10000
2020-09-30,1320.60000,1181.50000,,7882.50000,18872.80000,551.10000,,16044.70000,568.90000,17164.70000,36037.50000,10712.50000,8698.70000,520.40000,10974.40000,21686.90000,113.20000,5944.50000,-647.90000,14350.60000,36037.50000
2020-06-30,1271.20000,1073.90000,128.60000,8020.90000,18602.20000,555.10000,,15931.40000,490.40000,16976.90000,35579.10000,10593.40000,8654.60000,653.20000,11018.00000,21611.40000,113.20000,5825.00000,-816.00000,13967.70000,35579.10000
2020-03-31,1229.50000,1274.00000,124.50000,9137.30000,20073.70000,562.80000,,15869.20000,505.00000,16937.00000,37010.70000,11747.90000,8761.50000,881.60000,11320.40000,23068.30000,113.20000,5856.60000,-905.50000,13942.40000,37010.70000
2019-12-31,1701.20000,1191.20000,144.00000,10835.60000,22509.50000,583.50000,,15867.70000,459.60000,16910.80000,39420.30000,13924.50000,8314.90000,949.60000,11177.50000,25102.00000,113.20000,5917.80000,-587.30000,14318.30000,39420.30000
2019-09-30,1534.30000,1191.30000,137.20000,10442.40000,21193.90000,552.30000,,15670.00000,475.20000,16697.50000,37891.40000,13470.00000,7780.90000,757.80000,10459.80000,23929.80000,113.20000,5880.00000,-804.30000,13961.60000,37891.40000
2019-06-30,1435.30000,1160.50000,139.20000,11472.60000,20867.50000,567.80000,839.90000,15766.60000,459.60000,17633.90000,38501.40000,14430.70000,7270.10000,565.70000,9771.00100,24201.70000,113.20000,5856.80000,-671.40000,14299.70000,38501.40000
2019-03-31,1268.30000,1215.10000,116.80000,12102.70000,21431.00000,462.80000,640.90000,9379.10000,292.80000,10775.60000,32206.60000,14139.50000,7727.40000,511.60000,9057.69900,23197.20000,98.10000,5942.10000,-673.60000,9009.40000,32206.60000
2018-12-31,1805.40000,906.10000,127.10000,11384.80000,21050.40000,468.70000,,9333.20000,126.10000,9928.00000,30978.40000,13297.20000,7634.80000,387.60000,8744.99900,22042.20000,98.10000,5884.50000,-735.00000,8936.20000,30978.40000
2018-09-30,1914.30000,1465.80000,130.90000,12268.20000,22497.60000,469.20000,,9468.00000,69.00000,10006.20000,32503.80000,14506.60000,7635.10000,315.80000,8678.39900,23185.00000,98.10000,5892.60000,-585.80000,9318.80000,32503.80000
2018-06-30,1833.90000,1683.70000,122.20000,12199.60000,21731.80000,475.70000,732.80000,9466.00000,52.80000,10727.30000,32459.10000,14399.70000,7970.40000,352.30000,8923.20000,23322.90000,98.10000,5747.30000,-563.70000,9136.20000,32459.10000
2018-03-31,2122.30000,1590.10000,124.90000,12902.20000,22906.60000,484.40000,,8163.60000,64.50000,8712.50000,31619.10000,14906.10000,6579.10000,349.50000,7523.00000,22429.10000,98.10000,5626.60000,-331.40000,9190.00000,31619.10000
2017-12-31,2517.70000,1547.80000,124.40000,,22292.40000,490.70000,674.60000,8149.40000,61.70000,9376.40000,31668.80000,14820.10000,6875.60000,498.80000,7893.10000,22713.20000,98.10000,5489.10000,-391.20000,8955.60000,31668.80000
2017-09-30,2202.20000,1448.00000,122.80000,12102.60000,21690.80000,483.00000,,8134.60000,64.10000,8681.69900,30372.50000,14423.80000,6398.90000,339.90000,7399.90000,21823.70000,98.10000,5199.80000,-448.50000,8548.80000,30372.50000
2017-06-30,1974.20000,1655.30000,118.30000,10716.70000,20024.10000,482.20000,,7666.50000,75.70000,8224.40000,28248.50000,12982.20000,6004.30000,393.20000,7092.30000,20074.50000,98.10000,5051.30000,-594.20000,8174.00000,28248.50000
2017-03-31,1932.70000,1613.30000,118.00000,9230.50000,18474.30000,467.90000,,7568.70000,88.00000,8124.60000,26598.90000,11310.30000,6366.50000,490.90000,7455.40000,18765.70000,98.10000,4930.60000,-743.70000,7833.20000,26598.90000
2016-12-31,2070.20000,1323.30000,116.90000,8224.20000,17646.00000,464.70000,,7528.60000,95.00000,8088.30000,25734.30000,10350.20000,6505.50000,673.40000,7772.30000,18122.50000,98.10000,4833.40000,-809.30000,7611.80000,25734.30000
2016-09-30,1896.30000,1263.30000,130.80000,7387.50000,15959.10000,444.60000,,7650.50000,83.50000,8178.60000,24137.70000,9424.10000,5933.20000,268.10000,6889.30000,16313.40000,98.10000,4721.00000,-573.70000,7824.30000,24137.70000
2016-06-30,1704.10000,1901.30000,127.80000,6620.40000,15282.50000,432.10000,,7719.40000,68.80000,8220.30100,23502.80000,9153.70000,5602.30000,314.00000,6619.00000,15772.70000,98.10000,4595.50000,-513.90000,7730.10000,23502.80000
2016-03-31,1622.30000,1610.80000,127.30000,6578.30000,14497.70000,428.90000,,7653.60000,78.00000,8160.50000,22658.20000,8598.10100,5134.40000,181.50000,6097.60000,14695.70000,98.10000,4487.60000,-348.70000,7962.50000,22658.20000
2015-12-31,2214.70000,1267.90000,121.20000,6370.60000,17009.60000,426.90000,,7529.70000,107.00000,8063.60000,25073.20000,8137.80000,7509.80000,273.70000,8239.69900,16377.50000,98.10000,4439.60000,-446.00000,8695.70000,25073.20000
2015-09-30,2178.20000,1644.60000,126.20000,5826.00000,16833.80000,415.90000,,7626.90000,85.60000,8128.40000,24962.20000,7916.60000,7359.00000,338.10000,8189.80000,16106.40000,98.10000,4351.40000,-328.30000,8855.80000,24962.20000
2015-06-30,1780.50000,1756.30000,133.70000,3780.10000,14595.20000,410.30000,,7809.60000,83.20000,8303.10100,22898.30000,5920.70000,7029.60000,326.80000,7892.50000,13813.20000,98.10000,4218.30000,-94.80000,9085.10000,22898.30000
2015-03-31,1613.60000,2004.70000,126.50000,2886.90000,13781.30000,393.10000,,7696.10000,90.70000,8179.90000,21961.20000,5132.10000,7080.30000,320.70000,7956.30000,13088.40000,98.10000,4077.50000,-253.60000,8872.80000,21961.20000
2014-12-31,1918.20000,1439.60000,132.10000,2003.70000,12141.80000,402.60000,,7826.10000,79.50000,8308.19900,20450.00000,3852.60000,6726.40000,280.90000,7477.60000,11330.20000,98.10000,3943.60000,48.80000,9119.80000,20450.00000
2014-09-30,1591.20000,1649.80000,103.60000,1843.70000,11630.70000,367.30000,,7972.30000,110.70000,8450.30000,20081.00000,3810.50000,6299.40000,349.20000,7131.40000,10941.90000,98.10000,3820.90000,252.90000,9139.10000,20081.00000
2014-06-30,1488.40000,1868.30000,108.20000,1866.70000,11222.10000,354.80000,,8178.40000,144.20000,8677.40000,19899.50000,3978.30000,5890.40000,201.00000,6598.30000,10576.60000,98.10000,3680.40000,509.90000,9322.90000,19899.50000
2014-03-31,1758.70000,2225.00000,101.50000,1617.80000,11745.40000,342.40000,,8071.10000,187.40000,8600.90000,20346.30000,4597.50000,6351.40000,,6843.30000,11440.80000,98.10000,3525.70000,379.90000,8905.50000,20346.30000
2013-12-31,1914.80000,1491.50000,101.40000,1524.50000,10606.60000,350.80000,,8131.00000,182.10000,8663.89900,19270.50000,3737.50000,5770.30000,461.80000,6555.70000,10293.20000,98.10000,3466.20000,427.90000,8977.30000,19270.50000
2013-09-30,1619.50000,1540.90000,111.40000,1650.00000,10152.30000,336.40000,,8167.20000,107.60000,8611.20000,18763.50000,3919.60000,5390.70000,,5724.50000,9644.10000,98.10000,3281.30000,434.80000,9119.40000,18763.50000
