,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,918.75800,398.46800,857.27700,46.10500,37.09200,2257.70000,1191.98600,24.21800,3337.52100,264.79400,4818.51900,7076.21900,613.59000,2047.74300,250.31800,2298.06100,2911.65100,3859.94000,315.99300,-11.36500,,4164.56800,7076.21900
2022-09-30,911.57000,668.90900,840.85000,47.90100,52.05400,2521.28400,1222.92400,29.45200,3342.98400,258.08800,4853.44800,7374.73200,764.12700,2047.39800,241.06700,2288.46500,3052.59200,3915.96900,447.94700,-41.77600,,4322.14000,7374.73200
2022-06-30,858.79100,556.10700,847.37800,49.61000,60.60300,2372.48900,1234.33400,28.28100,3396.46900,298.94800,4958.03200,7330.52100,718.45000,2047.18300,264.28300,2311.46600,3029.91600,3962.49900,356.08000,-17.97400,,4300.60500,7330.52100
2022-03-31,972.59200,601.00100,755.74800,49.83900,70.68500,2449.86500,1253.59100,31.08600,3450.42000,324.11000,5059.20700,7509.07200,675.12700,2047.09800,233.62900,2280.72700,2955.85400,4035.84900,512.13700,5.23200,,4553.21800,7509.07200
2021-12-31,988.52700,644.22100,710.22800,44.43800,58.43700,2445.85100,1266.80500,38.23400,3542.95100,332.74400,5180.73400,7626.58500,673.42700,2046.95100,239.00800,2285.95900,2959.38600,4119.09800,533.48800,14.61300,,4667.19900,7626.58500
2021-09-30,1153.17200,696.62800,597.56300,49.29800,44.60600,2541.26700,1276.81000,36.90800,3349.60200,371.86900,5035.18900,7576.45600,902.49500,1740.55200,205.65500,1946.20700,2848.70200,4158.17000,546.15300,23.43100,,4727.75400,7576.45600
2021-06-30,1200.24500,516.54000,570.14400,39.40100,47.75500,2374.08500,1270.72700,45.93900,3394.52600,186.58200,4897.77400,7271.85900,703.70800,1741.54800,178.20900,1919.75700,2623.46500,4210.91400,404.56200,32.91800,,4648.39400,7271.85900
2021-03-31,1397.88000,484.75500,507.78700,41.57200,51.81000,2483.80400,1266.03100,35.37000,3253.86300,182.40200,4737.66600,7221.47000,681.58100,1742.55000,167.91400,1910.46400,2592.04500,4244.74000,355.03600,29.64900,,4629.42500,7221.47000
2020-12-31,1234.41500,519.69900,479.34000,42.79300,46.01000,2322.25700,1232.37400,31.27100,3307.15100,148.32500,4719.12100,7041.37800,613.89800,1743.79400,179.98500,1923.77900,2537.67700,4262.88300,193.32900,47.48900,,4503.70100,7041.37800
2020-09-30,2000.25700,498.93100,476.84600,42.17800,44.51400,3062.72600,1224.85300,37.84800,3354.50800,144.48700,4761.69600,7824.42200,1477.01700,1764.39600,175.84300,1940.23900,3417.25600,4267.98700,112.56300,26.61600,,4407.16600,7824.42200
2020-06-30,1136.30200,337.36200,523.69000,43.79500,38.18000,2079.32900,1235.67600,36.92100,3353.52400,177.23600,4803.35700,6882.68600,509.33200,1869.50200,152.60700,2022.10900,2531.44100,4293.62100,49.23000,8.39400,,4351.24500,6882.68600
2020-03-31,714.93900,382.18800,517.19800,37.87200,38.30500,1690.50200,1259.20300,22.51500,3423.16600,165.29600,4870.18000,6560.68200,539.00300,1567.23100,161.78300,1729.01400,2268.01700,4290.37700,,2.28800,,4292.66500,6560.68200
2019-12-31,1097.72400,426.45500,479.88500,27.12000,36.48800,2067.67200,1278.98800,40.89600,3011.10900,120.83800,4451.83100,6519.50300,491.20500,1568.55400,120.36700,1688.92100,2180.12600,4383.36800,-37.14800,-6.84300,,4339.37700,6519.50300
2019-09-30,586.79400,419.24500,485.28400,27.28600,33.20500,1551.81400,1296.10300,97.54900,2756.92400,146.18100,4296.75700,5848.57100,449.62900,1016.06300,117.38500,1133.44800,1583.07700,4471.65600,-198.50400,-7.65800,,4265.49400,5848.57100
2019-06-30,629.59900,343.22000,517.75500,31.89400,34.36500,1556.83300,1309.47100,97.99000,2809.07100,153.01600,4369.54800,5926.38100,452.14600,1018.61400,118.27800,1136.89200,1589.03800,4625.56600,-281.54200,-6.68100,,4337.34300,5926.38100
2019-03-31,711.03500,400.10600,511.79300,25.76600,36.14100,1684.84100,1366.51300,97.78600,2582.09900,76.78500,4123.18300,5808.02400,435.61400,920.93500,91.79600,1012.73100,1448.34500,4687.45500,-321.15200,-6.62400,,4359.67900,5808.02400
2018-12-31,649.71100,442.80200,464.94900,23.96100,34.11300,1615.53600,1397.58900,90.69600,2637.24800,65.22200,4190.75500,5806.29100,413.93200,714.40200,93.65900,815.03900,1228.97100,4966.05900,-382.66900,-6.07000,,4577.32000,5806.29100
2018-09-30,557.92400,530.15600,474.53200,26.31300,30.84500,1619.77000,1401.86500,90.90300,2769.74100,64.78200,4327.29100,5947.06100,462.38300,735.09800,95.51100,852.54100,1314.92400,5089.33100,-452.18600,-5.00800,,4632.13700,5947.06100
2018-06-30,392.04900,414.65600,501.57800,24.87300,34.55000,1367.70600,1368.58800,79.51500,2903.12700,63.39600,4414.62600,5782.33200,403.36400,558.28000,105.42800,700.86300,1104.22700,5167.31100,-484.27000,-4.93600,,4678.10500,5782.33200
2018-03-31,926.03700,390.75200,472.29200,23.90900,30.81500,1843.80500,1374.11200,63.76500,3034.22500,65.61200,4537.71400,6381.51900,441.27900,983.29000,118.30200,1164.67600,1605.95500,5237.08500,-458.76900,-2.75200,,4775.56400,6381.51900
2017-12-31,841.32600,492.86900,422.90700,28.00800,29.05600,1814.16600,1417.14100,62.75600,3167.51800,65.06600,4712.48100,6526.64700,384.51800,1088.73000,173.44200,1321.05100,1705.56900,5270.42800,-446.26800,-3.08200,,4821.07800,6526.64700
2017-09-30,574.87300,510.23700,461.00500,33.38100,28.71200,1608.20800,1443.39200,66.08500,3303.92500,56.47000,4869.87200,6478.08000,423.00200,989.69200,86.64200,1150.50200,1573.50400,5321.74100,-413.18600,-3.97900,,4904.57600,6478.08000
2017-06-30,512.63100,415.45300,470.88000,36.44400,31.80800,1467.21600,1440.10500,36.24800,3439.76500,59.36200,4975.48000,6442.69600,361.91800,989.42000,89.39800,1168.09700,1530.01500,5365.37300,-449.10500,-3.58700,,4912.68100,6442.69600
2017-03-31,545.46300,423.19500,430.45400,36.22900,26.26400,1461.60500,1391.93200,35.49400,3574.47700,58.81500,5060.71800,6522.32300,418.82800,989.15400,86.10800,1206.77300,1625.60100,5357.39400,-456.36600,-4.30600,,4896.72200,6522.32300
2016-12-31,495.81100,503.36600,404.61700,38.10600,46.01700,1487.91700,1335.76700,34.73300,3708.01200,58.48200,5136.99400,6624.91100,548.59600,988.88600,85.06000,1213.19900,1761.79500,5378.94400,-512.27400,-3.55400,,4863.11600,6624.91100
2016-09-30,469.21900,569.51100,437.13500,58.57900,48.09200,1582.53600,1240.05000,34.90200,3831.07600,63.05800,5169.08600,6751.62200,557.44500,988.62500,82.24900,1217.80100,1775.24600,5413.74200,-433.63600,-3.73000,,4976.37600,6751.62200
2016-06-30,446.90700,470.55000,455.77100,68.32900,43.86300,1485.42000,1160.95300,26.00000,3950.57600,65.03800,5202.56700,6687.98700,420.33300,988.37200,82.06200,1234.07800,1654.41100,5483.20000,-445.48300,-4.14100,,5033.57600,6687.98700
2016-03-31,612.68900,363.73600,427.55100,63.85000,41.38400,1509.21000,1046.88800,26.05000,3948.21200,66.45900,5087.60900,6596.81900,373.80100,988.13000,83.05600,1223.34600,1597.14700,5442.61300,-439.80800,-3.13300,,4999.67200,6596.81900
2015-12-31,1025.16600,327.59500,406.69200,59.43700,24.82700,1843.71700,1012.83600,29.28700,4063.06300,62.20700,5167.39300,7011.11000,300.68500,987.88800,85.36200,1216.35300,1517.03800,5911.03100,-415.60600,-1.35300,,5494.07200,7011.11000
2015-09-30,195.55700,465.51100,393.76000,55.55000,22.53200,1275.98200,972.32800,28.76100,4190.92500,64.10100,5256.11500,6532.09700,355.47400,75.00000,86.34200,464.52500,819.99900,6117.85800,-404.47900,-1.28100,,5712.09800,6532.09700
2015-06-30,558.42900,433.04200,363.91400,53.00500,24.92700,1579.98600,940.07000,4.39700,4320.78600,64.63100,5329.88400,6909.87000,335.49600,,86.48900,396.18300,731.67900,6588.20100,-408.92700,-1.08300,,6178.19100,6909.87000
2015-03-31,544.64400,379.64600,346.90000,52.16900,26.53800,1500.10500,883.37100,4.08300,4447.81500,57.00500,5392.27400,6892.37900,325.31000,,83.72000,393.90900,719.21900,6584.24700,-410.96300,-0.12400,,6173.16000,6892.37900
2014-12-31,296.70300,249.75500,170.01900,31.34400,7.43600,755.25700,228.57900,2.15000,140.43400,39.19500,410.35800,1165.61500,219.75300,,50.30000,50.30000,270.05300,1311.18400,-417.44500,1.82300,,895.56200,1165.61500
2014-09-30,,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,0.00000,-0.00010,0.00000,0.00000
2014-06-30,,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,0.00000,-0.00010,0.00000,0.00000
2014-03-31,,,,,,,,,,,,0.00000,,,,,,,,,,,
2013-12-31,,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2013-03-31,,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
