,cash-on-hand,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,61.07100,61.07100,10943.91000,,236.18300,11180.10000,11241.17000,615.84300,4414.90300,20.67100,4435.57400,5051.41700,1.15200,-1188.85400,-10.05200,6189.74800,11241.17000
2022-09-30,53.55400,53.55400,11002.81000,,281.86100,11284.67000,11338.23000,647.17600,4519.15100,20.14500,4539.29600,5186.47200,1.15200,-1219.59900,-10.32100,6151.75500,11338.23000
2022-06-30,221.70200,221.70200,10846.81000,,211.89000,11058.70000,11280.40000,571.56800,4518.31400,22.40300,4540.71700,5112.28500,1.15200,-1199.21600,-10.59100,6168.11600,11280.40000
2022-03-31,72.62400,72.62400,10873.49000,,252.96500,11126.45000,11199.08000,531.35100,4537.50500,26.85700,4564.36200,5095.71300,1.15100,-1268.82700,-10.86000,6103.36200,11199.08000
2021-12-31,130.59800,130.59800,10856.08000,,298.50800,11154.58000,11285.18000,584.40000,4516.69000,30.18500,4546.87500,5131.27500,1.15100,-1255.80700,-11.13200,6153.90700,11285.18000
2021-09-30,41.52100,41.52100,10932.92000,,237.24500,11212.61000,11254.13000,598.59200,4540.88700,24.32300,4565.21000,5163.80200,1.14900,-1309.51100,-11.38400,6090.33000,11254.13000
2021-06-30,43.00400,43.00400,10982.40000,,216.71500,11199.12000,11242.12000,546.52400,4553.23700,21.69200,4574.92900,5121.45300,1.14700,-1272.69400,-11.63200,6120.66700,11242.12000
2021-03-31,43.37500,43.37500,10961.01000,,187.99600,11149.00000,11192.38000,497.43200,4657.58500,17.82800,4675.41300,5172.84500,1.14200,-1367.34700,-11.85900,6019.53300,11192.38000
2020-12-31,35.61500,35.61500,10967.12000,,192.06100,11159.18000,11194.79000,528.27400,4562.71200,15.39700,4578.10900,5106.38300,1.14100,-1294.18200,-12.12800,6088.40800,11194.79000
2020-09-30,27.58900,27.58900,10928.38000,,172.74000,11101.12000,11128.70000,570.01400,4425.59400,13.84100,4439.43500,5009.44900,1.14000,-1258.07200,-12.39600,6119.25500,11128.70000
2020-06-30,35.59400,35.59400,10938.70000,,157.01700,11095.72000,11131.31000,473.79500,4472.60800,13.33300,4485.94100,4959.73600,1.14000,-1202.53600,-12.66500,6171.57700,11131.31000
2020-03-31,49.04700,49.04700,10965.18000,,141.74600,11106.93000,11155.98000,445.45200,4483.69300,11.26700,4494.96000,4940.41200,1.14000,-1160.94400,-12.93400,6215.56500,11155.98000
2019-12-31,70.54100,70.54100,10987.13000,,172.78100,11159.91000,11230.45000,472.26200,4454.59800,14.13100,4468.72900,4940.99100,1.14000,-1085.47900,-13.17800,6289.45900,11230.45000
2019-09-30,42.68200,42.68200,11004.20000,,200.87200,11205.07000,11247.75000,521.37400,4476.11400,13.65600,4489.77000,5011.14400,1.13800,-1119.71400,-14.87000,6236.61000,11247.75000
2019-06-30,57.68400,57.68400,11067.85000,,149.29600,11217.15000,11274.83000,450.21200,4539.98900,12.10300,4552.09200,5002.30400,1.13800,-1086.66500,-9.09200,6272.52600,11274.83000
2019-03-31,59.38700,59.38700,11100.00000,,144.37800,11244.38000,11303.76000,419.32000,4548.09800,11.04500,4559.14300,4978.46300,1.13700,-1037.26800,-3.30000,6325.29900,11303.76000
2018-12-31,51.67300,51.67300,11151.70000,,120.40700,11272.11000,11323.78000,413.85000,4528.32800,9.41400,4537.74200,4951.59200,1.13600,-989.26300,-0.21200,6372.18900,11323.78000
2018-09-30,79.40000,79.40000,11196.04000,,143.54600,11339.59000,11418.99000,473.80300,4504.02300,9.60700,4513.63000,4987.43300,1.13600,-940.77300,11.55600,6431.55400,11418.99000
2018-06-30,60.80300,60.80300,11263.01000,,123.31300,11386.33000,11447.13000,409.60400,4548.63500,9.41000,4558.04500,4967.64900,1.13600,-887.67200,7.98600,6479.48000,11447.13000
