,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,128.20000,1585.60000,1014.40000,233.60000,2961.80000,1442.60000,2679.90000,839.90000,5080.50000,8042.30000,2939.30000,2462.90000,,3095.70000,6035.00000,124.10000,4347.00000,-368.00000,,2007.30000,8042.30000
2022-06-30,164.80000,1565.10000,990.10000,228.80000,2948.80000,1451.00000,2738.60000,834.10000,5143.60000,8092.40000,3000.50000,2493.40000,,3155.00000,6155.50000,124.10000,4182.00000,-311.10000,,1936.90000,8092.40000
2022-03-31,147.10000,1551.40000,960.90000,234.90000,2894.30000,1477.50000,2800.80000,837.40000,5244.50000,8138.80000,2723.20000,2773.80000,,3483.10000,6206.30000,124.10000,4023.20000,-260.00000,,1932.50000,8138.80000
2021-12-31,162.70000,1424.50000,907.20000,240.20000,2734.60000,1477.70000,2792.90000,836.20000,5237.00000,7971.60000,2547.90000,2785.90000,,3499.30000,6047.20000,124.10000,3880.70000,-282.90000,,1924.40000,7971.60000
2021-09-30,207.20000,1441.20000,879.10000,251.00000,2778.50000,1405.50000,2828.20000,802.80000,5189.20000,7967.70000,2609.40000,2800.20000,,3559.10000,6168.50000,124.10000,3749.70000,-323.00000,,1799.20000,7967.70000
2021-06-30,344.80000,1338.90000,824.80000,233.10000,2741.60000,1344.80000,1361.70000,785.90000,3680.90000,6422.50000,2082.50000,2020.20000,,2636.40000,4718.90000,124.10000,3637.30000,-327.60000,,1703.60000,6422.50000
2021-03-31,328.00000,1301.40000,786.70000,216.30000,2632.40000,1329.00000,1363.50000,746.90000,3640.80000,6273.20000,2058.50000,2025.90000,,2632.80000,4691.30000,124.10000,3504.40000,-346.10000,,1581.90000,6273.20000
2020-12-31,252.30000,1235.20000,717.20000,211.50000,2416.20000,1343.70000,1361.30000,765.00000,3667.70000,6083.90000,1926.00000,2052.10000,,2673.00000,4599.00000,124.10000,3349.30000,-349.60000,,1484.90000,6083.90000
2020-09-30,284.70000,1212.70000,662.60000,214.50000,2374.50000,1233.90000,1253.40000,655.70000,3346.30000,5720.80000,1816.00000,2020.00000,,2570.20000,4386.20000,124.10000,3205.50000,-393.90000,,1334.60000,5720.80000
2020-06-30,262.60000,1114.60000,726.60000,220.80000,2324.60000,1228.80000,1235.30000,651.90000,3327.10000,5651.70000,1909.50000,1997.60000,,2528.30000,4437.80000,124.10000,3100.20000,-403.20000,,1213.90000,5651.70000
