,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,342.00000,535.00000,111.00000,194.00000,1182.00000,15265.00000,13786.00000,135.00000,37679.00000,38861.00000,2584.00000,20664.00000,1993.00000,28598.00000,31182.00000,4.00000,-10405.00000,-7.00000,7679.00000,38861.00000
2022-06-30,441.00000,516.00000,158.00000,175.00000,1290.00000,15219.00000,13909.00000,136.00000,37723.00000,39013.00000,1871.00000,21212.00000,2052.00000,29281.00000,31152.00000,4.00000,-10188.00000,-5.00000,7861.00000,39013.00000
2022-03-31,477.00000,503.00000,119.00000,162.00000,1261.00000,15226.00000,14013.00000,130.00000,37790.00000,39051.00000,1776.00000,21055.00000,2106.00000,29239.00000,31015.00000,4.00000,-9971.00000,-3.00000,8036.00000,39051.00000
2021-12-31,461.00000,543.00000,105.00000,53.00000,1254.00000,15269.00000,10142.00000,4105.00000,37786.00000,39040.00000,2026.00000,20557.00000,2168.00000,28756.00000,30782.00000,4.00000,-9753.00000,-4.00000,8258.00000,39040.00000
2021-09-30,537.00000,493.00000,120.00000,182.00000,1332.00000,15174.00000,14193.00000,130.00000,37672.00000,39004.00000,1987.00000,20293.00000,2208.00000,28501.00000,30488.00000,4.00000,-9467.00000,-3.00000,8516.00000,39004.00000
2021-06-30,520.00000,434.00000,148.00000,227.00000,1329.00000,15178.00000,14300.00000,123.00000,37644.00000,38973.00000,2018.00000,20014.00000,2265.00000,28242.00000,30260.00000,4.00000,-9240.00000,-2.00000,8713.00000,38973.00000
2021-03-31,433.00000,412.00000,115.00000,216.00000,1176.00000,15149.00000,14402.00000,122.00000,37576.00000,38752.00000,1933.00000,19713.00000,2327.00000,27896.00000,29829.00000,4.00000,-8995.00000,-3.00000,8923.00000,38752.00000
2020-12-31,376.00000,431.00000,95.00000,202.00000,1104.00000,15162.00000,14511.00000,119.00000,37664.00000,38768.00000,1969.00000,19151.00000,2379.00000,27338.00000,29307.00000,4.00000,-8472.00000,-4.00000,9461.00000,38768.00000
2020-09-30,416.00000,455.00000,112.00000,201.00000,1184.00000,15092.00000,14613.00000,120.00000,37602.00000,38786.00000,1925.00000,19190.00000,2456.00000,27359.00000,29284.00000,4.00000,-8402.00000,-4.00000,9502.00000,38786.00000
2020-06-30,2668.00000,439.00000,137.00000,192.00000,3436.00000,14963.00000,14704.00000,119.00000,37465.00000,40901.00000,1964.00000,21014.00000,2482.00000,29111.00000,31075.00000,4.00000,-8044.00000,-6.00000,9826.00000,40901.00000
