,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-10-31,1824.79000,268.71800,49.84900,,2233.36100,183.42500,107.81400,23.46500,602.37100,2835.73200,1111.28300,1139.54200,9.95800,1293.17400,2404.45700,0.14400,-956.20100,-37.82400,,431.27500,2835.73200
2022-07-31,1731.33900,399.74500,39.35300,,2256.64700,160.63300,110.36600,21.87000,576.01800,2832.66500,1134.44700,968.67400,7.92200,1124.91800,2259.36500,0.14300,-991.87800,-25.85000,,573.30000,2832.66500
2022-04-30,1657.87400,272.09200,41.18200,,2047.04500,141.69200,86.85700,22.36300,477.49900,2524.54400,912.57600,954.57800,7.94600,1080.39100,1992.96700,0.14200,-894.22600,-24.47800,,531.57700,2524.54400
2022-01-31,1621.20900,269.44900,29.48200,,1989.16500,121.19500,89.09500,14.24900,432.85600,2422.02100,836.04200,940.69200,4.62800,1046.61200,1882.65400,0.14100,-792.82100,-9.29900,,539.36700,2422.02100
2021-10-31,1584.64200,172.02800,36.69900,,1855.43600,112.99900,88.88000,15.61400,415.68200,2271.11800,715.30000,927.01400,4.58000,1025.61900,1740.91900,0.14000,-692.40100,-2.76400,,530.19900,2271.11800
2021-07-31,1502.55200,257.10900,31.26900,,1848.30300,108.57600,91.10600,15.65000,409.32800,2257.63100,720.20500,913.53800,4.45300,1008.53100,1728.73600,0.13900,-601.60000,-0.65000,,528.89500,2257.63100
2021-04-30,1467.60900,164.92300,28.42800,,1705.50100,106.81200,79.78600,12.52300,356.77500,2062.27600,564.87900,900.26300,3.95600,989.29000,1554.16900,0.13700,-520.57700,0.65900,,508.10700,2062.27600
2021-01-31,1444.74900,170.41200,23.58600,,1678.64900,90.52700,50.93000,8.32500,290.76800,1969.41700,501.57500,887.18600,3.49000,965.13790,1466.71300,0.13600,-462.11800,0.47200,,502.70400,1969.41700
2020-10-31,1415.95400,105.94200,22.04000,,1579.52500,83.97600,52.50600,7.66400,273.42200,1852.94700,416.46200,874.35900,2.89000,944.38000,1360.84200,0.13400,-394.57700,-0.26700,,492.10500,1852.94700
2020-07-31,1370.57300,147.58400,31.39600,,1581.79300,75.73400,54.08300,8.05400,251.66500,1833.45800,423.90100,861.61500,2.58600,924.72800,1348.62900,0.13300,-339.57100,0.46300,,484.82900,1833.45800
2020-04-30,391.31400,105.58300,28.90300,,552.11600,63.29700,23.49600,3.90300,183.84800,735.96400,345.63800,,1.55800,55.53200,401.17000,0.13000,-290.02200,0.82700,,334.79400,735.96400
2020-01-31,384.91400,94.78400,19.91700,,523.14200,52.35500,14.76600,3.49700,153.28300,676.42500,303.66300,,1.49700,53.59800,357.26100,0.12900,-270.68500,0.49100,,319.16400,676.42500
2019-10-31,377.63100,70.48200,18.71300,,488.88600,48.36100,15.40800,2.62200,147.34200,636.22800,266.31700,,3.35600,55.85900,322.17600,0.12800,-241.53100,0.43600,,314.05200,636.22800
2019-07-31,364.64600,93.34100,16.88000,,496.08600,41.04600,16.18700,2.27700,108.07600,604.16200,261.94900,,3.84000,33.65500,295.60400,0.12700,-224.45500,0.26800,,308.55800,604.16200
2019-04-30,352.73600,71.15100,12.76500,,456.04300,31.97600,,4.80300,81.49300,537.53600,221.56200,,1.47500,29.39500,250.95700,0.12600,-219.17900,0.10100,,286.57900,537.53600
2019-01-31,339.94300,75.47000,12.54000,,446.01100,25.76200,,3.79700,72.10200,518.11300,210.23200,,1.11400,30.80800,241.04000,0.12400,-206.94300,-0.05900,,277.07300,518.11300
2018-10-31,314.04000,49.22800,11.94900,,391.60400,24.13200,,2.76700,66.49000,458.09400,183.90500,,1.20400,22.01100,205.91600,0.12200,-203.38800,-0.31700,,252.17800,458.09400
2018-07-31,298.53900,61.61100,10.87800,,387.16400,19.76500,,1.07800,60.61700,447.78100,182.83200,,1.36000,24.71300,207.54500,0.11900,-196.10000,-0.12400,-2.05100,240.23600,447.78100
2018-04-30,287.44300,40.21500,9.03600,,350.44700,20.44100,,1.89500,55.09100,405.53800,147.19100,,1.38400,15.15500,162.34600,0.11900,-189.13800,,-2.03900,243.19200,405.53800
2018-01-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2017-10-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2017-07-31,,,,,,,,,,0.00000,,,,,,,,,,,
2017-04-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2016-07-31,92.84200,24.48900,,9.72000,127.05400,21.73500,0.00000,0.96000,37.08500,153.51800,77.89700,,1.53000,8.95000,86.85100,0.01000,-126.55600,,-9.91000,66.66700,153.51000
2015-07-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
