,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1007081.00000,1716428.00000,,508016.00000,23811.00000,132809.00000,664636.00000,2381064.00000,1753762.00000,253068.00000,87276.00000,340344.00000,2181947.00000,31.00000,193462.00000,-48298.00000,199117.00000,2381064.00000
2022-06-30,986239.00000,1708106.00000,,513878.00000,24123.00000,134797.00000,672798.00000,2380904.00000,1740827.00000,257425.00000,86552.00000,343977.00000,2181278.00000,31.00000,191261.00000,-45495.00000,199626.00000,2380904.00000
2022-03-31,975494.00000,1708988.00000,,514602.00000,24387.00000,146128.00000,685117.00000,2394105.00000,1756408.00000,253954.00000,94066.00000,348020.00000,2195752.00000,31.00000,187962.00000,-43585.00000,198353.00000,2394105.00000
2021-12-31,921266.00000,1626918.00000,24328.00000,512822.00000,25794.00000,101551.00000,664495.00000,2291413.00000,1698017.00000,254374.00000,74920.00000,329294.00000,2088741.00000,31.00000,184948.00000,-38765.00000,202672.00000,2291413.00000
2021-09-30,1004418.00000,1710954.00000,,500849.00000,26126.00000,123947.00000,650922.00000,2361876.00000,1765681.00000,258274.00000,75810.00000,334084.00000,2160266.00000,31.00000,183024.00000,-36851.00000,201610.00000,2361876.00000
2021-06-30,979235.00000,1697969.00000,,487063.00000,26747.00000,116089.00000,629899.00000,2327868.00000,1738266.00000,264575.00000,62701.00000,327276.00000,2124958.00000,31.00000,179686.00000,-35120.00000,202910.00000,2327868.00000
2021-03-31,1000413.00000,1705228.00000,,472959.00000,26646.00000,109433.00000,609038.00000,2314266.00000,1731347.00000,256335.00000,62404.00000,318739.00000,2110993.00000,31.00000,174816.00000,-35011.00000,203273.00000,2314266.00000
2020-12-31,979406.00000,1675139.00000,,447359.00000,26909.00000,110683.00000,584951.00000,2260090.00000,1677737.00000,271686.00000,59983.00000,331669.00000,2059890.00000,31.00000,168272.00000,-32058.00000,200200.00000,2260090.00000
2020-09-30,961262.00000,1653357.00000,,447524.00000,26428.00000,107150.00000,581102.00000,2234459.00000,1654279.00000,273254.00000,58003.00000,331257.00000,2039864.00000,31.00000,165303.00000,-33065.00000,194595.00000,2234459.00000
2020-06-30,955001.00000,1665506.00000,,433253.00000,25850.00000,108106.00000,567209.00000,2232715.00000,1638802.00000,279775.00000,61269.00000,341044.00000,2040413.00000,31.00000,163431.00000,-33345.00000,192302.00000,2232715.00000
2020-03-31,913456.00000,1682190.00000,,398883.00000,25824.00000,112873.00000,537580.00000,2219770.00000,1626181.00000,266098.00000,60141.00000,326239.00000,2026788.00000,31.00000,163438.00000,-32521.00000,192982.00000,2219770.00000
2019-12-31,721381.00000,1447938.00000,,368563.00000,26948.00000,107709.00000,503220.00000,1951158.00000,1401872.00000,248760.00000,57979.00000,306739.00000,1757212.00000,31.00000,165369.00000,-36318.00000,193946.00000,1951158.00000
2019-09-30,788392.00000,1521820.00000,,358383.00000,26666.00000,107933.00000,492982.00000,2014802.00000,1453642.00000,242238.00000,58510.00000,300748.00000,1817732.00000,31.00000,161797.00000,-36135.00000,197070.00000,2014802.00000
2019-06-30,769843.00000,1496074.00000,,349702.00000,27091.00000,115359.00000,492152.00000,1988226.00000,1405476.00000,252189.00000,62612.00000,314801.00000,1790116.00000,31.00000,158321.00000,-35203.00000,198110.00000,1988226.00000
2019-03-31,756899.00000,1471416.00000,,349281.00000,27233.00000,110483.00000,486997.00000,1958413.00000,1396441.00000,243566.00000,58735.00000,302301.00000,1761398.00000,31.00000,154859.00000,-36308.00000,197015.00000,1958413.00000
2018-12-31,714906.00000,1422237.00000,,358607.00000,27266.00000,109273.00000,495146.00000,1917383.00000,1367589.00000,231999.00000,56150.00000,288149.00000,1720309.00000,31.00000,151347.00000,-37170.00000,197074.00000,1917383.00000
2018-09-30,737729.00000,1440981.00000,,345513.00000,27403.00000,111268.00000,484184.00000,1925165.00000,1362513.00000,235270.00000,56173.00000,291443.00000,1727302.00000,31.00000,148436.00000,-38645.00000,197863.00000,1925165.00000
