,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,499.00000,1440.00000,879.00000,774.00000,3592.00000,906.00000,5273.00000,666.00000,6845.00000,10437.00000,2328.00000,8691.00000,441.00000,9175.00000,11503.00000,3.00000,-383.00000,-686.00000,,-1066.00000,10437.00000
2022-06-30,545.00000,1490.00000,950.00000,789.00000,3774.00000,952.00000,5241.00000,647.00000,6840.00000,10614.00000,2396.00000,8884.00000,448.00000,9355.00000,11751.00000,3.00000,-551.00000,-589.00000,,-1137.00000,10614.00000
2022-03-31,694.00000,1322.00000,946.00000,757.00000,3719.00000,970.00000,5268.00000,640.00000,6878.00000,10597.00000,2306.00000,9085.00000,454.00000,9541.00000,11847.00000,3.00000,-724.00000,-529.00000,,-1250.00000,10597.00000
2021-12-31,737.00000,1382.00000,915.00000,726.00000,3760.00000,973.00000,5254.00000,694.00000,6921.00000,10681.00000,2597.00000,9125.00000,463.00000,9592.00000,12189.00000,3.00000,-998.00000,-513.00000,,-1508.00000,10681.00000
2021-09-30,1008.00000,1498.00000,918.00000,905.00000,4329.00000,967.00000,5286.00000,753.00000,7006.00000,11335.00000,3129.00000,9259.00000,506.00000,9824.00000,12953.00000,3.00000,-1128.00000,-493.00000,,-1618.00000,11335.00000
2021-06-30,730.00000,1507.00000,871.00000,803.00000,3911.00000,976.00000,5314.00000,707.00000,6997.00000,10908.00000,2975.00000,9309.00000,487.00000,9867.00000,12842.00000,3.00000,-1473.00000,-464.00000,0.00000,-1934.00000,10908.00000
2021-03-31,141.00000,1010.00000,924.00000,782.00000,2977.00000,986.00000,5085.00000,535.00000,6665.00000,9642.00000,2875.00000,,1847.00000,2045.00000,4920.00000,,,-689.00000,5411.00000,4722.00000,9642.00000
2020-12-31,12.00000,1038.00000,913.00000,930.00000,3567.00000,984.00000,5106.00000,361.00000,6542.00000,10109.00000,2673.00000,,1739.00000,1950.00000,4623.00000,,,-622.00000,6108.00000,5486.00000,10109.00000
2020-09-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2020-06-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2020-03-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2019-12-31,319.00000,1474.00000,1071.00000,1091.00000,3955.00000,1356.00000,5172.00000,741.00000,7269.00000,10548.00000,1341.00000,70.00000,1963.00000,2172.00000,3513.00000,0.00000,,,7035.00000,7035.00000,10548.00000
2018-12-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
