,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,770.00000,840.00000,1194.00000,277.00000,3081.00000,2122.00000,,1240.00000,289.00000,4786.00000,7867.00000,2725.00000,5393.00000,219.00000,5612.00000,8337.00000,-7850.00000,99.00000,-470.00000,7867.00000
2022-09-30,761.00000,1098.00000,1606.00000,275.00000,3740.00000,2196.00000,,1242.00000,296.00000,4871.00000,8611.00000,3138.00000,5613.00000,211.00000,5824.00000,8962.00000,-7672.00000,73.00000,-351.00000,8611.00000
2022-06-30,615.00000,1532.00000,1565.00000,321.00000,4033.00000,2239.00000,,1246.00000,294.00000,4911.00000,8944.00000,3555.00000,5062.00000,218.00000,5280.00000,8835.00000,-7117.00000,36.00000,109.00000,8944.00000
2022-03-31,1138.00000,1344.00000,1479.00000,298.00000,4259.00000,2197.00000,,1251.00000,317.00000,4886.00000,9145.00000,2881.00000,5614.00000,229.00000,5843.00000,8724.00000,-6767.00000,37.00000,421.00000,9145.00000
2021-12-31,1535.00000,1399.00000,1287.00000,229.00000,4450.00000,2216.00000,,1256.00000,327.00000,4925.00000,9375.00000,2992.00000,5626.00000,231.00000,5857.00000,8849.00000,-6533.00000,-25.00000,526.00000,9375.00000
2021-09-30,991.00000,1301.00000,1188.00000,188.00000,3668.00000,2213.00000,,1261.00000,343.00000,4945.00000,8613.00000,2889.00000,4891.00000,232.00000,5123.00000,8012.00000,-6398.00000,-45.00000,601.00000,8613.00000
2021-06-30,1209.00000,1158.00000,1204.00000,208.00000,3779.00000,2181.00000,,1266.00000,332.00000,4896.00000,8675.00000,2921.00000,4894.00000,229.00000,5123.00000,8044.00000,-6305.00000,-41.00000,631.00000,8675.00000
2021-03-31,1212.00000,978.00000,1281.00000,221.00000,3692.00000,2215.00000,,1272.00000,307.00000,4912.00000,8604.00000,2993.00000,4897.00000,230.00000,5127.00000,8120.00000,-6417.00000,-38.00000,484.00000,8604.00000
2020-12-31,1799.00000,801.00000,1318.00000,163.00000,4081.00000,2218.00000,,1277.00000,290.00000,4905.00000,8986.00000,2621.00000,5120.00000,255.00000,5375.00000,7996.00000,-5829.00000,-36.00000,990.00000,8986.00000
2020-09-30,1664.00000,866.00000,1323.00000,141.00000,3994.00000,2167.00000,,1282.00000,294.00000,4868.00000,8862.00000,2644.00000,4138.00000,259.00000,4397.00000,7041.00000,-4947.00000,-46.00000,1821.00000,8862.00000
2020-06-30,1722.00000,1115.00000,1142.00000,135.00000,4114.00000,2129.00000,,1295.00000,272.00000,4816.00000,8930.00000,2722.00000,4156.00000,265.00000,4421.00000,7143.00000,-4904.00000,-66.00000,1787.00000,8930.00000
2020-03-31,1612.00000,1160.00000,1102.00000,141.00000,4015.00000,2093.00000,,1307.00000,302.00000,4814.00000,8829.00000,2690.00000,4091.00000,256.00000,4347.00000,7037.00000,-4866.00000,-67.00000,1792.00000,8829.00000
2019-12-31,1744.00000,1112.00000,1148.00000,148.00000,4152.00000,2049.00000,,1320.00000,292.00000,4780.00000,8932.00000,2700.00000,4135.00000,267.00000,4402.00000,7102.00000,-4804.00000,-33.00000,1830.00000,8932.00000
2019-09-30,1784.00000,1065.00000,1041.00000,141.00000,4031.00000,1991.00000,,1334.00000,254.00000,4707.00000,8738.00000,2549.00000,4140.00000,279.00000,4419.00000,6968.00000,-4800.00000,-40.00000,1770.00000,8738.00000
2019-06-30,2220.00000,989.00000,970.00000,184.00000,4363.00000,1869.00000,,1348.00000,191.00000,4522.00000,8885.00000,2232.00000,4253.00000,238.00000,4491.00000,6723.00000,-4349.00000,-34.00000,2162.00000,8885.00000
2019-03-31,1388.00000,897.00000,1001.00000,201.00000,3487.00000,1822.00000,1318.00000,1366.00000,187.00000,5109.00000,8596.00000,2146.00000,4522.00000,239.00000,4761.00000,6907.00000,-4808.00000,-21.00000,1689.00000,8596.00000
2018-12-31,1357.00000,1058.00000,1097.00000,164.00000,3676.00000,1823.00000,1300.00000,1386.00000,188.00000,5113.00000,8789.00000,2300.00000,4324.00000,231.00000,4555.00000,6855.00000,-4502.00000,-21.00000,1934.00000,8789.00000
2018-09-30,1942.00000,1202.00000,1116.00000,263.00000,4523.00000,1789.00000,1259.00000,1406.00000,185.00000,5055.00000,9578.00000,3175.00000,4322.00000,235.00000,4557.00000,7732.00000,-4569.00000,-12.00000,1846.00000,9578.00000
2018-06-30,1853.00000,1184.00000,1053.00000,220.00000,4310.00000,1792.00000,1275.00000,1425.00000,191.00000,5100.00000,9410.00000,3190.00000,4320.00000,235.00000,4555.00000,7745.00000,-4696.00000,-16.00000,1665.00000,9410.00000
2018-03-31,2926.00000,1076.00000,1002.00000,243.00000,5247.00000,1720.00000,,1442.00000,205.00000,3765.00000,9012.00000,3055.00000,4319.00000,274.00000,4593.00000,7648.00000,-4975.00000,-8.00000,1364.00000,9012.00000
2017-12-31,2556.00000,1055.00000,1014.00000,285.00000,4910.00000,1762.00000,,1460.00000,216.00000,3840.00000,8750.00000,3113.00000,4316.00000,260.00000,4576.00000,7689.00000,-5174.00000,-11.00000,1061.00000,8750.00000
2017-09-30,2285.00000,1209.00000,1014.00000,316.00000,4824.00000,1817.00000,,1492.00000,214.00000,4132.00000,8956.00000,2458.00000,5002.00000,254.00000,5256.00000,7714.00000,-4958.00000,-13.00000,1242.00000,8956.00000
2017-06-30,2539.00000,1199.00000,982.00000,321.00000,5041.00000,1875.00000,,1519.00000,224.00000,4227.00000,9268.00000,2626.00000,5021.00000,257.00000,5278.00000,7904.00000,-4771.00000,-17.00000,1364.00000,9268.00000
2017-03-31,3026.00000,1156.00000,1038.00000,240.00000,5460.00000,1911.00000,,1560.00000,203.00000,4279.00000,9739.00000,2789.00000,5073.00000,269.00000,5342.00000,8131.00000,-4487.00000,-27.00000,1608.00000,9739.00000
2016-12-31,1716.00000,1211.00000,1008.00000,205.00000,4140.00000,2012.00000,,1601.00000,194.00000,4421.00000,8561.00000,2681.00000,4093.00000,264.00000,4357.00000,7038.00000,-4493.00000,-33.00000,1523.00000,8561.00000
2016-09-30,1494.00000,1307.00000,914.00000,213.00000,3928.00000,2093.00000,,1643.00000,216.00000,4567.00000,8495.00000,2608.00000,4092.00000,271.00000,4363.00000,6971.00000,-4456.00000,-24.00000,1524.00000,8495.00000
2016-06-30,1131.00000,1318.00000,868.00000,216.00000,3533.00000,2160.00000,,1685.00000,219.00000,4680.00000,8213.00000,2249.00000,4091.00000,280.00000,4371.00000,6620.00000,-4311.00000,-25.00000,1593.00000,8213.00000
2016-03-31,1199.00000,1250.00000,928.00000,223.00000,3600.00000,2165.00000,,1730.00000,260.00000,4774.00000,8374.00000,2259.00000,4130.00000,302.00000,4432.00000,6691.00000,-4192.00000,-28.00000,1683.00000,8374.00000
2015-12-31,1264.00000,1398.00000,1046.00000,223.00000,3931.00000,2230.00000,,1773.00000,245.00000,4865.00000,8796.00000,2539.00000,4140.00000,296.00000,4436.00000,6975.00000,-3983.00000,-32.00000,1821.00000,8796.00000
2015-09-30,1921.00000,1522.00000,1098.00000,221.00000,4882.00000,2247.00000,,1203.00000,250.00000,4197.00000,9079.00000,2718.00000,4140.00000,299.00000,4439.00000,7157.00000,-3851.00000,-30.00000,1922.00000,9079.00000
2015-06-30,2485.00000,1735.00000,993.00000,233.00000,5568.00000,2278.00000,,1244.00000,259.00000,4277.00000,9845.00000,2343.00000,4155.00000,329.00000,4484.00000,6827.00000,-2686.00000,-30.00000,3018.00000,9845.00000
2015-03-31,2614.00000,1769.00000,1083.00000,244.00000,5831.00000,2182.00000,,1281.00000,243.00000,4205.00000,10036.00000,3043.00000,3457.00000,345.00000,3802.00000,6845.00000,-2472.00000,-33.00000,3191.00000,10036.00000
2014-12-31,3306.00000,1829.00000,1129.00000,245.00000,6632.00000,2155.00000,,1321.00000,208.00000,4182.00000,10814.00000,2819.00000,3932.00000,348.00000,4280.00000,7099.00000,-1881.00000,-25.00000,3715.00000,10814.00000
2014-09-30,2205.00000,1909.00000,1071.00000,273.00000,5583.00000,2156.00000,,1341.00000,186.00000,4182.00000,9765.00000,2596.00000,3809.00000,414.00000,4223.00000,6819.00000,-2619.00000,-15.00000,2946.00000,9765.00000
2014-06-30,2658.00000,1729.00000,985.00000,279.00000,5777.00000,2136.00000,,896.00000,184.00000,3715.00000,9492.00000,2398.00000,3920.00000,342.00000,4262.00000,6660.00000,-2677.00000,-2.00000,2832.00000,9492.00000
2014-03-31,2310.00000,1633.00000,846.00000,246.00000,5151.00000,2065.00000,,781.00000,195.00000,3508.00000,8659.00000,2162.00000,3514.00000,345.00000,3859.00000,6021.00000,-2831.00000,-2.00000,2638.00000,8659.00000
2013-12-31,2343.00000,1615.00000,948.00000,267.00000,5289.00000,2128.00000,,806.00000,202.00000,3601.00000,8890.00000,2457.00000,3572.00000,366.00000,3938.00000,6395.00000,-2902.00000,-7.00000,2495.00000,8890.00000
2013-09-30,2521.00000,1618.00000,871.00000,501.00000,5625.00000,2187.00000,,846.00000,230.00000,3720.00000,9345.00000,2514.00000,2772.00000,370.00000,3142.00000,5656.00000,-1668.00000,-6.00000,3689.00000,9345.00000
