,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2082.00000,23670.00000,3133.00000,10861.00000,,39746.00000,103004.00000,1083.00000,189036.00000,15633.00000,308756.00000,375090.00000,53141.00000,132912.00000,20073.00000,233166.00000,286307.00000,429.00000,78545.00000,-1700.00000,88783.00000,375090.00000
2022-06-30,1857.00000,23909.00000,3646.00000,8087.00000,,37499.00000,101310.00000,1113.00000,188648.00000,14479.00000,305550.00000,370147.00000,49224.00000,136184.00000,17506.00000,233566.00000,282790.00000,429.00000,76401.00000,-1320.00000,87357.00000,370147.00000
2022-03-31,1661.00000,23615.00000,3659.00000,6645.00000,,35580.00000,99843.00000,1074.00000,188144.00000,13581.00000,302642.00000,365716.00000,46585.00000,139961.00000,14618.00000,233956.00000,280541.00000,429.00000,73891.00000,-906.00000,85175.00000,365716.00000
2021-12-31,2921.00000,23846.00000,3055.00000,6906.00000,,36728.00000,99696.00000,1061.00000,187899.00000,13329.00000,301985.00000,366596.00000,47160.00000,143425.00000,13513.00000,236236.00000,283396.00000,429.00000,71993.00000,-927.00000,83200.00000,366596.00000
2021-09-30,9936.00000,22195.00000,2303.00000,5843.00000,,40277.00000,95756.00000,1100.00000,177676.00000,10679.00000,285211.00000,353457.00000,41358.00000,143352.00000,11754.00000,233610.00000,274968.00000,429.00000,70062.00000,-709.00000,78489.00000,353457.00000
2021-06-30,4657.00000,21257.00000,1421.00000,8291.00000,,35626.00000,94202.00000,560.00000,175861.00000,14761.00000,285384.00000,349190.00000,40078.00000,144894.00000,11499.00000,234000.00000,274078.00000,429.00000,66310.00000,-234.00000,75112.00000,349190.00000
2021-03-31,10205.00000,22507.00000,1303.00000,5632.00000,,39647.00000,94876.00000,555.00000,177643.00000,10537.00000,283611.00000,345573.00000,38730.00000,149700.00000,11695.00000,234160.00000,272890.00000,429.00000,63107.00000,640.00000,72683.00000,345573.00000
2020-12-31,22171.00000,23917.00000,1796.00000,6710.00000,,54594.00000,94833.00000,589.00000,133055.00000,10879.00000,239356.00000,316481.00000,39660.00000,123173.00000,12008.00000,207549.00000,247209.00000,429.00000,60464.00000,-71.00000,69272.00000,316481.00000
2020-09-30,8983.00000,22617.00000,1457.00000,5515.00000,,38572.00000,93182.00000,535.00000,130356.00000,11669.00000,235742.00000,296994.00000,36185.00000,109790.00000,13011.00000,194279.00000,230464.00000,429.00000,58473.00000,-812.00000,66530.00000,296994.00000
2020-06-30,7882.00000,22672.00000,1289.00000,5490.00000,,37333.00000,92754.00000,529.00000,130034.00000,10178.00000,233495.00000,293259.00000,38886.00000,106190.00000,14293.00000,190260.00000,229146.00000,429.00000,56746.00000,-1274.00000,64113.00000,293259.00000
2020-03-31,7047.00000,23797.00000,1633.00000,8228.00000,,40705.00000,92177.00000,543.00000,126224.00000,12379.00000,231323.00000,294500.00000,41057.00000,106561.00000,15786.00000,191790.00000,232847.00000,429.00000,54557.00000,-1502.00000,61653.00000,294500.00000
2019-12-31,2594.00000,25429.00000,1422.00000,8028.00000,,37473.00000,91915.00000,558.00000,128946.00000,10141.00000,231560.00000,291727.00000,44868.00000,100712.00000,12264.00000,184024.00000,228892.00000,429.00000,53147.00000,998.00000,62835.00000,291727.00000
2019-09-30,3020.00000,24713.00000,1538.00000,5624.00000,,34895.00000,88849.00000,628.00000,128267.00000,10018.00000,227762.00000,284875.00000,39209.00000,101769.00000,12543.00000,185354.00000,224563.00000,429.00000,50595.00000,1104.00000,60312.00000,284875.00000
2019-06-30,1949.00000,24926.00000,1167.00000,5266.00000,,33308.00000,87818.00000,650.00000,128439.00000,10426.00000,227333.00000,283108.00000,38214.00000,104598.00000,11830.00000,186947.00000,225161.00000,429.00000,47945.00000,1447.00000,57947.00000,283108.00000
2019-03-31,2322.00000,24469.00000,1417.00000,5189.00000,,33397.00000,87849.00000,674.00000,128480.00000,10442.00000,227445.00000,283947.00000,38607.00000,105045.00000,11632.00000,187880.00000,226487.00000,429.00000,46493.00000,2216.00000,57460.00000,283947.00000
2018-12-31,2745.00000,25102.00000,1336.00000,5453.00000,,34636.00000,89286.00000,671.00000,128519.00000,11717.00000,230193.00000,264829.00000,37930.00000,86670.00000,13922.00000,172189.00000,210119.00000,429.00000,43542.00000,2370.00000,54710.00000,264829.00000
2018-09-30,2538.00000,24012.00000,1270.00000,5334.00000,,33154.00000,87464.00000,732.00000,132937.00000,11275.00000,232408.00000,265562.00000,34167.00000,106440.00000,13496.00000,175308.00000,209475.00000,429.00000,44091.00000,3201.00000,56087.00000,265562.00000
2018-06-30,1750.00000,23099.00000,1102.00000,4925.00000,,30876.00000,87781.00000,787.00000,132916.00000,10943.00000,232427.00000,263303.00000,32329.00000,109174.00000,13201.00000,177399.00000,209728.00000,429.00000,41657.00000,3205.00000,53575.00000,263303.00000
2018-03-31,1923.00000,22595.00000,1285.00000,5222.00000,,31025.00000,87922.00000,994.00000,132812.00000,11763.00000,233491.00000,264516.00000,31615.00000,112734.00000,12719.00000,180556.00000,212171.00000,429.00000,39974.00000,3705.00000,52345.00000,264516.00000
2017-12-31,2079.00000,23493.00000,1034.00000,3307.00000,,29913.00000,88568.00000,1039.00000,127836.00000,9787.00000,227230.00000,257143.00000,33037.00000,113642.00000,12433.00000,179419.00000,212456.00000,424.00000,35635.00000,2659.00000,44687.00000,257143.00000
