,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1906.42100,855.38000,543.45400,3305.25500,16649.53000,,7551.86600,1376.13700,27005.48000,30310.74000,1838.29800,14895.94000,797.86300,16966.61000,18804.91000,0.09300,-4352.73200,-1389.44600,11505.83000,30310.74000
2022-09-30,2500.81600,778.85800,737.38100,4017.05500,15140.60000,,7286.48900,1504.53000,25308.81000,29325.87000,1695.98900,14509.32000,738.92400,16475.79000,18171.77000,0.09300,-4190.75700,-1755.91700,11154.09000,29325.87000
2022-06-30,1891.31100,812.76900,585.86700,3289.94700,15455.18000,,7567.76400,1272.09000,25748.27000,29038.21000,1608.94400,14718.58000,789.64400,16799.68000,18408.62000,0.09100,-4112.07000,-1418.75600,10629.59000,29038.21000
2022-03-31,1695.30500,780.40400,587.08700,3062.79600,15512.99000,,7193.62000,1019.56900,24960.44000,28023.23000,1607.01400,13672.58000,740.74800,15473.41000,17080.42000,0.09100,-4041.76700,-1052.91400,10942.81000,28023.23000
2021-12-31,1536.35800,681.80900,738.93400,2957.10100,15445.78000,,7307.33800,926.06600,24961.60000,27918.70000,1605.95400,13560.39000,763.41100,15430.98000,17036.93000,0.09100,-3904.64700,-1085.75100,10881.76000,27918.70000
2021-09-30,1379.10000,792.10100,728.16200,2899.36300,15307.05000,,7395.76700,846.08000,24874.77000,27774.13000,1781.13600,13547.67000,729.26400,15424.42000,17205.56000,0.09000,-3765.71800,-1041.76100,10568.57000,27774.13000
2021-06-30,1799.72700,726.38200,621.95300,3148.06200,15143.90000,,7458.63800,807.97000,24782.30000,27930.36000,1683.37100,13638.69000,770.15300,15600.52000,17283.89000,0.09000,-3655.96000,-941.11400,10646.47000,27930.36000
2021-03-31,1757.21900,684.64200,407.85600,2849.71700,14768.66000,,7479.85400,812.92300,24467.28000,27316.99000,1833.58000,12826.94000,827.22800,14906.74000,16740.31000,0.09000,-3463.02900,-1008.84800,10576.67000,27316.99000
2020-12-31,1609.40100,676.73800,323.01600,2609.15500,14503.08000,,7643.49800,776.04700,24397.69000,27006.84000,2024.75000,12090.35000,948.99900,14347.97000,16372.72000,0.08900,-3358.97200,-913.36800,10634.12000,27006.84000
2020-09-30,2659.23100,705.50900,679.28800,4044.02800,13110.55000,,7172.35200,673.44300,22392.69000,26436.71000,3796.18300,10083.02000,721.61300,12084.56000,15880.75000,0.08900,-3170.31000,-1101.80100,10555.97000,26436.71000
2020-06-30,4807.11900,691.58900,482.70900,5981.41700,12663.83000,,7091.03900,660.24600,21811.21000,27792.63000,3855.77100,11681.11000,624.12500,13548.60000,17404.37000,0.08900,-2996.42000,-1140.29100,10388.26000,27792.63000
2020-03-31,1197.17200,687.15300,435.78400,2320.10900,12177.04000,,7035.99800,642.83610,21270.59000,23590.70000,1838.47300,11212.88000,608.08200,13082.93000,14921.40000,0.08600,-2890.21000,-1206.66900,8669.29400,23590.70000
2019-12-31,1879.93900,689.13400,303.54300,2872.61600,12152.60000,,6884.24700,580.78800,21093.00000,23965.62000,2157.86300,11029.99000,621.72500,12967.37000,15125.23000,0.08600,-2777.04400,-934.61300,8840.38200,23965.62000
2019-09-30,1421.96700,746.57100,684.71900,2853.25700,11229.20000,,6776.75600,499.63210,19989.08000,22842.33000,1836.48300,10352.01000,558.91200,12244.82000,14081.30000,0.08600,-2689.88800,-1040.23600,8761.03100,22842.33000
2019-06-30,1630.74800,752.68000,605.07300,2988.50100,10992.74000,,6973.28500,463.60100,19898.01000,22886.51000,1884.40500,10367.69000,560.65000,12252.87000,14137.28000,0.08500,-2598.28900,-958.44300,8749.22900,22886.51000
2019-03-31,1647.67700,703.83500,274.25900,2625.77100,10898.21000,,7051.19100,458.09690,19865.32000,22491.09000,1685.35100,10520.37000,544.06200,12380.95000,14066.30000,0.08400,-2530.86200,-942.36500,8424.78800,22491.09000
2018-12-31,610.70600,630.11900,274.85700,1515.68200,11026.02000,,7169.68400,-935.50990,18728.96000,20244.64000,1515.07100,10880.53000,629.76300,11510.29000,13025.36000,0.08100,-2441.25200,-945.70200,7219.27900,20244.64000
2018-09-30,885.90100,662.40100,258.68500,1806.98700,10682.83000,,7235.92600,562.33200,18481.08000,20288.07000,1461.31900,11032.52000,634.06000,11666.58000,13127.90000,0.08100,-2365.50400,-922.14800,7160.17300,20288.07000
2018-06-30,984.50700,616.47200,249.84600,1850.82500,10378.92000,4.20000,7310.38700,525.96100,18219.46000,20070.29000,1433.62000,11078.69000,633.45000,11712.14000,13145.76000,0.08000,-2305.08200,-877.99400,6924.52700,20070.29000
