,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,667.62300,1904.78600,2793.76500,498.22200,30.70300,5895.09900,4661.17800,2785.70700,8225.33300,14120.43000,3070.28500,1978.56300,312.87400,3032.23300,6102.51800,0.70900,7409.76000,-1114.25800,8017.91400,14120.43000
2022-09-30,436.97100,2003.26100,2900.11600,495.22600,18.75500,5854.32900,4524.53600,2651.06800,7946.70500,13801.03000,3904.74700,1019.98400,313.74100,2071.23000,5975.97700,0.70900,7376.30400,-1268.66300,7825.05700,13801.03000
2022-06-30,488.98600,2105.80900,2826.04400,500.85800,19.03700,5940.73400,4582.07500,3392.71500,8748.75300,14689.49000,3924.37700,1052.06400,325.80300,2158.17200,6082.54900,0.70900,7910.65700,-1014.99900,8606.93800,14689.49000
2022-03-31,540.55900,2044.69800,2513.24400,447.35800,18.88000,5564.73900,4552.61200,3462.91200,8821.98000,14386.72000,3871.63300,1088.40100,347.57000,2227.48300,6099.11600,0.70900,7630.83700,-1048.59900,8287.60300,14386.72000
2021-12-31,591.89500,1839.98500,2391.67200,394.64900,20.15600,5238.35700,4636.86500,3507.88900,8986.16000,14224.52000,2946.35500,1700.28200,356.75300,2849.94600,5796.30100,0.72900,7692.06400,-966.95200,8428.21600,14224.52000
2021-09-30,1128.02700,1880.47600,2215.63000,402.77000,19.17400,5646.07700,4442.33900,3523.47200,8804.22300,14450.30000,2901.74300,1710.20700,351.22400,2796.10800,5697.85100,0.75400,7929.95000,-872.61700,8752.44900,14450.30000
2021-06-30,1416.03500,2017.62200,2081.96700,409.66900,25.26300,5950.55600,4459.38000,3531.87300,8842.23600,14792.79000,3178.88600,1723.29400,369.89900,2839.96500,6018.85100,0.76400,7867.79500,-781.50600,8773.94200,14792.79000
2021-03-31,1339.52900,1813.85800,1996.62800,382.06200,33.93500,5566.01200,4432.11000,3516.57300,8724.06100,14290.07000,3007.29100,1719.11500,331.17800,2783.75000,5791.04100,0.77000,7673.12900,-855.45500,8499.03200,14290.07000
2020-12-31,1340.36600,1709.49300,1913.02000,369.43200,31.34300,5363.65400,4591.22900,3602.43800,8964.09700,14327.75000,2371.24800,2356.88700,330.06400,3415.34500,5786.59300,0.77600,7559.19100,-695.14500,8541.15800,14327.75000
2020-09-30,1189.02200,1710.96100,1841.97300,374.87500,35.15600,5151.98700,4405.24300,3493.41900,8632.22700,13784.21000,2387.11400,2282.78100,321.30900,3230.03100,5617.14500,0.78500,7430.94500,-935.42300,8167.06900,13784.21000
