,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,10868.00000,37320.00000,1898.00000,,57517.00000,1730.00000,5018.00000,11997.00000,2455.00000,21200.00000,78717.00000,45101.00000,10417.00000,,13342.00000,58443.00000,18954.00000,-928.00000,,20274.00000,78717.00000
2022-09-30,10849.00000,35713.00000,2541.00000,,55105.00000,1773.00000,5215.00000,11908.00000,2434.00000,21330.00000,76435.00000,43228.00000,10241.00000,,12943.00000,56171.00000,18033.00000,-681.00000,,20264.00000,76435.00000
2022-06-30,9306.00000,38088.00000,2109.00000,,55252.00000,1832.00000,6270.00000,12147.00000,2309.00000,22558.00000,77810.00000,45095.00000,10198.00000,,12948.00000,58043.00000,16703.00000,-564.00000,,19767.00000,77810.00000
2022-03-31,7965.00000,37896.00000,1298.00000,,52382.00000,1861.00000,7145.00000,12555.00000,1862.00000,23423.00000,75805.00000,43967.00000,8222.00000,,11235.00000,55202.00000,17044.00000,-444.00000,,20603.00000,75805.00000
2021-12-31,9500.00000,36941.00000,1287.00000,,52574.00000,1909.00000,6797.00000,12786.00000,1737.00000,23229.00000,75803.00000,43029.00000,8049.00000,,11047.00000,54076.00000,16535.00000,-136.00000,,21727.00000,75803.00000
2021-09-30,13292.00000,35840.00000,,1285.00000,54130.00000,1900.00000,6753.00000,10358.00000,1393.00000,20404.00000,74534.00000,41695.00000,7949.00000,,10749.00000,52444.00000,15734.00000,-124.00000,,22090.00000,74534.00000
2021-06-30,12395.00000,36363.00000,1190.00000,,53231.00000,1848.00000,6968.00000,10484.00000,1285.00000,20585.00000,73816.00000,41268.00000,8945.00000,,11643.00000,52911.00000,14647.00000,-292.00000,,20905.00000,73816.00000
2021-03-31,13086.00000,36297.00000,1318.00000,,53432.00000,1806.00000,5994.00000,10055.00000,1230.00000,19085.00000,72517.00000,41340.00000,8942.00000,,11736.00000,53076.00000,13463.00000,-353.00000,,19441.00000,72517.00000
2020-12-31,13083.00000,33995.00000,1148.00000,,50995.00000,1807.00000,6089.00000,10183.00000,1305.00000,19384.00000,70379.00000,38447.00000,8939.00000,,11869.00000,50316.00000,12366.00000,-484.00000,,20063.00000,70379.00000
2020-09-30,14158.00000,31012.00000,937.00000,,48704.00000,1757.00000,3439.00000,10265.00000,1417.00000,16878.00000,65582.00000,35246.00000,8937.00000,,11809.00000,47055.00000,10809.00000,-332.00000,,18527.00000,65582.00000
