,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1194.00000,3357.00000,617.00000,975.00000,6143.00000,719.00000,1936.00000,287.00000,3676.00000,9819.00000,6843.00000,6098.00000,556.00000,7775.00000,14618.00000,162.00000,-2865.00000,-592.00000,,-4799.00000,9819.00000
2022-09-30,1041.00000,3103.00000,603.00000,1082.00000,5829.00000,692.00000,1794.00000,273.00000,3513.00000,9342.00000,5992.00000,6459.00000,550.00000,8211.00000,14203.00000,134.00000,-3042.00000,-580.00000,,-4861.00000,9342.00000
2022-06-30,1230.00000,3189.00000,596.00000,1135.00000,6150.00000,724.00000,1935.00000,286.00000,3763.00000,9913.00000,6338.00000,6602.00000,584.00000,8463.00000,14801.00000,121.00000,-3245.00000,-748.00000,,-4888.00000,9913.00000
2022-03-31,3076.00000,3262.00000,626.00000,880.00000,7844.00000,757.00000,2033.00000,308.00000,3951.00000,11795.00000,6242.00000,6694.00000,606.00000,10475.00000,16717.00000,121.00000,-3529.00000,-696.00000,,-4922.00000,11795.00000
2021-12-31,3475.00000,3232.00000,622.00000,932.00000,8261.00000,774.00000,2086.00000,297.00000,4018.00000,12279.00000,6247.00000,7249.00000,606.00000,9176.00000,15423.00000,119.00000,-2256.00000,-763.00000,,-3144.00000,12279.00000
2021-09-30,1553.00000,3217.00000,628.00000,977.00000,6375.00000,775.00000,2136.00000,281.00000,4097.00000,10472.00000,6363.00000,5458.00000,611.00000,7404.00000,13767.00000,102.00000,-2404.00000,-827.00000,,-3295.00000,10472.00000
2021-06-30,1923.00000,3194.00000,673.00000,891.00000,6681.00000,781.00000,2200.00000,290.00000,4176.00000,10857.00000,6716.00000,5457.00000,624.00000,7458.00000,14174.00000,86.00000,-2633.00000,-803.00000,,-3317.00000,10857.00000
2021-03-31,1725.00000,3124.00000,686.00000,811.00000,6346.00000,765.00000,2175.00000,330.00000,4159.00000,10505.00000,6395.00000,5457.00000,638.00000,7461.00000,13856.00000,68.00000,-2855.00000,-823.00000,,-3351.00000,10505.00000
2020-12-31,1799.00000,3148.00000,659.00000,887.00000,6493.00000,774.00000,2257.00000,310.00000,4217.00000,10710.00000,6673.00000,5262.00000,634.00000,7432.00000,14105.00000,59.00000,-3106.00000,-815.00000,,-3395.00000,10710.00000
2020-09-30,1733.00000,2958.00000,667.00000,913.00000,6271.00000,721.00000,2189.00000,288.00000,4202.00000,10473.00000,6291.00000,5512.00000,629.00000,7663.00000,13954.00000,4.00000,-3241.00000,-819.00000,,-3481.00000,10473.00000
2020-06-30,1912.00000,2865.00000,629.00000,986.00000,6392.00000,704.00000,2097.00000,291.00000,4049.00000,10441.00000,5762.00000,6260.00000,590.00000,8351.00000,14113.00000,4.00000,-3418.00000,-843.00000,,-3672.00000,10441.00000
2020-03-31,1207.00000,2888.00000,599.00000,820.00000,5514.00000,688.00000,2070.00000,289.00000,4010.00000,9524.00000,5355.00000,6258.00000,303.00000,8453.00000,13808.00000,,,-862.00000,-3959.00000,-4284.00000,9524.00000
2019-12-31,1446.00000,2861.00000,571.00000,780.00000,5658.00000,721.00000,2137.00000,263.00000,4029.00000,9687.00000,5374.00000,5.00000,311.00000,2082.00000,7456.00000,,,-758.00000,2458.00000,2231.00000,9687.00000
2019-09-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2019-06-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2019-03-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2018-12-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
