,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-09-30,14490.00000,19974.00000,7304.00000,5315.00000,47083.00000,178096.00000,26683.00000,4621.00000,201.00000,218348.00000,265431.00000,37088.00000,20044.00000,71036.00000,108124.00000,1832.00000,183519.00000,-3438.00000,157307.00000,265431.00000
2014-06-30,14235.00000,21578.00000,7215.00000,5892.00000,48920.00000,174054.00000,25923.00000,4621.00000,,213125.00000,262045.00000,36328.00000,20050.00000,70970.00000,107298.00000,1832.00000,179939.00000,-3497.00000,154747.00000,262045.00000
2014-03-31,16183.00000,20285.00000,7472.00000,5809.00000,49749.00000,169227.00000,25986.00000,4639.00000,644.00000,208489.00000,258238.00000,35652.00000,20046.00000,70776.00000,106428.00000,1832.00000,176294.00000,-3534.00000,151810.00000,258238.00000
2013-12-31,16516.00000,21622.00000,6380.00000,5732.00000,50250.00000,164829.00000,25502.00000,4639.00000,580.00000,203503.00000,253753.00000,33018.00000,20057.00000,70308.00000,103326.00000,1832.00000,173677.00000,-3579.00000,150427.00000,253753.00000
2013-09-30,18580.00000,21641.00000,6893.00000,6389.00000,53503.00000,156932.00000,25010.00000,4640.00000,,194335.00000,247838.00000,33470.00000,18054.00000,68295.00000,101765.00000,1832.00000,170651.00000,-5997.00000,146073.00000,247838.00000
2013-06-30,22296.00000,20273.00000,7423.00000,6112.00000,56104.00000,150592.00000,25133.00000,4640.00000,,187944.00000,244048.00000,33413.00000,18051.00000,66471.00000,99884.00000,1832.00000,167615.00000,-6078.00000,144164.00000,244048.00000
2013-03-31,19048.00000,21969.00000,6664.00000,7015.00000,54696.00000,145973.00000,24504.00000,4640.00000,,182714.00000,237410.00000,34685.00000,12053.00000,61239.00000,95924.00000,1832.00000,164173.00000,-6269.00000,141486.00000,237410.00000
2012-12-31,21913.00000,20997.00000,6144.00000,6666.00000,55720.00000,141348.00000,23718.00000,4640.00000,,177262.00000,232982.00000,34212.00000,12065.00000,60938.00000,95150.00000,1832.00000,159730.00000,-6369.00000,137832.00000,232982.00000
2012-09-30,21582.00000,21464.00000,7995.00000,7424.00000,58465.00000,132752.00000,23505.00000,4640.00000,,168399.00000,226864.00000,35669.00000,10164.00000,56973.00000,92642.00000,1832.00000,154229.00000,-5558.00000,134222.00000,226864.00000
2012-06-30,21463.00000,20711.00000,7186.00000,6648.00000,56008.00000,129047.00000,23073.00000,4641.00000,,163371.00000,219379.00000,32656.00000,9872.00000,55434.00000,88090.00000,1832.00000,150728.00000,-5732.00000,131289.00000,219379.00000
2012-03-31,19768.00000,22005.00000,7347.00000,6102.00000,55222.00000,124798.00000,23226.00000,4641.00000,,159668.00000,214890.00000,34257.00000,8879.00000,54307.00000,88564.00000,1832.00000,145278.00000,-5875.00000,126326.00000,214890.00000
2011-12-31,20071.00000,21793.00000,5543.00000,5827.00000,53234.00000,122608.00000,22868.00000,4642.00000,,156240.00000,209474.00000,33600.00000,9812.00000,53693.00000,87293.00000,1832.00000,140399.00000,-6022.00000,122181.00000,209474.00000
2011-09-30,20335.00000,20878.00000,6072.00000,5740.00000,53025.00000,118377.00000,22410.00000,4654.00000,482.00000,151074.00000,204099.00000,32338.00000,9498.00000,50085.00000,82423.00000,1832.00000,136873.00000,-4066.00000,121676.00000,204099.00000
2011-06-30,17964.00000,23613.00000,7286.00000,5143.00000,54006.00000,114754.00000,21724.00000,4654.00000,1356.00000,147711.00000,201717.00000,35220.00000,9618.00000,50067.00000,85287.00000,1832.00000,130592.00000,-4117.00000,116430.00000,201717.00000
2011-03-31,16874.00000,22078.00000,6232.00000,5667.00000,50851.00000,111075.00000,22003.00000,4655.00000,878.00000,143885.00000,194736.00000,33313.00000,9758.00000,50573.00000,83886.00000,1832.00000,124417.00000,-4253.00000,110850.00000,194736.00000
2010-12-31,17070.00000,20759.00000,5493.00000,5519.00000,48841.00000,104504.00000,21520.00000,4617.00000,,135928.00000,184769.00000,29012.00000,11289.00000,49946.00000,78958.00000,1832.00000,119641.00000,-4466.00000,105811.00000,184769.00000
2010-09-30,14534.00000,17994.00000,6137.00000,5818.00000,44483.00000,101732.00000,21764.00000,4618.00000,,132716.00000,177199.00000,26850.00000,10449.00000,47384.00000,74234.00000,1832.00000,115784.00000,-3940.00000,102965.00000,177199.00000
2010-06-30,13215.00000,17893.00000,5911.00000,5375.00000,42394.00000,98539.00000,21682.00000,4618.00000,,129352.00000,171746.00000,26013.00000,10098.00000,45442.00000,71455.00000,1832.00000,113456.00000,-4126.00000,100291.00000,171746.00000
2010-03-31,11155.00000,17921.00000,6078.00000,5672.00000,40826.00000,97347.00000,21290.00000,4618.00000,,128106.00000,168932.00000,27566.00000,10083.00000,45314.00000,72880.00000,1832.00000,109484.00000,-4219.00000,96052.00000,168932.00000
2009-12-31,8822.00000,17703.00000,5529.00000,5162.00000,37216.00000,96468.00000,21158.00000,4618.00000,,127405.00000,164621.00000,26211.00000,10130.00000,45849.00000,72060.00000,1832.00000,106289.00000,-4321.00000,92561.00000,164621.00000
2009-09-30,7689.00000,17070.00000,6323.00000,4459.00000,35541.00000,94257.00000,21564.00000,4619.00000,316.00000,127020.00000,162561.00000,25393.00000,10302.00000,45946.00000,71339.00000,1832.00000,104575.00000,-3676.00000,91222.00000,162561.00000
2009-06-30,7344.00000,16617.00000,6484.00000,4271.00000,34716.00000,93673.00000,21548.00000,4619.00000,100.00000,126485.00000,161201.00000,25364.00000,11192.00000,47357.00000,72721.00000,1832.00000,102097.00000,-3795.00000,88480.00000,161201.00000
2009-03-31,9304.00000,14416.00000,6428.00000,3926.00000,34074.00000,92548.00000,21442.00000,4619.00000,92.00000,125352.00000,159426.00000,24893.00000,11176.00000,46717.00000,71610.00000,1832.00000,101647.00000,-3902.00000,87816.00000,159426.00000
