,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2017-05-31,227.14100,276.11000,3861.05200,142.94600,4507.24900,3904.15200,391.88700,186.74600,4521.01500,9028.26400,4793.54000,5152.84300,497.55600,5948.93800,10742.48000,0.28700,-2076.28700,-310.48200,-1714.21400,9028.26400
2017-02-28,210.64900,246.88200,3902.12100,133.11500,4492.76700,3803.80300,391.88700,178.36400,4409.86300,8902.63000,4784.27200,5151.86200,502.96200,5945.79800,10730.07000,0.28600,-2407.98600,-346.31700,-1827.44000,8902.63000
2016-11-30,195.53800,270.76800,3773.24200,129.13800,4368.68600,3750.51100,391.88700,195.87900,4373.85800,8742.54400,4850.21900,4997.44600,496.86300,5787.55000,10637.77000,0.30400,-1324.06200,-346.20300,-1895.22500,8742.54400
2016-08-31,189.73400,287.68000,3631.91600,130.24300,4239.57300,3733.25400,391.88700,198.21800,4360.21400,8599.78700,4690.32000,4924.11900,488.38600,5697.00500,10387.33000,0.30300,-1602.18600,-307.52900,-1787.53800,8599.78700
2016-05-31,213.38000,294.52900,3597.25100,120.32600,4225.48600,3619.30500,391.88700,196.49100,4238.61900,8464.10500,4647.58900,4953.69700,480.80500,5679.79800,10327.39000,0.30200,-2028.95300,-269.97700,-1863.28200,8464.10500
2016-02-29,207.95800,295.79200,3590.68700,115.37600,4209.81300,3544.88200,391.88700,196.25700,4156.60100,8366.41400,4994.66100,4387.81100,476.60200,5113.06600,10107.73000,0.30100,-2356.46800,-307.84900,-1741.31300,8366.41400
2015-11-30,165.48600,248.12000,3515.70300,120.76300,4053.87100,3537.05500,391.88700,193.24000,4163.65700,8217.52800,4775.24100,4754.10100,466.30700,5220.40800,9995.64900,0.32200,-1160.62600,-240.39500,-1778.12100,8217.52800
2015-08-31,175.30900,247.87200,3421.63500,121.84700,3970.29400,3505.63200,391.88700,191.92100,4132.05500,8102.34900,4712.87300,4624.87600,465.99000,5090.86600,9803.73900,0.32100,-1418.73800,-249.51800,-1701.39000,8102.34900
2015-05-31,153.28800,212.06800,3468.24900,110.07500,3950.49000,3426.38800,384.61300,222.50200,4081.95000,8032.44000,4693.10200,4533.32900,449.25400,4982.58300,9675.68500,0.32100,-1819.87500,-197.18200,-1643.24500,8032.44000
2015-02-28,151.53900,196.65000,3456.81200,102.06400,3913.86300,3376.48000,384.01300,225.59300,4036.10200,7949.96500,4623.32300,4361.14400,434.17700,4795.32100,9418.64400,0.31900,-2128.94600,-185.58600,-1468.67900,7949.96500
2014-11-30,117.19200,195.52100,3280.22800,107.54800,3707.58100,3358.06400,383.91700,221.81600,4009.52000,7717.10100,5090.96400,3862.86500,426.08200,4288.94700,9379.91100,0.34000,-1290.81200,-146.15100,-1662.81000,7717.10100
2014-08-31,124.48500,200.89900,3140.10000,110.42000,3580.61200,3310.47500,367.82900,193.11000,3916.55100,7497.16300,4541.09400,4142.19600,435.73000,4577.92600,9119.02000,0.33900,-1529.12300,-128.90300,-1621.85700,7497.16300
2014-05-31,145.34900,190.84800,3133.35000,112.04700,3587.84400,3193.28900,367.82900,205.55800,3783.95800,7371.80200,4603.95200,4163.24400,412.83600,4576.08000,9180.03200,0.33800,-1902.79300,-105.67700,-1808.23000,7371.80200
2014-02-28,139.75500,191.11500,3089.24500,112.45200,3538.49800,3135.25500,367.82900,205.65900,3724.39400,7262.89200,4399.31000,4163.24400,410.60000,4573.84400,8973.15400,0.33800,-2187.95000,-120.34600,-1710.26200,7262.89200
2013-11-30,125.85200,173.11400,2947.55600,121.84300,3370.23500,3108.77000,367.82900,170.77000,3653.18800,7023.42300,4332.82500,4013.24400,398.57400,4411.81800,8744.64300,0.36900,-1160.84800,-112.08700,-1721.22000,7023.42300
2013-08-31,142.19100,171.63800,2861.01400,101.44300,3278.01300,3071.36100,367.82900,170.81700,3614.07600,6892.08900,4169.15000,4013.26700,396.99100,4410.25800,8579.40800,0.36800,-1378.93600,-120.78800,-1687.31900,6892.08900
2013-05-31,133.68500,155.55000,2796.78200,91.07400,3178.32300,3002.82300,386.08500,168.37500,3604.71800,6783.04100,3836.04900,4001.10000,478.23400,4479.33400,8315.38300,0.36600,-1750.13500,-115.48200,-1532.34200,6783.04100
2013-02-28,115.54800,160.42000,2758.54300,87.78900,3123.36800,2944.54900,385.98500,167.70700,3538.82000,6662.18800,4231.80800,3513.27300,467.21600,3980.48900,8212.29700,0.36400,-2015.71700,-134.90800,-1550.10900,6662.18800
2012-11-30,99.86400,173.33800,2702.10300,86.00300,3062.29100,2890.26900,302.64500,106.28700,3335.74800,6398.03900,3744.49200,3802.70500,442.21100,4244.91600,7989.40800,0.40200,-829.74500,-152.46200,-1591.36900,6398.03900
2012-08-31,103.09300,161.37500,2627.98300,85.64900,2978.94600,2855.92800,302.64500,94.32400,3286.69300,6265.63900,3655.59200,3718.30200,439.77000,4158.07200,7813.66400,0.39900,-1033.19700,-152.01300,-1548.02500,6265.63900
2012-05-31,103.10000,133.94100,2629.82100,77.41000,2944.27200,2767.09800,302.64500,112.44900,3204.58200,6148.85400,3567.39300,3599.00000,399.29000,3998.29000,7565.68300,0.39600,-1356.93000,-116.65700,-1416.82900,6148.85400
2012-02-29,103.20700,144.79000,2577.70400,82.86300,2908.56400,2724.39600,302.64500,101.17400,3147.90000,6056.46400,3516.78900,3434.80000,400.39900,3835.19900,7351.98800,0.39500,-1605.51400,-106.13400,-1295.52400,6056.46400
2011-11-30,96.67600,135.69500,2531.21000,79.09200,2842.67300,2667.10500,302.64500,100.84500,3089.90700,5932.58000,3578.96600,3318.90000,381.81300,3700.71300,7279.67900,0.44200,-452.87300,-130.64400,-1347.09900,5932.58000
2011-08-31,97.60600,140.69000,2466.10700,88.02200,2792.42500,2668.87500,302.64500,94.99600,3077.17700,5869.60200,3430.89600,3317.60000,375.33800,3692.93800,7123.83400,0.44100,-643.99800,-119.69100,-1254.23200,5869.60200
2011-05-31,100.36700,136.36900,2491.98100,77.81200,2806.52900,2615.02400,302.64500,97.99400,3078.34900,5884.87800,3461.84300,3171.10000,371.47600,3542.57600,7004.41900,0.43900,-945.46700,-82.47300,-1119.54100,5884.87800
2011-02-28,107.88100,140.22700,2418.75100,71.25600,2738.11500,2554.86400,302.64500,110.34500,3027.48800,5765.60300,3225.13600,3208.30000,370.57900,3578.87900,6804.01500,0.43800,-1172.93500,-92.33800,-1038.41200,5765.60300
2010-11-30,98.01300,116.64500,2361.51200,84.39400,2660.56400,2532.20500,302.64500,95.03500,2979.92500,5640.48900,3244.88700,2845.70000,367.07000,3212.77000,6457.65700,0.50300,-73.26900,-93.30900,-817.16800,5640.48900
2010-08-31,98.28000,125.80200,2304.57900,83.16000,2611.82100,2519.94600,302.64500,90.95900,2959.77300,5571.59400,3063.96000,2882.30000,364.09900,3246.39900,6310.35900,0.50100,-245.34400,-106.46800,-738.76500,5571.59400
2010-05-31,95.76200,121.32500,2288.36400,73.49700,2578.94800,2425.04300,302.64500,99.49200,2873.82200,5452.77000,2872.07600,2698.50000,344.14400,3042.64400,5914.72000,0.49800,-514.27800,-84.01200,-461.95000,5452.77000
2010-02-28,105.16100,147.46600,2261.52800,134.55800,2648.71300,2383.14300,302.64500,39.74500,2776.27900,5424.99200,2749.32400,2774.70000,322.63900,3097.33900,5846.66300,,,,-421.67100,5424.99200
2009-11-30,79.60300,142.72100,2262.82300,132.79400,2617.94100,2368.84600,302.64500,41.23700,2767.88200,5385.82300,2804.38000,2739.50000,325.90800,3065.40800,5869.78800,,,,-483.96500,5385.82300
2009-08-31,92.70600,126.51400,2207.49700,135.01300,2561.73000,2354.35700,302.64500,40.60600,2756.67500,5318.40500,2706.75200,2726.90000,317.82700,3044.72700,5751.47900,0.57900,136.93500,-92.03500,-433.07400,5318.40500
2009-05-31,94.28700,140.75400,2240.51100,132.43200,2607.98400,2301.79400,302.64500,33.84700,2688.19200,5296.17600,3135.96000,1949.30000,256.03500,2205.33500,5341.29500,,,,-45.11900,5296.17600
2009-02-28,107.97300,125.31200,2190.19800,157.38400,2580.86700,2267.40400,302.64500,38.75200,2654.21800,5235.08500,2468.68200,2690.75500,262.95000,2953.70500,5422.38700,,,,-187.30200,5235.08500
