,cash-on-hand,receivables-total,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2264.00000,31904.00000,34168.00000,118907.00000,21490.00000,17968.00000,163943.00000,198111.00000,134492.00000,14044.00000,1626.00000,15980.00000,150472.00000,10346.00000,47022.00000,-12180.00000,,47639.00000,198111.00000
2022-06-30,7239.00000,30740.00000,37979.00000,113901.00000,20317.00000,17288.00000,157672.00000,195651.00000,127707.00000,14311.00000,1658.00000,16277.00000,143984.00000,10666.00000,48363.00000,-8275.00000,,51667.00000,195651.00000
2022-03-31,1914.00000,29421.00000,31335.00000,122461.00000,20643.00000,17631.00000,166655.00000,197990.00000,124599.00000,14585.00000,1800.00000,16693.00000,141292.00000,10666.00000,47148.00000,-3404.00000,,56698.00000,197990.00000
2021-12-31,1811.00000,28901.00000,30712.00000,126510.00000,20668.00000,16651.00000,169342.00000,200054.00000,122643.00000,15169.00000,1831.00000,17697.00000,140340.00000,10985.00000,47365.00000,350.00000,,59714.00000,200054.00000
2021-09-30,1796.00000,28577.00000,30373.00000,126205.00000,20965.00000,15979.00000,168681.00000,199054.00000,122020.00000,14823.00000,2368.00000,17716.00000,139736.00000,10985.00000,45224.00000,978.00000,,59318.00000,199054.00000
2021-06-30,1998.00000,27648.00000,29646.00000,125445.00000,21200.00000,15278.00000,167528.00000,197174.00000,118900.00000,14954.00000,2369.00000,18212.00000,137112.00000,11064.00000,43902.00000,1822.00000,,60062.00000,197174.00000
2021-03-31,1841.00000,26689.00000,28530.00000,122965.00000,21161.00000,13878.00000,163447.00000,191977.00000,115156.00000,14879.00000,2076.00000,17745.00000,132901.00000,11064.00000,41637.00000,958.00000,,59076.00000,191977.00000
2020-12-31,1836.00000,26278.00000,28114.00000,122612.00000,21211.00000,13435.00000,162660.00000,190774.00000,113341.00000,14948.00000,1844.00000,17992.00000,131333.00000,11064.00000,39337.00000,2869.00000,,59441.00000,190774.00000
2020-09-30,1873.00000,26461.00000,28334.00000,119729.00000,21103.00000,13345.00000,159452.00000,187786.00000,113569.00000,14830.00000,1851.00000,17804.00000,131373.00000,11064.00000,36919.00000,1856.00000,,56413.00000,187786.00000
2020-06-30,1709.00000,26257.00000,27966.00000,113376.00000,21093.00000,13796.00000,153508.00000,181474.00000,110222.00000,13656.00000,1832.00000,16492.00000,126714.00000,11121.00000,35991.00000,1098.00000,,54760.00000,181474.00000
