,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2621.03900,953.81200,502.37300,532.88600,4610.11000,5640.11900,272.81400,565.10900,38830.89000,47996.45000,52606.56000,6024.24800,19801.95000,28638.03000,34662.28000,5.31100,13088.85000,-3.02900,17944.28000,52606.56000
2022-09-30,920.57000,965.38700,570.54500,485.36100,2941.86300,5000.48000,272.28000,608.68900,37666.49000,46061.16000,49003.02000,5939.92200,17853.87000,26071.52000,32011.44000,5.30700,12153.33000,-1.22400,16991.59000,49003.02000
2022-06-30,2754.15900,1051.73700,585.75800,448.79000,4840.44400,4470.13800,248.50200,600.07800,37416.54000,45017.34000,49857.78000,7619.60800,17864.82000,25688.71000,33308.32000,5.30200,11741.10000,0.19900,16549.46000,49857.78000
2022-03-31,3235.25300,1089.46000,536.89300,433.71600,5295.32200,3866.05400,246.09600,635.63500,37186.09000,43906.33000,49201.65000,8047.59400,17852.18000,25173.68000,33221.27000,5.29200,11218.27000,0.05800,15980.38000,49201.65000
2021-12-31,5403.70600,942.56100,534.93700,641.97800,7523.18200,3257.78700,5485.70900,674.67900,29566.96000,40478.54000,48001.73000,6515.88600,19355.21000,25957.95000,32473.83000,5.28900,10785.62000,0.28100,15527.89000,48001.73000
2021-09-30,5247.82300,1002.05200,470.82600,557.83600,7278.53700,2733.80200,260.07200,706.55000,29382.14000,33935.70000,41214.24000,6309.34400,14138.06000,19949.04000,26258.38000,5.28700,10233.29000,1.20400,14955.85000,41214.24000
2021-06-30,4829.29000,977.28400,385.39600,412.67000,6604.64000,2376.04000,400.29700,743.21600,29205.81000,33018.94000,39623.58000,4036.62600,16163.61000,21233.26000,25269.89000,5.27800,9676.24600,0.76200,14353.69000,39623.58000
2021-03-31,4573.14700,1087.13400,375.07600,480.54900,6515.90600,2180.27300,261.02300,715.64400,29030.06000,32297.23000,38813.14000,5814.04000,14682.90000,19336.18000,25150.21000,5.27300,9005.19900,0.48400,13662.92000,38813.14000
2020-12-31,3733.04500,1104.20200,380.34900,1804.56200,7022.15800,2182.33300,258.07500,760.12600,27912.98000,31217.79000,38239.95000,6084.74600,13616.41000,18374.56000,24459.30000,5.26100,8374.97500,-0.85500,13780.64000,38239.95000
2020-09-30,2795.16700,1143.50000,516.21600,550.58800,5005.47100,2226.42300,256.63400,802.28600,27696.70000,31094.97000,36100.44000,6530.12900,11989.76000,16878.79000,23408.93000,5.25900,7642.34300,-1.58300,12691.51000,36100.44000
2020-06-30,2630.01900,531.82700,315.36900,631.35900,4108.57400,2271.42500,209.21200,,26794.41000,29388.90000,33497.47000,5780.21000,10985.85000,15557.73000,21337.93000,5.24600,7137.74400,-2.66400,12159.54000,33497.47000
2020-03-31,3387.77100,544.10600,329.38600,381.02600,4642.28900,2320.09500,223.01000,,26371.62000,29031.01000,33673.30000,4630.98700,12978.58000,17382.71000,22013.70000,5.23300,6685.40100,0.19800,11659.59000,33673.30000
2019-12-31,2860.34700,588.35800,322.89800,243.49700,4015.10000,2706.18200,221.14100,136.41500,26007.77000,29215.84000,33230.93000,4496.09100,12968.23000,17170.77000,21666.86000,5.23000,6612.30200,-0.01800,11564.07000,33230.93000
2019-09-30,1594.39200,577.79700,314.62000,244.58300,2731.39200,2758.02400,220.44100,,25909.40000,29040.05000,31771.44000,4566.65400,12960.78000,17035.76000,21602.41000,4.93000,6222.89800,-0.25200,10169.03000,31771.44000
2019-06-30,2732.38200,584.11600,331.13800,270.21900,3917.85500,1895.33800,232.33200,,25559.18000,28366.26000,32284.12000,6195.50100,12747.01000,16758.11000,22953.61000,4.69900,5869.59400,0.14900,9330.51100,32284.12000
2019-03-31,2393.04700,581.68500,309.25100,308.23400,3592.21700,1863.16700,229.71600,,25275.67000,28094.16000,31686.38000,4955.05600,13825.42000,17780.11000,22735.16000,4.68100,5552.55100,-0.05700,8951.21700,31686.38000
2018-12-31,2068.81700,639.85500,290.73300,289.80000,3289.20500,1928.18000,186.58900,,25183.04000,27297.81000,30587.01000,4776.13200,13810.78000,17216.69000,21992.83000,4.67900,5212.79000,-0.87400,8594.18900,30587.01000
2018-09-30,1865.14900,670.82600,304.94400,197.99000,3038.90900,1990.03400,176.74500,,24931.72000,27098.50000,30137.41000,4877.59700,13790.11000,17016.78000,21894.37000,4.67600,4875.71100,-0.53700,8243.03800,30137.41000
2018-06-30,1554.78800,641.88800,329.50700,217.52700,2743.71000,2047.92800,188.84200,,24669.53000,26906.30000,29650.01000,3631.51600,15109.60000,18212.37000,21843.88000,4.67500,4443.97700,0.73500,7806.12700,29650.01000
2018-03-31,2279.06300,601.67300,347.74600,237.07900,3465.56100,2106.93100,188.06700,,24394.37000,26689.37000,30154.93000,4692.33700,15152.08000,18137.33000,22829.67000,4.66800,4005.26000,1.35900,7325.26300,30154.93000
2017-12-31,1980.67300,653.94800,321.00800,329.39400,3285.02300,2183.66100,185.86700,,24119.21000,26488.74000,29773.77000,4828.00400,15134.44000,18007.86000,22835.86000,4.66400,3635.38000,0.88200,6937.90600,29773.77000
2017-09-30,1850.64900,703.63100,318.89200,249.37900,3122.55100,2378.81100,184.70300,,23834.79000,26398.30000,29520.86000,4954.35800,15119.42000,19013.26000,23967.62000,4.66300,2249.89700,6.17400,5553.23500,29520.86000
2017-06-30,2386.45300,737.02900,373.67600,215.87400,3713.03200,2447.94500,201.18300,,23555.40000,26204.53000,29917.56000,5901.60500,15107.05000,18778.03000,24679.63000,4.66100,1952.52200,5.63200,5237.92500,29917.56000
2017-03-31,6802.90300,704.24600,421.51200,1667.97000,9596.63100,2550.25900,204.97200,,17096.34000,19851.57000,29448.20000,4570.12900,16292.67000,19722.03000,24292.16000,4.65500,1912.40600,4.88400,5156.03800,29448.20000
2016-12-31,5360.11900,777.90800,422.34900,1720.01100,8280.38700,2654.27100,115.60800,,16864.03000,19633.90000,27914.29000,4592.83200,15541.74000,18710.14000,23302.97000,4.65200,1536.69100,0.78100,4611.32300,27914.29000
2016-09-30,4961.23600,815.87300,479.40400,1644.47500,7900.98800,2666.35200,406.73100,,16602.44000,19675.52000,27576.51000,4590.14100,15534.24000,18694.35000,23284.49000,4.65000,1009.36700,0.65700,4292.01700,27576.51000
2016-06-30,3487.29300,861.17600,475.19300,89.40900,4913.07100,2750.80400,406.74500,,16040.77000,19536.72000,24449.79000,3760.79300,14201.56000,17169.42000,20930.21000,4.64800,701.94100,2.39000,3519.58500,24449.79000
2016-03-31,870.60600,806.09100,455.25700,425.54700,2557.50100,2845.84000,406.74500,,16199.29000,19451.87000,22009.37000,3844.97300,12215.94000,15042.82000,18887.79000,4.64700,291.47700,19.60700,3121.57900,22009.37000
2015-12-31,1611.06900,864.02800,390.32800,677.81800,3543.24300,2924.18000,327.25000,,16092.04000,19343.47000,22886.71000,5162.94000,12221.92000,14975.98000,20138.92000,5.20300,1471.08400,61.98100,2747.78700,22886.71000
2015-09-30,1613.03200,905.14100,408.62400,10673.35000,13625.81000,3754.71400,409.74500,,5312.68700,9477.14600,23102.96000,5265.91100,407.33600,14981.53000,20247.44000,5.19300,1596.37900,72.20000,2855.51800,23102.96000
2015-06-30,1095.51000,1018.70900,466.20000,10672.20000,13278.28000,3770.46900,414.23400,,5299.70200,9484.40500,22762.69000,5309.23500,12235.12000,14786.77000,20096.01000,5.19200,1399.90000,82.16500,2666.68000,22762.69000
2015-03-31,1399.04300,928.51100,484.74700,10575.63000,13413.60000,3786.40000,414.23400,,5310.97100,9511.60500,22925.21000,5924.66300,12240.75000,14712.16000,20636.83000,5.18400,1075.47700,79.03100,2288.38100,22925.21000
2014-12-31,9236.24100,951.49300,493.75400,1870.57900,12552.07000,3773.53900,414.23400,,5305.70100,9493.47500,22045.54000,4112.52500,13746.06000,15920.88000,20033.41000,5.17800,723.99200,174.50700,2012.13400,22045.54000
2014-09-30,9272.10500,1081.66900,528.01100,395.76300,11413.79000,3802.80200,557.93200,,5348.91000,9709.64500,21123.43000,5466.74700,11789.61000,14111.79000,19578.53000,5.16900,314.06200,166.83200,1544.89700,21123.43000
2014-06-30,8903.13100,1066.83200,528.33600,459.41600,11093.67000,3746.74100,566.61600,,5361.67200,9675.02900,20768.70000,5308.19100,11795.57000,14024.57000,19332.77000,5.16700,168.54300,190.12900,1435.93100,20768.70000
2014-03-31,8961.47900,982.35910,522.89000,1986.09900,12588.78000,3703.84600,565.19900,,3692.96200,7962.00700,20550.79000,4636.62100,12570.23000,14769.48000,19406.10000,5.14600,-44.77000,184.39700,1144.68300,20550.79000
2013-12-31,9739.40400,1075.53900,512.70700,787.69300,12313.45000,4097.71100,246.13400,,3689.17400,8042.98300,20356.43000,4551.64900,12596.79000,14807.78000,19359.43000,5.14400,-220.70100,173.87200,997.00500,20356.43000
2013-09-30,10302.19000,1064.36500,580.71400,292.49700,12338.99000,4055.87100,237.11400,,3713.26700,8006.25200,20345.24000,3923.07200,13624.29000,15696.33000,19619.40000,5.13800,-508.73900,205.08100,725.83600,20345.24000
2013-06-30,9527.16200,993.68600,577.28800,963.90100,12161.89000,3990.02500,225.15300,,3688.73200,7903.91000,20065.80000,4011.90000,13633.03000,15684.21000,19696.11000,5.12100,-823.64700,214.53300,369.68800,20065.80000
2013-03-31,7095.07000,896.34300,571.38300,673.91100,9336.56100,4455.41500,216.33000,,3646.09300,8317.83800,17654.40000,3872.56000,11343.23000,13461.88000,17334.45000,5.09600,-812.59500,203.68900,319.95400,17654.40000
2012-12-31,7205.37900,971.32300,465.58400,85.11400,9059.15300,4366.62900,252.69400,,3661.97700,8320.45500,17379.61000,3924.46700,11350.40000,13383.51000,17307.98000,5.09000,-1028.19300,188.80300,71.62800,17379.61000
2012-09-30,6400.07600,821.21000,628.81700,403.79200,8335.91800,4368.48800,248.56400,,3561.28700,8178.33900,16514.26000,4142.06500,10356.80000,12222.61000,16364.67000,5.07400,-784.40900,57.80900,149.58400,16514.26000
2012-06-30,4839.18700,830.82600,647.22200,135.37600,6497.02800,4347.67200,240.48800,,3435.97500,8024.13500,14521.16000,3515.69700,9364.97200,10833.09000,14348.79000,5.06600,-625.94800,-19.06300,172.37800,14521.16000
2012-03-31,2693.21400,776.56700,670.00800,136.67400,4349.47700,4313.67800,255.22100,,3491.13600,8060.03500,12409.51000,3571.11900,7474.42600,8893.97600,12465.09000,60.46500,-851.68000,,-55.58300,12409.51000
2011-12-31,2040.85300,794.81700,707.15100,131.98800,3747.82300,3169.89100,1542.18100,,3010.33600,7722.40800,11470.23000,3220.51100,7458.13400,8668.72300,11889.23000,5.03100,-1211.99000,82.04300,-419.00300,11470.23000
2011-09-30,3364.66200,825.41700,667.49000,354.29100,5423.29200,3184.59400,1513.90100,,2913.70300,7612.19800,13035.49000,4071.90300,7461.59600,8860.25200,12932.16000,5.02300,-631.36600,44.87500,103.33500,13035.49000
2011-06-30,4592.94200,830.90600,568.65700,189.26300,6412.77500,3221.68500,1523.77600,,1669.46600,6414.92700,12827.70000,4248.61000,7470.95400,8671.69700,12920.31000,5.02100,-950.46500,177.88800,-92.60500,12827.70000
2011-03-31,3413.73700,740.83300,427.69900,180.84100,4996.75500,3255.35600,555.97500,,1472.52700,5283.85800,10280.61000,4291.67300,5478.72300,6491.41200,10783.08000,4.99500,-1285.22500,154.86100,-502.47200,10280.61000
2010-12-31,2940.37700,786.05300,487.57500,142.48900,4573.39300,3232.34800,368.95400,,1457.45800,5058.76000,9632.15300,4499.30100,5484.04100,6266.29500,10765.60000,4.99300,-1834.61900,93.35700,-1133.44300,9632.15300
2010-09-30,2659.55100,799.55900,522.83800,193.77600,4323.23400,3195.56400,313.81800,,1460.26700,4969.64900,9292.88300,3590.11000,6489.20100,7119.28400,10709.39000,4.99100,-2081.50400,61.46200,-1416.51100,9292.88300
2010-06-30,2594.47800,826.79300,464.91200,71.20800,4101.50500,3150.96200,315.53600,,1463.01600,4929.51400,9031.01900,3492.94300,6477.87600,7118.38300,10611.33000,4.99000,-2272.65200,0.80200,-1580.30700,9031.01900
2010-03-31,2447.87500,750.96300,356.14900,72.91900,3774.99700,3135.07700,313.24100,,1465.67100,4913.98900,8688.98600,3469.88600,6462.85600,7069.35400,10539.24000,4.97300,-2529.64200,23.60500,-1850.25400,8688.98600
2009-12-31,2139.33600,779.87100,295.95000,121.08700,3475.95200,3042.26200,311.71700,,1465.41200,4819.39100,8295.34300,3287.28100,6470.04600,7099.75000,10387.03000,4.97300,-2760.58900,5.61400,-2091.68800,8295.34300
2009-09-30,2633.45200,819.93300,278.11800,173.76900,4007.13900,2869.23600,310.48500,,1471.87900,4651.60000,8658.73900,3296.57300,6075.62900,6743.53800,10040.11000,4.96900,-2036.13800,-2.12300,-1381.37200,8658.73900
2009-06-30,1320.91500,846.60400,323.10400,182.93800,2784.35000,2794.36800,239.86600,,1447.17600,4481.41000,7265.76000,3024.84000,5078.79000,5760.86900,8785.70900,4.96900,-2116.70000,-57.71400,-1519.94900,7265.76000
2009-03-31,1168.87800,799.34600,414.83300,102.12800,2589.10500,2816.99800,203.24900,4.84500,1449.21400,4474.30600,7063.41100,3011.81600,5084.97700,5718.52200,8730.33800,4.95700,-2180.12000,-124.21100,-1666.92700,7063.41100
