,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3654.00000,11421.00000,17263.00000,2258.00000,34596.00000,2341.00000,,6618.00000,927.00000,9886.00000,44482.00000,33212.00000,4685.00000,13482.00000,46694.00000,2747.00000,-560.00000,-146.00000,-2212.00000,44482.00000
2022-09-30,3492.00000,11039.00000,15891.00000,2274.00000,32696.00000,2339.00000,,7367.00000,985.00000,10691.00000,43387.00000,31559.00000,4689.00000,13608.00000,45167.00000,2576.00000,-301.00000,-176.00000,-1780.00000,43387.00000
2022-06-30,4717.00000,10561.00000,15636.00000,2021.00000,32935.00000,2361.00000,,7629.00000,953.00000,10943.00000,43878.00000,30550.00000,4735.00000,14034.00000,44584.00000,2813.00000,-280.00000,-114.00000,-706.00000,43878.00000
2022-03-31,2356.00000,10250.00000,15493.00000,2785.00000,30884.00000,2298.00000,,8022.00000,907.00000,11227.00000,42111.00000,28715.00000,4751.00000,14089.00000,42804.00000,2761.00000,-281.00000,-77.00000,-693.00000,42111.00000
2021-12-31,3161.00000,9406.00000,14941.00000,4339.00000,31847.00000,2321.00000,,8599.00000,913.00000,11833.00000,43680.00000,27729.00000,5342.00000,14949.00000,42678.00000,2721.00000,1245.00000,-85.00000,1002.00000,43680.00000
2021-09-30,2463.00000,9305.00000,14720.00000,3243.00000,29731.00000,2336.00000,,10005.00000,921.00000,13262.00000,42993.00000,26499.00000,5353.00000,15098.00000,41597.00000,2666.00000,1335.00000,-61.00000,1396.00000,42993.00000
2021-06-30,3407.00000,9103.00000,14594.00000,2843.00000,31048.00000,2360.00000,,10094.00000,951.00000,13405.00000,44453.00000,27624.00000,5365.00000,15035.00000,42659.00000,2806.00000,1205.00000,-34.00000,1794.00000,44453.00000
2021-03-31,3499.00000,8727.00000,14329.00000,2715.00000,30362.00000,2315.00000,,10179.00000,1018.00000,13512.00000,43874.00000,25323.00000,6715.00000,16757.00000,42080.00000,2807.00000,1233.00000,-48.00000,1794.00000,43874.00000
2020-12-31,3737.00000,8728.00000,14443.00000,3205.00000,30113.00000,2386.00000,,11102.00000,1118.00000,14606.00000,44719.00000,25750.00000,6720.00000,16994.00000,42744.00000,2778.00000,1255.00000,-53.00000,1975.00000,44719.00000
2020-09-30,2746.00000,8637.00000,13439.00000,2208.00000,27030.00000,2369.00000,,11186.00000,1142.00000,14697.00000,41727.00000,24016.00000,6728.00000,16286.00000,40302.00000,2760.00000,771.00000,-87.00000,1425.00000,41727.00000
2020-06-30,2771.00000,8264.00000,13198.00000,1707.00000,25940.00000,2366.00000,,11275.00000,1185.00000,14826.00000,40766.00000,23615.00000,6765.00000,15359.00000,38974.00000,2789.00000,1170.00000,-104.00000,1792.00000,40766.00000
2020-03-31,2329.00000,9019.00000,12808.00000,1692.00000,25848.00000,2299.00000,,11378.00000,1623.00000,15300.00000,41148.00000,24671.00000,6754.00000,15271.00000,39942.00000,2774.00000,656.00000,-141.00000,1206.00000,41148.00000
2019-12-31,1659.00000,8280.00000,13799.00000,1998.00000,25736.00000,2301.00000,,11523.00000,1482.00000,15306.00000,41042.00000,24890.00000,6742.00000,15150.00000,40040.00000,2752.00000,449.00000,-103.00000,1002.00000,41042.00000
2019-09-30,1212.00000,8190.00000,12458.00000,1855.00000,23715.00000,2324.00000,,11658.00000,1482.00000,15464.00000,39179.00000,22549.00000,7360.00000,15727.00000,38276.00000,2669.00000,371.00000,-101.00000,903.00000,39179.00000
2019-06-30,2531.00000,8448.00000,12822.00000,1946.00000,25747.00000,2356.00000,,11808.00000,1052.00000,15216.00000,40963.00000,24109.00000,7579.00000,10524.00000,34633.00000,2763.00000,5434.00000,-79.00000,6330.00000,40963.00000
2019-03-31,3438.00000,7879.00000,12622.00000,1643.00000,25582.00000,2322.00000,,11860.00000,1045.00000,15227.00000,40809.00000,23919.00000,7629.00000,10658.00000,34577.00000,2748.00000,5386.00000,-111.00000,6232.00000,40809.00000
2018-12-31,2182.00000,7932.00000,13037.00000,1940.00000,25091.00000,2376.00000,,11973.00000,1022.00000,15371.00000,40462.00000,23824.00000,7599.00000,10595.00000,34419.00000,2728.00000,5233.00000,-123.00000,6043.00000,40462.00000
2018-09-30,2045.00000,8082.00000,12481.00000,1837.00000,24445.00000,2436.00000,394.00000,12093.00000,643.00000,15566.00000,40011.00000,23057.00000,7999.00000,11041.00000,34098.00000,2590.00000,5097.00000,-96.00000,5913.00000,40011.00000
