,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,9728.00000,6428.00000,1794.00000,3452.00000,28999.00000,5150.00000,1614.00000,65185.00000,96851.00000,125850.00000,30466.00000,44942.00000,13413.00000,75236.00000,105703.00000,58117.00000,148611.00000,-17138.00000,20147.00000,125850.00000
2022-06-30,7778.00000,6776.00000,1684.00000,3414.00000,27896.00000,5275.00000,1689.00000,66610.00000,99606.00000,127503.00000,31844.00000,44328.00000,13486.00000,76183.00000,108026.00000,57802.00000,153298.00000,-22169.00000,19476.00000,127503.00000
2022-03-31,10770.00000,6966.00000,1776.00000,3548.00000,31330.00000,5559.00000,1771.00000,68418.00000,101944.00000,133275.00000,34056.00000,46545.00000,13844.00000,80107.00000,114162.00000,57603.00000,153401.00000,-22532.00000,19112.00000,133275.00000
2021-12-31,7557.00000,7756.00000,1649.00000,3466.00000,29539.00000,5694.00000,1823.00000,68154.00000,102462.00000,132001.00000,33619.00000,44917.00000,13996.00000,79387.00000,113005.00000,57319.00000,154209.00000,-23234.00000,18996.00000,132001.00000
2021-09-30,8407.00000,7508.00000,1891.00000,2954.00000,29967.00000,9138.00000,1996.00000,74403.00000,114248.00000,144214.00000,35832.00000,46926.00000,15179.00000,86026.00000,121858.00000,57189.00000,161747.00000,-27302.00000,22357.00000,144214.00000
2021-06-30,8165.00000,7629.00000,1807.00000,2768.00000,30774.00000,9423.00000,2010.00000,75184.00000,116040.00000,146814.00000,36616.00000,48735.00000,14741.00000,88132.00000,124747.00000,56912.00000,162086.00000,-27652.00000,22067.00000,146814.00000
2021-03-31,11273.00000,7245.00000,1828.00000,2647.00000,34038.00000,9452.00000,2125.00000,73519.00000,114590.00000,148629.00000,36542.00000,51206.00000,14489.00000,90573.00000,127116.00000,56788.00000,162218.00000,-28257.00000,21513.00000,148629.00000
2020-12-31,14251.00000,6485.00000,1812.00000,2089.00000,39165.00000,6205.00000,2187.00000,67504.00000,116806.00000,155971.00000,39869.00000,54217.00000,14180.00000,95376.00000,135244.00000,56556.00000,162717.00000,-29337.00000,20727.00000,155971.00000
2020-09-30,15753.00000,7022.00000,1949.00000,2188.00000,39845.00000,9958.00000,1944.00000,72317.00000,114283.00000,154128.00000,37993.00000,55129.00000,15484.00000,94800.00000,132794.00000,56366.00000,162806.00000,-28584.00000,21334.00000,154128.00000
2020-06-30,14251.00000,7480.00000,1869.00000,2260.00000,39953.00000,9709.00000,1921.00000,72103.00000,114246.00000,154200.00000,38442.00000,55449.00000,15666.00000,95069.00000,133512.00000,56135.00000,162559.00000,-28757.00000,20688.00000,154200.00000
2020-03-31,12017.00000,8543.00000,1786.00000,2509.00000,38931.00000,9626.00000,1911.00000,72183.00000,114473.00000,153403.00000,40673.00000,52685.00000,15874.00000,92601.00000,133275.00000,56092.00000,162626.00000,-29283.00000,20128.00000,153403.00000
2019-12-31,9009.00000,9603.00000,1619.00000,2101.00000,38420.00000,10010.00000,2074.00000,73457.00000,113768.00000,152186.00000,37701.00000,54102.00000,14526.00000,93500.00000,131202.00000,55895.00000,162954.00000,-28597.00000,20985.00000,152186.00000
2019-09-30,10958.00000,8629.00000,1712.00000,2515.00000,38121.00000,10063.00000,2221.00000,73564.00000,111498.00000,149620.00000,35066.00000,57797.00000,15564.00000,96458.00000,131524.00000,55808.00000,160709.00000,-29086.00000,18096.00000,149620.00000
2019-06-30,46408.00000,9195.00000,1745.00000,2409.00000,77517.00000,10202.00000,2228.00000,38012.00000,77136.00000,154652.00000,42351.00000,58445.00000,12190.00000,94526.00000,136876.00000,55404.00000,160467.00000,-28841.00000,17776.00000,154652.00000
2019-03-31,18143.00000,7658.00000,1771.00000,2478.00000,52705.00000,10675.00000,2403.00000,39237.00000,78223.00000,130926.00000,38871.00000,39727.00000,12184.00000,75449.00000,114319.00000,55287.00000,159396.00000,-29182.00000,16607.00000,130926.00000
