,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4892.80000,1705.00000,1344.40000,1849.00000,9791.20000,3298.60000,2234.90000,7599.10000,14762.90000,24554.10000,3272.80000,6281.00000,944.20000,7892.90000,11165.70000,0.10000,16466.50000,-164.90000,13388.40000,24554.10000
2022-09-30,4911.10000,1568.80000,1375.00000,1910.90000,9765.80000,3266.40000,2472.90000,7750.10000,15088.40000,24854.20000,3926.40000,6279.20000,1198.10000,8161.00000,12087.40000,0.10000,15916.10000,-163.60000,12766.80000,24854.20000
2022-06-30,4797.90000,1567.60000,1294.20000,2081.20000,9740.90000,3355.10000,2603.70000,7824.90000,15340.50000,25081.40000,5018.00000,6277.40000,1167.80000,8200.00000,13218.00000,0.10000,14959.90000,-110.40000,11863.40000,25081.40000
2022-03-31,3751.70000,1632.00000,1215.40000,1316.80000,7915.90000,3372.80000,2769.10000,7908.80000,15698.50000,23614.40000,3946.60000,6275.70000,1287.90000,8447.10100,12393.70000,0.10000,14215.50000,-115.20000,11220.70000,23614.40000
2021-12-31,3802.50000,1549.40000,1351.50000,1153.10000,7856.50000,3416.40000,2831.50000,7982.40000,16020.80000,23877.30000,4298.20000,6274.00000,1320.50000,8619.40000,12917.60000,0.10000,13911.70000,-106.70000,10959.70000,23877.30000
2021-09-30,2955.10000,1723.00000,1347.90000,1136.30000,7162.30000,3410.70000,2986.90000,8047.30000,16644.40000,23806.70000,4211.60000,6272.30000,1318.20000,8713.40000,12925.00000,0.10000,13543.50000,-136.60000,10881.70000,23806.70000
2021-06-30,3050.80000,1688.00000,1254.80000,1190.10000,7183.70000,3442.20000,3443.20000,8148.90000,17286.70000,24470.40000,3347.20000,7269.20000,1356.40000,9908.40000,13255.60000,0.10000,13900.70000,-171.80000,11214.80000,24470.40000
2021-03-31,2537.50000,1854.30000,1171.80000,1155.90000,6719.50000,3438.30000,3244.90000,8751.20000,17135.20000,23854.70000,3165.80000,7267.20000,1411.80000,10025.70000,13191.50000,0.10000,13833.50000,-174.30000,10663.20000,23854.70000
2020-12-31,2610.10000,1913.80000,1068.60000,1294.60000,6887.10000,3411.50000,3671.10000,8846.40000,17731.80000,24618.90000,3742.20000,7426.20000,1329.60000,10190.60000,13932.80000,0.10000,13976.30000,-299.00000,10686.10000,24618.90000
2020-09-30,3579.80000,2024.90000,1027.70000,1210.70000,7843.10000,3359.90000,2844.70000,9079.30100,17091.00000,24934.10000,3804.00000,7425.00000,1428.10000,10385.60000,14189.60000,0.10000,13961.00000,-225.50000,10744.50000,24934.10000
