,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2016-12-31,847.29200,3990.04700,3031.54800,142.31900,8011.20600,4331.12900,4809.28200,284.78600,9618.86000,17630.07000,5052.28600,8313.65100,1533.39000,10101.74000,15154.03000,765.17500,9256.13700,-1582.59600,2476.03900,17630.07000
2016-09-30,759.89800,4191.46000,3025.81100,158.30100,8135.47000,4418.52400,5019.56200,252.38700,9889.34000,18024.81000,5366.55000,7843.51700,1498.68000,9637.47400,15004.02000,765.17500,9159.86600,-1434.94000,3020.78600,18024.81000
2016-06-30,3919.30000,3380.97100,2639.17400,114.45400,10053.90000,3880.44200,2329.12200,251.02100,6667.90400,16721.80000,4434.45600,7336.93000,1368.48200,8807.74000,13242.20000,765.17500,9006.13800,-1358.11800,3479.60800,16721.80000
2016-03-31,610.83800,3509.43800,2703.63500,136.12200,6960.03300,3900.47000,2273.20100,217.39000,6391.06100,13351.09000,4112.07200,4274.88400,810.64200,5269.59100,9381.66300,765.17500,8964.54200,-988.10100,3969.43100,13351.09000
2015-12-31,595.60200,3353.45300,2736.38200,93.58900,6779.02600,3936.61200,2141.01000,232.82000,6310.44200,13089.47000,3872.21400,4265.85700,852.65500,5275.82700,9148.04300,765.17500,8922.49800,-1045.17700,3941.42700,13089.47000
2015-09-30,388.25600,3531.10500,2841.36100,181.82200,7027.96000,3961.29900,2149.93100,232.36100,6343.59100,13371.55000,3970.81600,3004.61800,885.50100,4095.05000,8065.86600,765.17500,8816.24500,-1007.53900,5305.68500,13371.55000
2015-06-30,5130.04400,3353.38100,2691.82300,183.80200,11494.30000,3982.14300,2114.62600,398.20800,6494.97700,17989.28000,9399.61500,2271.82500,934.72200,3329.44200,12729.06000,765.17500,8751.98500,-923.19700,5260.22400,17989.28000
2015-03-31,5084.70400,3496.25400,2649.75200,150.31300,11521.31000,3970.26100,2087.66200,364.91500,6422.83800,17944.14000,4339.85600,7235.94100,898.06200,8291.40600,12631.26000,765.17500,8857.27700,-920.14000,5312.88300,17944.14000
2014-12-31,4907.67700,3529.99700,2791.81300,86.96100,11456.90000,4002.93200,2134.99300,334.98000,6472.90500,17929.81000,4285.95300,7208.25200,940.34900,8300.89600,12586.85000,765.17500,8858.83100,-828.65600,5342.96000,17929.81000
2014-09-30,384.89800,3646.81700,2845.64100,90.49300,7108.40300,3968.71300,2160.84900,356.06800,6485.63000,13594.03000,4536.48900,2626.61000,959.92000,3736.12800,8272.61700,765.17500,8878.69300,-743.17200,5321.41600,13594.03000
2014-06-30,413.04600,3398.71300,2602.01800,126.97000,6681.97200,3985.61800,2127.89900,345.62400,6459.14100,13141.11000,4367.63000,2357.33000,1027.87800,3506.78800,7874.41800,765.17500,8770.75100,-642.66300,5266.69500,13141.11000
2014-03-31,341.09000,3510.51800,2527.90000,138.93400,6657.86200,3956.20900,2118.11100,424.46900,6498.78900,13156.65000,3829.02200,2986.16300,895.82800,4096.25400,7925.27600,765.17500,8687.09800,-516.92200,5231.37500,13156.65000
2013-12-31,449.86300,3289.93000,2506.58100,153.38700,6539.24300,3967.17600,2107.49000,417.50300,6492.16900,13031.41000,3636.74400,2944.08300,897.49400,4090.87800,7727.62200,765.17500,8676.01200,-446.41700,5303.79000,13031.41000
2013-09-30,359.53200,3423.15200,2540.64300,74.68000,6548.52300,3979.35100,2108.61600,403.16600,6491.13300,13039.66000,3797.41700,2878.39100,893.78300,4043.09700,7840.51400,765.17500,8635.19000,-411.80100,5199.14200,13039.66000
2013-06-30,412.28500,3183.11400,2396.18800,79.62900,6221.68800,3978.07100,2089.95400,388.49500,6456.52100,12678.21000,3662.62400,2639.98600,903.30500,3823.77400,7486.40000,765.17500,8512.78600,-446.93700,5191.81000,12678.21000
2013-03-31,331.52000,3396.85000,2413.19000,101.54200,6375.58200,3938.27700,1953.21200,390.13900,6281.62800,12657.21000,3656.90400,2557.31400,1173.67100,3847.94500,7504.84900,765.17500,8394.42600,-620.72000,5152.36100,12657.21000
2012-12-31,320.80500,3168.12000,2436.10900,117.86400,6159.78500,3960.63600,1955.98800,394.89300,6311.51700,12471.30000,3487.41700,2809.29000,1178.03500,4082.31200,7569.72900,765.17500,8359.76800,-605.70900,4901.57300,12471.30000
2012-09-30,548.41500,3193.38900,2370.86400,86.39600,6333.65000,3950.66800,1851.87000,393.88000,6196.41800,12530.07000,3602.87400,2764.85300,1156.51100,4033.01300,7635.88700,765.17500,8302.85900,-613.97500,4894.18100,12530.07000
2012-06-30,688.86700,2966.62400,2178.83000,115.98400,6084.80800,3883.75000,1779.18200,389.46700,6052.39900,12137.21000,3423.57900,2763.68800,1149.73400,4028.58800,7452.16700,765.17500,8175.23000,-662.86600,4685.04000,12137.21000
2012-03-31,350.46400,3094.17500,2250.46000,85.71200,5924.94200,3846.87000,1775.82900,385.70700,6008.40600,11933.35000,3703.75200,2412.47700,693.60800,3351.58100,7055.33300,765.17500,8024.53600,-286.62300,4878.01500,11933.35000
2011-12-31,336.53100,2882.73000,2213.15300,73.56800,5648.05000,3736.13700,1733.47300,336.36700,5805.97700,11454.03000,3263.77000,2649.34600,634.98200,3502.64200,6766.41200,765.17500,7923.41300,-323.56500,4687.61500,11454.03000
2011-09-30,284.10100,3061.14500,2137.45100,77.57500,5696.23400,3615.36100,1729.86700,405.40100,5750.62900,11446.86000,3578.69000,2384.98600,616.34900,3213.91800,6792.60800,765.17500,7831.33000,-352.10700,4654.25500,11446.86000
2011-06-30,639.76500,2898.28300,2073.76600,121.06800,5732.88200,3512.38900,1743.22700,397.05700,5652.67300,11385.55000,3575.07500,2279.51700,621.49800,3105.23800,6680.30800,765.17500,7681.66900,-259.95800,4705.24200,11385.55000
2011-03-31,385.66800,2926.03300,2047.37100,79.48500,5438.55700,3419.86200,1698.24500,393.27000,5511.37700,10949.93000,3136.45000,2663.47000,812.35600,3606.27900,6742.72900,765.17500,7499.53200,-330.06000,4207.20500,10949.93000
2010-12-31,209.75500,2623.30000,1963.39700,70.43000,4866.88200,3370.55300,1681.61900,409.22900,5461.40100,10328.28000,2721.53400,2653.52900,773.49000,3612.25800,6333.79200,765.17500,7392.99600,-387.42100,3994.49100,10328.28000
2010-09-30,448.37400,2814.95800,1875.24200,76.41800,5289.41100,3277.58300,1688.66500,399.75100,5365.99900,10655.41000,3146.02100,2486.64600,758.91200,3528.39400,6674.41500,765.17500,7286.40900,-415.76500,3980.99500,10655.41000
2010-06-30,608.95400,2617.35200,1771.53900,78.41300,5076.25800,3203.82300,1656.21300,377.40700,5237.44300,10313.70000,3009.19800,2472.66200,732.80300,3476.97700,6486.17500,765.17500,7134.13900,-480.25100,3827.52600,10313.70000
2010-03-31,586.85400,2633.99500,1751.23900,93.76900,5065.85700,3176.22000,1673.54500,393.91000,5336.43200,10402.29000,2851.29400,2468.51700,541.22900,3522.95700,6374.25100,765.17500,6943.64000,-167.82700,4028.03800,10402.29000
2009-12-31,636.74500,2526.04400,1790.32700,63.67400,5016.79000,3072.72100,1669.58200,374.39900,5187.45500,10204.25000,2711.02200,2468.69000,548.38300,3562.93600,6273.96300,765.17500,6844.09500,-180.09500,3930.28700,10204.25000
2009-09-30,801.20800,2575.29300,1747.77300,69.01300,5284.54900,3014.34100,1645.79700,359.00200,5067.89000,10352.44000,3004.99300,2468.78300,548.16300,3633.08800,6638.08100,765.17500,6724.05800,-233.93200,3714.35800,10352.44000
2009-06-30,1018.65100,2468.51100,1650.66600,64.41800,5202.24600,2979.20000,1631.88400,308.11000,4945.94000,10148.19000,3081.72100,2467.48600,622.90000,3616.76300,6698.48800,765.17500,6539.89000,-277.98600,3449.70200,10148.19000
2009-03-31,899.11700,2549.76900,1710.25100,67.13100,5226.26800,2891.89300,1492.00400,287.11400,4910.78400,10137.05000,3116.09200,2463.24300,696.44000,3689.78300,6805.87500,765.17500,6366.30400,-200.41300,3331.17700,10137.05000
