,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2012-06-30,2346.14200,1503.88700,198.17200,4152.35200,837.68300,,375.74100,120.98100,1501.86700,5654.21900,1151.09500,,407.71800,410.79100,1561.88600,2.99300,4078.10900,-396.74100,4092.33300,5654.21900
2012-03-31,2491.19500,1421.25800,189.64800,4196.74200,784.97500,,383.32500,139.00900,1471.38300,5668.12500,1021.24500,,276.65300,279.63100,1300.87600,3.04400,3826.17700,-193.33100,4367.24900,5668.12500
2011-12-31,2432.26400,1318.67000,225.53000,4085.50600,758.03400,,386.38800,113.81300,1422.42700,5507.93300,1209.70500,,342.00300,345.34200,1555.04700,3.03100,3582.52600,-325.39400,3952.88600,5507.93300
2011-09-30,2291.27600,1268.07600,144.77000,3812.19700,664.60900,,391.62300,100.11600,1291.91800,5104.11500,1040.73000,,120.25800,123.86300,1164.59300,3.02100,3342.39900,-50.68100,3939.52200,5104.11500
2011-06-30,2269.41100,1227.59200,180.13800,3757.89700,614.49400,,311.98600,119.47900,1158.80500,4916.70200,887.35100,,73.94400,77.50200,964.85300,3.03600,3115.28000,76.63700,3951.84900,4916.70200
2011-03-31,2168.11500,1123.15000,176.41500,3535.80000,601.69900,,305.79900,82.26900,1102.07300,4637.87300,801.71300,,68.10100,71.97100,873.68400,3.04200,2907.23500,39.95000,3764.18900,4637.87300
2010-12-31,2226.38800,1014.26800,181.41400,3518.23400,570.44800,,309.09900,75.48500,1064.84000,4583.07400,930.72600,,62.97100,67.91700,998.64300,3.03900,2698.90800,35.59800,3584.43100,4583.07400
2010-09-30,1928.81600,1065.13600,171.56900,3234.68000,521.49700,,312.36100,72.41900,1011.59900,4246.27900,804.16900,,68.85000,74.92600,879.09500,3.03400,2492.74200,25.70900,3367.18400,4246.27900
2010-06-30,1651.99900,933.69100,160.07200,2804.92400,504.76900,,307.78600,59.38900,959.23000,3764.15400,645.59800,,71.59800,77.66900,723.26700,3.00800,2289.04300,-21.08000,3040.88700,3764.15400
2010-03-31,1433.88100,812.32500,162.22000,2469.23300,478.36300,137.44700,270.64300,67.47700,1040.51400,3509.74700,578.14700,,45.23100,45.23100,623.37800,2.99400,2116.86800,44.04300,2886.36900,3509.74700
2009-12-31,1399.33200,709.24010,125.20500,2307.56800,481.51600,151.13100,268.12900,49.27800,1030.67200,3338.24000,646.60800,,38.45500,38.45500,685.06300,2.97200,1965.36800,20.27700,2653.17700,3338.24000
2009-09-30,1182.70100,684.77000,97.41900,2016.82600,460.23700,157.03200,226.35500,43.99600,959.65590,2976.48200,508.37400,,31.89000,31.89000,540.26400,2.94600,1821.36400,6.36400,2436.21800,2976.48200
2009-06-30,983.17200,635.91600,99.22400,1763.67400,446.92600,160.78200,200.05400,42.93200,909.61300,2673.28700,389.85800,,15.10800,15.73200,405.59000,2.93100,1684.79200,7.89400,2267.69700,2673.28700
2009-03-31,808.64000,600.70700,71.83100,1525.65600,456.30100,160.48200,202.04300,35.43000,903.38890,2429.04500,340.52000,,13.97700,15.81400,356.33400,2.92000,1543.53300,-24.99600,2072.71100,2429.04500
