,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2016-12-31,85.00000,776.00000,604.00000,245.00000,1132.00000,2842.00000,32842.00000,298.00000,38313.00000,41155.00000,3247.00000,14195.00000,4733.00000,26887.00000,30134.00000,1268.00000,3982.00000,-110.00000,11021.00000,41155.00000
2016-09-30,353.38500,754.24800,614.90800,229.99600,928.32300,3076.16300,32206.70000,119.08500,37248.59000,40324.75000,3453.97200,13402.58000,4720.14200,25882.84000,29336.81000,1269.88200,3924.12500,-104.96100,10987.94000,40324.75000
2016-06-30,76.71100,689.56400,526.78500,242.04400,962.35100,2704.09900,31823.28000,89.05900,36786.06000,39490.16000,3506.38100,13104.77000,4664.77800,25280.65000,28787.03000,1269.88200,3643.65300,-106.79500,10703.13000,39490.16000
2016-03-31,101.49100,729.38600,520.05400,334.96800,866.20500,2732.61700,31433.41000,88.61000,36337.23000,39069.84000,3188.56800,13148.39000,4687.49300,25209.64000,28398.21000,1269.88200,3620.42100,-108.60800,10671.63000,39069.84000
2015-12-31,84.94000,724.60600,608.58400,318.75700,1033.33900,2770.22600,31205.85000,83.66400,36051.25000,38821.48000,4058.29700,12398.88000,4600.51700,24162.26000,28220.56000,1268.83900,3552.72800,-109.75300,10600.92000,38821.48000
2015-09-30,404.40900,741.23000,644.96300,259.80900,941.29900,3344.42200,29828.61000,236.80100,34685.27000,38029.70000,3085.02000,12690.75000,4385.74300,24399.85000,27484.87000,1268.16800,3506.86100,-103.63900,10544.83000,38029.70000
2015-06-30,135.59700,676.22300,532.70300,263.47900,1011.06000,3048.92200,29350.36000,229.47800,34219.88000,37268.81000,3537.25100,11896.13000,4387.47700,23462.49000,26999.74000,1267.39800,3243.64500,-105.18600,10269.07000,37268.81000
2015-03-31,133.04400,826.79700,505.21300,273.72600,935.20300,3057.44600,28966.91000,226.34700,33821.21000,36878.65000,3774.52800,11499.47000,4380.86500,22889.25000,26663.78000,1266.65900,3209.90400,-106.68800,10214.87000,36878.65000
2014-12-31,79.60800,826.50600,597.18300,356.60000,1258.27300,3364.38000,28756.92000,229.73200,33593.50000,36957.88000,4064.58300,11499.63000,4315.59400,22678.82000,26743.40000,1264.33300,3220.95800,-108.13900,10214.48000,36957.88000
2014-09-30,137.86800,760.21300,634.26200,270.52900,1110.67500,3196.59400,27630.36000,230.94200,32166.85000,35363.44000,3470.86900,11501.72000,3756.73700,21737.91000,25208.78000,1263.56000,3177.38700,-102.00100,10154.66000,35363.44000
2014-06-30,99.54000,742.73000,501.27000,270.71700,1226.79800,3123.82000,27070.38000,233.24100,31593.82000,34717.64000,3059.92900,11752.78000,3705.67900,21736.94000,24796.87000,1262.76400,2961.40600,-103.36600,9920.77200,34717.64000
2014-03-31,132.31300,885.09800,436.23700,295.47900,1127.56100,3129.34600,26541.48000,237.57700,31069.41000,34198.75000,3467.74800,11205.32000,3645.95800,20983.58000,24451.33000,1252.87900,2918.21500,-104.82000,9747.42400,34198.75000
2013-12-31,107.14400,744.16000,576.53800,252.25800,1196.73800,3218.04000,26122.16000,302.08300,30689.45000,33907.49000,3654.49800,10910.75000,3596.78100,20687.04000,24341.54000,1244.92900,2807.98300,-106.27500,9565.95000,33907.49000
2013-09-30,101.83400,786.87400,604.62800,236.76400,1064.66900,3120.74100,25342.58000,274.06300,30005.91000,33126.65000,2839.06100,10914.27000,3561.26700,20740.30000,23579.37000,1244.06400,2797.48600,-109.98000,9547.28600,33126.65000
2013-06-30,58.82100,719.06900,494.89000,264.25300,1122.81700,2818.20000,24813.41000,284.46300,29448.06000,32266.26000,2696.81000,10816.48000,3562.72000,20269.21000,22966.02000,1243.23900,2572.93500,-111.83500,9300.24500,32266.26000
2013-03-31,112.96000,789.20900,447.70900,246.07900,1015.52100,2704.67100,24219.23000,288.24400,28883.00000,31587.68000,2526.51700,10642.01000,3559.46400,19906.05000,22432.56000,1236.88800,2516.33200,-113.62000,9155.11300,31587.68000
2012-12-31,82.32300,718.04600,535.57400,171.31500,1085.35300,2625.13900,23809.35000,326.30500,28515.55000,31140.69000,2937.07300,10143.91000,3504.69600,19329.54000,22266.61000,1219.89900,2413.81600,-112.65300,8874.07700,31140.69000
2012-09-30,747.27300,704.58000,562.72100,174.71500,955.67800,3370.84400,23401.60000,339.24500,27686.65000,31057.50000,3160.53400,10105.95000,3495.75400,19046.80000,22207.34000,1219.03200,2406.01600,-109.60000,8850.16300,31057.50000
