,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,777.66600,2578.04500,3095.72200,462.09300,7285.00000,2839.52400,1206.19400,19056.82000,,23235.89000,30520.89000,5703.40300,12025.86000,898.70300,15483.01000,21186.41000,90.52300,16102.88000,-1479.66900,9334.47600,30520.89000
2022-09-30,521.81100,2649.16600,3130.18200,492.49100,7167.82700,2753.60700,1135.72800,18772.14000,,22787.08000,29954.91000,5498.70800,12238.90000,895.78900,15682.80000,21181.50000,90.52300,15878.57000,-1843.78000,8773.40400,29954.91000
2022-06-30,563.66100,2341.50400,2214.55300,6383.16900,12046.64000,2122.75800,788.05700,10875.90000,,13897.30000,25943.94000,5859.31800,9755.82500,521.89700,11224.71000,17084.02000,90.52300,15661.81000,-1543.19800,8859.92000,25943.94000
2022-03-31,506.27200,2357.24400,2330.24200,2708.75000,8229.69400,2174.23700,787.98600,11208.90000,,14315.63000,22545.32000,5406.66400,6229.65400,583.22800,8165.79700,13572.46000,90.52300,15704.24000,-1531.26000,8972.85900,22545.32000
2021-12-31,489.99200,2041.95300,2307.30600,2753.50100,7907.64900,2202.93200,794.81400,11343.51000,,14487.83000,22395.47000,5257.49100,6250.52500,600.45200,8369.70400,13627.20000,90.52300,15488.76000,-1545.09300,8768.28000,22395.47000
2021-09-30,518.74200,2109.64800,2264.72500,422.58800,5631.27400,2223.53400,800.21100,11435.88000,,14605.60000,20236.87000,3283.24300,6263.94100,618.08100,8447.78300,11731.03000,90.52300,15233.80000,-1605.49000,8505.84500,20236.87000
2021-06-30,772.23300,2183.59400,2090.64200,243.96600,5616.75000,2266.47600,774.23900,11579.48000,,14724.45000,20341.20000,3096.50300,6582.05300,639.35500,8831.02700,11927.53000,90.52300,14915.50000,-1566.72700,8413.67000,20341.20000
2021-03-31,529.87000,2118.43700,1898.15900,193.01900,5049.05300,2249.12200,791.22100,11626.77000,,14792.49000,19841.55000,3036.64700,6571.90800,631.70200,9396.97000,12433.62000,90.52300,14429.91000,-2156.29000,7407.92900,19841.55000
2020-12-31,608.04800,1816.73100,1870.94800,191.36200,4799.67900,2302.14200,795.07300,11796.21000,,15027.75000,19827.43000,3207.08300,6602.30900,631.82500,9498.04200,12705.13000,90.52300,14072.15000,-2130.50600,7122.30400,19827.43000
2020-09-30,775.85700,1860.32400,1795.77900,163.53300,4869.48400,2292.88000,778.59100,11715.21000,,14916.43000,19785.92000,3328.22300,7057.72300,577.32500,9913.44500,13241.67000,90.52300,13738.53000,-2388.47200,6544.24900,19785.92000
2020-06-30,756.31900,1854.39800,1964.19500,214.98600,5034.76800,2292.73500,764.56300,11668.85000,,14852.98000,19887.75000,3148.37300,7652.25600,539.08900,10497.61000,13645.98000,90.52300,13643.91000,-2558.87500,6241.77000,19887.75000
2020-03-31,790.15300,2174.42500,2011.36700,183.29400,5481.42600,2296.99000,750.74300,11711.61000,,14883.85000,20365.28000,3673.60900,8097.92200,468.23500,10384.24000,14057.85000,90.52300,13348.29000,-2195.46200,6307.42700,20365.28000
2019-12-31,1093.47500,1973.18700,2014.26000,261.10300,5661.15100,2335.94000,941.58800,11991.28000,,15382.84000,21043.99000,4091.12200,8141.22000,532.75000,10610.37000,14701.49000,90.52300,13094.25000,-1945.73200,6342.50100,21043.99000
2019-09-30,3909.49500,1983.24200,1790.04400,166.53600,8138.07900,1880.15700,892.50800,8512.36900,,11430.51000,19568.59000,4157.32800,7366.91200,501.61000,9308.47000,13465.80000,90.52300,13003.08000,-2130.59400,6102.79200,19568.59000
2019-06-30,3370.69800,2131.05400,1678.13200,182.49400,7673.08600,1768.28700,747.77300,7237.08200,,9903.60400,17576.69000,3151.77300,6520.83100,438.48900,8456.76500,11608.54000,90.52300,12777.54000,-2059.04800,5968.15200,17576.69000
2019-03-31,1168.91900,2117.10300,1755.99100,178.36600,5537.79100,1779.89200,769.39100,7294.39800,,9940.14400,15477.93000,3548.95000,4284.23500,456.29300,5912.93700,9461.88700,90.52300,12427.21000,-1728.91500,6016.04800,15477.93000
2018-12-31,1078.34100,1938.70900,1804.56400,188.86800,5334.73600,1793.80500,733.98700,7346.38000,,9972.95100,15307.69000,3508.93400,4303.33100,449.69600,5977.58700,9486.52100,90.52300,12114.45000,-1795.49700,5821.16600,15307.69000
2018-09-30,992.90900,2065.15800,1762.64000,165.21300,5298.08200,1828.03400,757.79500,7441.24500,,10126.96000,15425.04000,3308.52100,4313.22100,471.83900,6009.41500,9317.93600,90.52300,11902.30000,-1775.98300,6107.10600,15425.04000
2018-06-30,855.13200,2145.51700,1621.30400,134.88600,5085.23800,1856.23700,801.04900,7519.94000,,10234.85000,15320.09000,3197.48300,4318.55900,526.08900,6257.11100,9454.59400,90.52300,11625.97000,-1763.08600,5865.49300,15320.09000
2018-03-31,1190.73500,2146.40800,1732.75900,165.08300,5563.09600,1941.79900,814.63700,7881.01700,,10674.39000,16237.48000,3508.51700,4818.57000,569.20900,6852.68400,10361.20000,90.52300,11373.68000,-1649.03800,5876.28300,16237.48000
2017-12-31,1132.74600,1857.28200,1780.26200,202.84800,5286.35900,1937.07400,832.26900,7872.81100,,10678.82000,15965.18000,3537.70300,4798.37100,609.23500,6908.26800,10445.97000,90.52300,11095.72000,-1767.72800,5519.21000,15965.18000
2017-09-30,974.55800,1922.28800,1707.00100,134.35000,5004.61800,1962.84600,834.08500,7894.53600,,10726.66000,15731.28000,3467.12400,4788.14700,341.19500,6733.49600,10200.62000,90.52300,11127.64000,-1824.50300,5530.65900,15731.28000
2017-06-30,924.20400,1930.75100,1549.49400,120.28200,4779.71800,1937.29200,842.47500,7894.36200,,10710.19000,15489.90000,3395.86000,4861.89500,336.93100,6826.69800,10222.56000,90.52300,10930.35000,-1924.20400,5267.34600,15489.90000
2017-03-31,856.32100,1869.30300,1538.64400,118.96200,4619.15400,1945.73900,,7847.07600,848.21200,10706.18000,15325.33000,3048.44100,5255.15600,327.03300,7529.16600,10577.61000,90.52300,10725.26000,-2292.83300,4747.72600,15325.33000
2016-12-31,2205.03500,1411.07400,1241.59300,133.59200,5247.83900,1506.20100,,3662.93000,832.50700,6483.77400,11731.61000,2425.47400,2653.56000,304.58300,4775.16100,7200.63500,90.52300,10579.63000,-2411.14400,4530.97800,11731.61000
