,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,518.00000,3816.00000,3428.00000,778.00000,,8540.00000,2967.00000,19971.00000,1946.00000,25825.00000,34364.00000,6653.00000,8082.00000,1489.00000,11608.00000,18261.00000,4.00000,8070.00000,-4483.00000,16103.00000,34364.00000
2022-06-30,623.00000,3837.00000,3445.00000,781.00000,,8687.00000,3043.00000,20494.00000,2033.00000,26466.00000,35153.00000,8974.00000,6277.00000,1446.00000,9762.00000,18737.00000,4.00000,7886.00000,-3961.00000,16416.00000,35153.00000
2022-03-31,505.00000,3667.00000,3317.00000,705.00000,,8194.00000,3098.00000,20967.00000,2112.00000,27014.00000,35208.00000,8256.00000,6763.00000,1465.00000,10296.00000,18552.00000,4.00000,7707.00000,-3517.00000,16656.00000,35208.00000
2021-12-31,568.00000,3297.00000,2969.00000,677.00000,,7511.00000,3064.00000,20606.00000,2012.00000,26516.00000,34027.00000,7212.00000,6831.00000,1502.00000,10364.00000,17576.00000,4.00000,7594.00000,-3633.00000,16451.00000,34027.00000
2021-09-30,660.00000,3393.00000,2802.00000,632.00000,,7487.00000,3025.00000,20808.00000,1938.00000,26641.00000,34128.00000,5914.00000,8520.00000,1541.00000,12200.00000,18114.00000,4.00000,7345.00000,-3788.00000,16014.00000,34128.00000
2021-06-30,540.00000,3341.00000,2668.00000,636.00000,2604.00000,9789.00000,3058.00000,21075.00000,1967.00000,27015.00000,36804.00000,8906.00000,8721.00000,1460.00000,12448.00000,21354.00000,4.00000,7068.00000,-4031.00000,15450.00000,36804.00000
2021-03-31,1299.00000,3065.00000,2399.00000,605.00000,2537.00000,9905.00000,2922.00000,18479.00000,1909.00000,24175.00000,34080.00000,6581.00000,8682.00000,1398.00000,12462.00000,19043.00000,4.00000,6883.00000,-4225.00000,15037.00000,34080.00000
2020-12-31,1102.00000,2904.00000,2109.00000,576.00000,2487.00000,9178.00000,2964.00000,17078.00000,1750.00000,22646.00000,31824.00000,5881.00000,7010.00000,1439.00000,10970.00000,16851.00000,4.00000,6794.00000,-4195.00000,14973.00000,31824.00000
2020-09-30,763.00000,2876.00000,2096.00000,538.00000,2398.00000,8671.00000,2916.00000,16856.00000,1745.00000,22314.00000,30985.00000,5805.00000,6948.00000,1423.00000,10662.00000,16467.00000,4.00000,6741.00000,-4533.00000,14518.00000,30985.00000
2020-06-30,496.00000,2647.00000,2138.00000,527.00000,2405.00000,8213.00000,2904.00000,16738.00000,1718.00000,22135.00000,30348.00000,5489.00000,6906.00000,1442.00000,10624.00000,16113.00000,4.00000,6767.00000,-4809.00000,14235.00000,30348.00000
