,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2300.88000,3666.62900,618.55900,,6586.06800,272.58900,74.34900,7238.18600,314.83200,7899.95600,14486.02000,6638.16500,4745.12200,304.23700,5620.80700,12258.97000,0.12800,6985.45000,-1660.44500,,2227.05200,14486.02000
2022-06-30,2356.43300,4048.58500,418.45100,,6823.46900,260.58800,67.06700,7296.61000,262.48100,7886.74600,14710.21000,6431.89500,4767.54500,256.67200,5590.65100,12022.55000,0.12800,6736.56500,-1413.83300,,2687.66900,14710.21000
2022-03-31,2089.43800,3740.64300,346.16500,,6176.24600,254.43200,71.06200,7495.17000,224.50300,8045.16700,14221.41000,6091.92800,4416.35600,220.04900,5225.06900,11316.99000,0.12700,6474.39400,-1263.43700,,2904.41600,14221.41000
2021-12-31,2250.69500,2911.27400,326.07900,,5488.04800,236.29400,52.01600,7414.36300,213.93200,7916.60500,13404.65000,5290.35100,4460.03900,221.39200,5247.72200,10538.07000,0.12700,6256.44200,-1464.61600,,2866.58000,13404.65000
2021-09-30,2008.93700,3169.52300,345.83100,,5524.29100,220.64300,11.85700,7471.72000,225.87200,7930.09200,13454.38000,5666.27000,3789.98100,258.70200,4613.12800,10279.40000,0.12700,6031.43800,-1436.04400,,3174.98500,13454.38000
2021-06-30,2059.30300,2787.15500,407.68500,,5254.14300,216.68100,11.85700,7323.74800,220.45400,7772.74000,13026.88000,4980.41800,3732.70100,259.06100,4557.61800,9538.03600,0.12700,5797.43100,-1265.17700,,3488.84700,13026.88000
2021-03-31,1431.52200,2505.62400,348.22700,,4285.37300,200.16100,11.85700,6744.38800,185.69500,7142.10100,11427.47000,4313.97800,3081.95500,233.74000,3816.99700,8130.97500,0.12700,5601.18400,-1481.01900,,3296.49900,11427.47000
2020-12-31,1476.61900,2066.77500,412.92400,,3956.31800,202.50900,7.48000,6835.06300,193.20900,7238.26100,11194.58000,3968.31100,3097.58000,275.12300,3870.85700,7839.16800,0.12600,5416.94500,-1363.15800,,3355.41100,11194.58000
2020-09-30,1370.86000,2240.69500,359.46100,,3971.01600,189.95300,7.48000,6728.78600,196.76400,7122.98300,11094.00000,4195.80700,3158.81000,295.53000,3960.44200,8156.24900,0.12600,5207.09400,-1583.13600,,2937.75000,11094.00000
2020-06-30,1191.34600,1933.34300,339.38000,,3464.06900,185.59900,61.77300,6703.55400,211.72200,7162.64800,10626.72000,3626.96800,3202.46300,329.62100,4033.31500,7660.28300,0.12600,5018.27700,-1581.97500,,2966.43400,10626.72000
