,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,112.54600,400.61900,367.82300,220.48900,1101.47700,649.47400,,459.46700,417.72900,1645.28800,2746.76500,1235.80300,694.38700,67.58700,902.22500,2138.02800,10.71900,3599.52900,-77.79600,608.73700,2746.76500
2022-09-30,99.17600,388.07200,354.97500,216.63600,1058.85900,612.40500,,455.26000,403.44000,1581.20800,2640.06700,1189.94500,760.81400,70.95300,974.12300,2164.06800,10.70900,3427.32200,-80.89400,475.99900,2640.06700
2022-06-30,114.36200,412.89800,332.56500,183.00000,1042.82500,594.22400,,456.12200,398.55300,1564.36000,2607.18500,1166.54700,767.99500,69.77700,983.63000,2150.17700,10.70700,3246.38400,-67.70500,457.00800,2607.18500
2022-03-31,204.61800,402.23500,301.63800,181.28100,1089.77200,593.45700,,466.15600,335.56800,1502.91700,2592.68900,971.34100,773.38100,71.84800,981.55000,1952.89100,10.70000,3114.40500,-47.34800,639.79800,2592.68900
2021-12-31,144.45400,368.34800,269.03000,173.82300,955.65500,587.66700,,458.38000,330.40000,1481.54800,2437.20300,763.57900,775.20500,70.94100,983.63200,1747.21100,10.68800,2920.44000,-53.48400,689.99200,2437.20300
2021-09-30,145.20300,376.76000,258.48400,157.59000,938.03700,573.38500,,450.21600,317.14400,1447.70700,2385.74400,633.84900,778.02500,72.99300,996.43500,1630.28400,10.68100,2757.66900,-52.05700,755.46000,2385.74400
2021-06-30,232.13400,382.30800,241.39200,145.39200,1001.22600,550.25500,,450.59900,305.34600,1410.92300,2412.14900,651.80900,780.07900,85.04300,1012.11700,1663.92600,10.67500,2582.43400,-48.39100,748.22300,2412.14900
2021-03-31,351.16300,381.79200,225.55900,139.28400,1097.79800,543.96300,,296.55500,295.50400,1229.58700,2327.38500,620.66200,778.74700,83.54900,1003.28800,1623.95000,10.66800,2379.85200,-59.53600,703.43500,2327.38500
2020-12-31,383.92800,331.42900,209.87300,137.50800,1062.73800,555.16700,,295.89000,289.59500,1231.82300,2294.56100,582.76100,858.49200,85.60400,1079.00500,1661.76600,10.64600,2175.59500,-53.61500,632.79500,2294.56100
2020-09-30,175.58700,337.59300,217.59700,137.90200,868.67900,547.62400,,291.56700,254.80200,1178.72800,2047.40700,526.84100,853.31600,79.66400,1079.45100,1606.29200,10.62800,2000.80500,-61.92500,441.11500,2047.40700
2020-06-30,105.29300,320.32000,229.37700,124.62200,779.61200,550.89500,,291.04500,256.75400,1181.10100,1960.71300,540.58400,899.56200,84.20700,1146.72900,1687.31300,10.60300,1854.58600,-57.03200,273.40000,1960.71300
2020-03-31,81.39500,299.98300,211.64400,128.32900,721.35100,546.15800,,291.15900,248.96500,1164.89400,1886.24500,846.24100,697.36300,81.29300,931.94900,1778.19000,10.59100,1705.64600,-55.24600,108.05500,1886.24500
2019-12-31,90.32600,269.31200,195.01900,124.98200,679.63900,533.84500,,298.19200,240.19200,1152.83600,1832.47500,725.33700,698.91000,81.16400,929.31290,1654.65000,10.57100,1595.64800,-46.18200,177.82500,1832.47500
2019-09-30,103.99600,268.31900,204.89300,126.17400,703.38200,496.58400,,247.83300,224.70500,1048.09900,1751.48100,626.62700,696.63400,77.07800,922.13200,1548.75900,10.55900,1505.15200,-45.56500,202.72200,1751.48100
2019-06-30,110.84500,286.15400,196.87600,118.42300,712.29800,469.98200,,253.14600,207.25600,1011.93900,1724.23700,618.90900,700.55200,79.35200,933.77900,1552.68800,10.54800,1396.31500,-40.58300,171.54900,1724.23700
2019-03-31,116.61600,281.15900,189.46800,110.40300,697.64600,449.10300,,254.01600,199.60900,983.32200,1680.96800,689.61900,699.33400,82.56400,939.47900,1629.09800,10.53500,1270.60900,-40.01500,51.87000,1680.96800
2018-12-31,123.79400,248.85500,173.30300,108.22000,654.17200,437.27000,,256.31400,189.59300,883.17700,1537.34900,770.44400,601.34800,84.82600,776.13810,1546.58200,10.50900,1167.92800,-41.79100,-9.23300,1537.34900
2018-09-30,146.87700,264.56300,179.68400,113.07300,704.19700,409.98000,,258.46600,171.88700,840.33300,1544.53000,759.53700,664.96300,81.49400,786.35600,1545.89300,10.50400,1082.29200,-42.18700,-1.36300,1544.53000
2018-06-30,174.55900,265.01200,176.48700,123.77400,739.83200,394.02100,,235.01000,151.82200,780.85300,1520.68500,774.31600,603.13000,83.26700,787.21800,1561.53400,10.48500,989.03900,-42.55900,-40.84900,1520.68500
2018-03-31,159.22900,259.86500,179.03900,103.57400,701.70700,384.24600,,242.91500,140.62400,767.78500,1469.49200,728.83800,609.00500,84.57300,789.63600,1518.47400,10.46800,880.34800,-34.20600,-48.98200,1469.49200
2017-12-31,471.93000,234.59700,164.31800,101.14000,971.98500,379.09600,,243.71900,118.61600,741.43100,1713.41600,1004.56700,606.07500,95.71800,762.69100,1767.25800,10.42800,803.54500,-36.47000,-53.84200,1713.41600
2017-09-30,454.10400,228.15900,176.74900,83.71000,942.72200,367.51300,,244.77200,114.32700,726.61210,1669.33400,996.54300,604.14900,49.58300,721.18200,1717.72500,10.41200,765.28800,-34.64800,-48.39100,1669.33400
2017-06-30,422.89800,240.26200,169.69300,85.80500,918.65800,364.77900,,242.75900,110.94100,718.47890,1637.13700,1001.49300,600.89100,49.23000,721.75100,1723.24400,10.39500,694.77700,-38.38800,-86.10700,1637.13700
2017-03-31,400.34100,225.35300,172.18300,80.71100,878.58800,361.23300,,226.28700,105.98300,693.50310,1572.09100,936.07700,594.86800,42.02000,709.92600,1646.00300,10.37400,609.42000,-38.37900,-73.91200,1572.09100
2016-12-31,391.85000,204.49400,158.03400,91.20600,845.58400,357.42200,,224.38300,103.31500,685.12000,1530.70400,934.56800,593.11000,38.93700,704.34900,1638.91700,10.33400,540.40100,-43.05300,-108.21300,1530.70400
2016-09-30,391.47400,204.70100,168.46800,63.45700,828.10000,349.66400,,228.51800,94.08800,672.27000,1500.37000,760.20800,630.01100,34.59400,685.17600,1445.38400,10.31200,488.03300,-35.08100,54.98600,1500.37000
2016-06-30,370.20200,212.22900,175.68800,62.99100,821.11000,347.16100,,230.38600,90.58400,668.13100,1489.24100,822.77600,597.95800,30.32800,674.96300,1497.73900,10.28300,431.57700,-35.46500,-8.49800,1489.24100
2016-03-31,350.57000,212.07200,183.75900,62.60500,809.00600,343.01000,,235.19800,91.43300,669.64100,1478.64700,878.66800,600.02100,30.36100,673.76600,1552.43400,10.25500,364.37500,-37.51500,-73.78700,1478.64700
2015-12-31,342.58500,188.31800,188.83300,62.06900,821.63400,333.02600,,234.84300,85.49000,653.35900,1474.99300,856.76100,597.08500,28.69800,702.22700,1558.98800,10.25800,318.35600,-42.26500,-83.99500,1474.99300
2015-09-30,349.54900,190.90400,192.40500,63.77100,833.39600,320.33700,,239.04200,84.43500,643.81400,1477.21000,824.76600,599.55600,29.66000,691.24700,1516.01300,10.21300,274.00500,-37.49300,-38.80300,1477.21000
2015-06-30,344.02200,199.44400,184.50000,67.55900,833.03400,326.04100,,237.22200,81.07300,644.33600,1477.37000,775.42800,622.79600,31.33400,693.39090,1468.81900,10.23500,231.07000,-22.27500,8.55100,1477.37000
2015-03-31,321.37500,196.23100,173.37000,81.64200,808.90900,309.82700,,236.84300,75.43500,622.10500,1431.01400,803.44500,522.35000,31.02700,593.48990,1396.93500,10.22600,1721.89300,-24.04900,34.07900,1431.01400
2014-12-31,322.53600,152.38000,160.34200,86.45100,759.39800,303.58700,,249.57200,71.65400,624.81300,1384.21100,820.90600,350.00000,32.36300,445.71600,1266.62200,10.19500,1675.29900,-8.07100,117.58900,1384.21100
2014-09-30,292.73500,160.46700,156.00700,60.15400,702.62100,291.70100,,235.74700,60.56300,588.01100,1290.63200,630.26400,371.54900,31.58800,430.89700,1061.16100,10.17000,1649.33700,1.99000,229.47100,1290.63200
2014-06-30,305.04800,168.64100,145.40000,48.82900,701.70700,286.71200,,237.16900,57.60500,581.48600,1283.19300,600.35200,150.00000,30.66400,229.91100,830.26300,10.16300,1597.19600,15.03100,452.93000,1283.19300
2014-03-31,286.20300,179.91900,141.13400,43.90500,683.16600,282.22600,,237.74700,59.18500,579.15800,1262.32400,517.17300,150.09000,31.76000,232.89900,750.07200,10.15500,1539.97800,14.44500,512.25200,1262.32400
2013-12-31,279.05800,158.03800,133.42700,48.95700,652.70600,281.21400,,239.36500,57.23100,577.81000,1230.51600,478.35300,150.35900,31.21500,233.94900,712.30200,10.11900,1493.39300,13.62200,518.21400,1230.51600
2013-09-30,264.81100,151.56800,145.98700,35.55300,625.22300,274.15800,,242.37500,53.48200,570.01500,1195.23800,592.95200,0.62400,28.77500,67.39100,660.34300,10.08100,1450.13500,15.56200,534.89500,1195.23800
2013-06-30,251.01300,159.11900,140.93800,37.46000,614.90200,266.49400,,229.50600,53.16900,549.16900,1164.07100,551.67100,0.88400,25.76000,62.80900,614.48000,10.06800,1404.44800,10.49300,549.59100,1164.07100
2013-03-31,228.36400,158.98800,148.24200,33.08200,594.39500,253.74200,51.00600,233.49500,,538.24300,1132.63800,439.57700,1.14100,24.81900,61.76600,501.34300,10.06100,1350.45300,11.68700,631.29500,1132.63800
2012-12-31,223.98600,138.32400,140.94600,38.56700,569.53700,245.17700,,237.82700,51.06100,534.06500,1103.60200,406.33300,1.39400,23.89800,61.01200,467.34500,10.01600,1305.59300,15.95400,636.25700,1103.60200
2012-09-30,221.44100,141.37400,147.47400,35.05500,570.77400,231.63900,,237.97700,52.96100,522.57700,1093.35100,415.84600,1.77600,22.88800,59.97000,475.81600,9.99100,1262.23900,14.57900,617.53500,1093.35100
2012-06-30,201.81300,147.15900,143.70300,37.51400,555.30700,220.58000,,235.55600,55.87400,512.01000,1067.31700,419.15100,2.02100,21.26000,58.22500,477.37600,9.97000,1219.38600,8.85800,589.94100,1067.31700
2012-03-31,185.49100,160.98100,141.10400,33.45800,544.86600,216.92700,,243.53100,55.78100,516.23900,1061.10500,437.28400,2.26300,20.02100,56.94000,494.22400,9.95700,1168.06900,19.48100,566.88100,1061.10500
2011-12-31,183.89500,141.27500,133.09900,40.32100,524.22700,216.77700,,241.81900,47.99100,506.58700,1030.81400,436.87900,2.50100,17.73000,54.34200,491.22100,9.92300,1127.32600,15.44300,539.59300,1030.81400
2011-09-30,181.49900,134.92300,137.14300,29.93400,510.75200,213.86800,,200.62500,43.95400,458.44700,969.19900,336.36900,2.73500,15.27900,46.86200,383.23100,9.91000,1089.31600,18.70900,585.96800,969.19900
2011-06-30,159.39800,149.31400,133.93400,24.03400,493.57100,210.16300,,207.23500,39.60600,457.00400,950.57500,298.13700,2.96600,12.95400,43.62700,341.76400,9.88400,1050.80900,26.46800,608.81100,950.57500
2011-03-31,153.45900,137.55100,127.05400,21.38700,465.44100,202.74800,,207.21300,34.07600,444.03700,909.47800,272.57000,3.19400,12.28400,40.00000,312.57000,9.85600,1002.15200,19.58700,596.90800,909.47800
2010-12-31,156.91500,120.08000,127.88500,29.50800,460.59100,201.72500,,204.86400,29.96400,436.55300,897.14400,285.11200,3.41800,11.04500,37.75100,322.86300,9.79700,965.54000,13.46700,574.28100,897.14400
