,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2742.10000,8324.80000,3831.10000,2741.90000,17639.90000,9311.30000,2574.60000,11015.70000,4535.70000,29821.60000,47461.50000,15652.80000,14143.80000,5494.60000,21642.80000,37295.60000,594.10000,10006.50000,-4295.80000,-3013.20000,10165.90000,47461.50000
2022-06-30,2736.70000,7672.40000,3899.40000,2806.70000,17115.20000,9128.20000,2587.20000,11389.50000,4471.60000,29948.40000,47063.60000,15620.60000,14692.00000,5340.70000,22783.80000,38404.40000,594.10000,8556.00000,-4287.70000,-3013.20000,8659.20000,47063.60000
2022-03-31,2568.30000,7805.70000,3893.00000,2697.70000,16964.70000,9102.70000,2727.30000,11374.40000,4285.30000,29954.60000,46919.30000,13386.00000,15152.90000,5692.00000,24071.30000,37457.30000,594.10000,9369.40000,-4225.30000,-3013.20000,9462.00000,46919.30000
2021-12-31,3908.60000,8127.20000,3886.00000,2530.60000,18452.40000,8985.10000,3212.60000,11583.90000,4082.70000,30353.60000,48806.00000,15052.70000,15346.40000,5564.30000,24598.50000,39651.20000,596.30000,8958.50000,-4343.10000,-3013.20000,9154.80000,48806.00000
2021-09-30,3825.30000,7025.00000,3907.40000,3050.60000,17808.30000,8920.40000,3350.50000,11771.80000,3710.40000,30378.70000,48187.00000,13682.00000,15522.40000,5517.20000,26550.90000,40232.90000,598.20000,9639.40000,-6172.70000,-3013.20000,7954.10000,48187.00000
2021-06-30,3271.20000,6902.80000,3824.90000,3296.60000,17295.50000,8855.50000,3474.90000,11869.60000,3638.60000,30513.50000,47809.00000,15093.20000,14736.60000,5539.90000,26052.30000,41145.50000,598.10000,8530.10000,-6287.10000,-3013.20000,6663.50000,47809.00000
2021-03-31,3051.40000,6658.60000,3660.80000,3233.70000,16604.50000,8630.10000,3232.40000,11965.20000,3756.20000,30233.80000,46838.30000,11714.20000,16199.60000,5654.80000,28024.80000,39739.00000,599.70000,9181.30000,-6395.60000,-3013.20000,7099.30000,46838.30000
2020-12-31,3681.30000,6929.00000,3980.30000,2871.50000,17462.10000,8681.90000,2966.80000,11216.50000,3475.40000,29171.00000,46633.10000,12481.60000,16586.60000,5545.30000,28326.30000,40807.90000,598.20000,7830.20000,-6496.40000,-3013.20000,5825.20000,46633.10000
2020-09-30,3630.30000,5844.80000,3555.40000,3209.40000,16239.90000,8281.10000,2476.20000,11315.00000,3078.50000,27706.10000,43946.00000,11976.90000,16334.60000,5095.30000,26973.10000,38950.00000,598.10000,7154.00000,-6555.10000,-3013.20000,4996.00000,43946.00000
2020-06-30,2387.90000,5775.60000,3313.90000,3104.50000,14581.90000,7981.10000,2406.40000,11435.70000,3080.10000,27385.10000,41967.00000,11988.50000,15064.40000,5204.30000,25706.50000,37695.00000,598.10000,6617.20000,-6682.90000,-3013.20000,4272.00000,41967.00000
2020-03-31,1777.40000,6352.50000,3102.40000,2761.90000,13994.20000,7897.90000,2148.70000,11545.80000,3044.60000,27108.60000,41102.80000,12610.20000,13982.30000,5494.90000,25295.40000,37905.60000,598.10000,5879.40000,-6885.90000,-3013.20000,3197.20000,41102.80000
2019-12-31,2438.50000,5541.50000,3190.70000,2538.90000,13709.60000,7872.90000,1962.40000,10297.40000,2871.20000,25576.50000,39286.10000,11775.20000,13817.90000,5108.20000,24811.80000,36587.00000,598.80000,4920.40000,-6523.60000,-3013.20000,2699.10000,39286.10000
