,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2249.60000,722.40000,3464.80000,19402.60000,31006.50000,3665.00000,54190.50000,66512.80000,4629.40000,35313.90000,4421.40000,41232.10000,54194.20000,4.80000,-689.30000,-6398.20000,12318.60000,66512.80000
2022-06-30,2203.10000,792.70000,3423.20000,19716.00000,32195.10000,3490.70000,55534.40000,68116.80000,5297.20000,37240.10000,4623.80000,43468.80000,57390.60000,4.80000,-842.30000,-5528.20000,10726.20000,68116.80000
2022-03-31,2271.40000,820.40000,3515.60000,19916.40000,33531.40000,3353.80000,56980.80000,69763.50000,6908.40000,38154.50000,4906.00000,44845.90000,60512.80000,4.70000,-1072.40000,-4553.00000,9250.70000,69763.50000
2021-12-31,2343.30000,728.90000,3473.10000,19784.00000,34077.30000,3196.80000,57189.70000,69887.90000,6508.60000,38685.50000,5038.90000,45555.30000,60818.30000,4.70000,-1142.40000,-4738.90000,9069.60000,69887.90000
2021-09-30,3699.30000,750.60000,4845.30000,14268.10000,29249.20000,2995.30000,46662.80000,60530.00000,3739.40000,31439.00000,5349.60000,38716.10000,51053.00000,4.70000,-960.40000,-4432.00000,9477.00000,60530.00000
2021-06-30,2000.80000,739.60000,3142.20000,14216.50000,29360.40000,2925.20000,46647.50000,58982.90000,4096.20000,32947.60000,4362.30000,39303.80000,52159.50000,4.70000,-1085.00000,-3902.90000,6823.40000,58982.90000
2021-03-31,1993.30000,537.70000,2925.10000,12712.50000,20769.70000,2688.00000,36297.50000,46942.50000,2578.50000,27990.30000,3811.40000,32656.40000,42603.60000,4.60000,-1251.80000,-4061.60000,4338.90000,46942.50000
2020-12-31,1861.40000,511.60000,2773.10000,12808.70000,21122.50000,2616.90000,36671.20000,47233.50000,2180.40000,28497.70000,3703.20000,33060.40000,42665.10000,4.60000,-1343.00000,-3759.40000,4568.40000,47233.50000
2020-09-30,1730.20000,573.60000,2619.00000,11643.60000,17365.90000,2466.70000,31591.20000,41462.20000,1941.80000,24011.00000,3638.20000,28419.60000,37273.10000,4.50000,-1168.80000,-4191.20000,4189.10000,41462.20000
2020-06-30,2106.10000,585.20000,3084.70000,11545.70000,17436.20000,2376.60000,31497.10000,41515.90000,4557.00000,21849.20000,3664.10000,26317.50000,37455.60000,4.50000,-1125.10000,-4274.50000,4060.30000,41515.90000
2020-03-31,1400.30000,623.90000,2431.20000,11451.30000,17549.40000,2262.50000,31389.60000,40789.10000,3785.20000,21937.40000,3656.30000,26324.70000,36724.50000,4.50000,-1082.50000,-4271.70000,4064.60000,40789.10000
2019-12-31,1578.00000,462.20000,2446.60000,12084.40000,18496.70000,2284.70000,32997.60000,42801.60000,4243.90000,21127.20000,4166.90000,26062.40000,37311.20000,4.50000,-1016.80000,-2823.60000,5490.40000,42801.60000
2019-09-30,1448.30000,441.70000,2138.90000,11283.20000,16377.20000,2149.70000,29953.60000,39307.20000,3581.90000,19040.00000,3428.60000,23007.10000,33512.10000,4.50000,-1130.10000,-2979.00000,5795.10000,39307.20000
2019-06-30,1286.00000,459.50000,2009.30000,11268.60000,16453.00000,2084.00000,29953.40000,39072.70000,3576.90000,18615.90000,3458.30000,22620.40000,33029.60000,4.50000,-1206.20000,-2606.70000,6043.10000,39072.70000
2019-03-31,1118.10000,473.00000,1870.20000,11202.60000,16581.00000,2059.80000,29975.70000,38926.80000,3217.40000,19107.10000,3376.70000,22994.60000,33026.50000,4.50000,-1226.40000,-2672.20000,5900.30000,38926.80000
2018-12-31,1304.90000,459.00000,2726.50000,11247.10000,16676.20000,2202.90000,30283.90000,33010.40000,4008.40000,18405.10000,4161.40000,23102.40000,27110.80000,4.50000,-1199.50000,-2642.90000,5899.60000,33010.40000
2018-09-30,1361.50000,511.10000,2850.90000,10996.30000,16945.10000,2111.80000,30226.30000,33077.20000,3948.90000,18422.90000,4070.50000,23199.60000,27148.50000,4.50000,-1104.30000,-2696.30000,5928.70000,33077.20000
2018-06-30,1050.90000,506.90000,2582.30000,11067.00000,17284.80000,2087.90000,30623.40000,33205.70000,3889.40000,18322.00000,4115.50000,23189.70000,27079.10000,4.50000,-1121.60000,-2510.10000,6126.60000,33205.70000
2018-03-31,1668.30000,557.90000,3216.50000,11294.80000,17587.30000,2081.20000,31156.20000,34372.70000,3878.30000,18568.80000,4192.60000,23553.10000,27431.40000,4.50000,-1085.70000,-1834.60000,6941.30000,34372.70000
2017-12-31,955.90000,513.60000,2419.60000,11101.00000,17421.70000,2067.60000,30794.70000,33214.30000,1938.90000,19430.30000,4118.90000,24447.30000,26386.20000,4.40000,-1058.10000,-1978.30000,6828.10000,33214.30000
2017-09-30,955.70700,508.62600,2395.81600,10795.06000,16952.67000,1954.02100,29923.51000,32319.33000,1684.44100,18581.38000,3967.14600,23525.25000,25209.69000,4.37500,-975.15800,-1839.02900,7109.63300,32319.33000
2017-06-30,914.31300,322.06000,2125.22600,10725.71000,17099.83000,1973.86400,30012.98000,32138.21000,2717.65300,17509.94000,3915.20600,22375.44000,25093.10000,4.37200,-989.15300,-1848.80300,7045.11500,32138.21000
2017-03-31,863.55000,369.97200,2096.87500,10717.16000,17206.71000,1830.30700,29960.51000,32057.39000,2657.47400,17182.75000,3879.42800,22015.07000,24672.55000,4.30900,-1053.70600,-1759.48900,7384.84000,32057.39000
2016-12-31,940.50000,308.40000,2090.40000,10517.30000,16345.30000,1730.50000,28788.80000,30879.20000,1135.30000,18294.70000,3695.40000,22767.70000,23903.00000,4.30000,-1077.00000,-1999.30000,6976.20000,30879.20000
2016-09-30,681.01300,273.90700,1768.85100,10452.04000,16555.19000,1681.53600,28886.68000,30655.53000,1028.60900,18436.14000,3624.35400,22852.64000,23881.24000,4.28400,-1030.66300,-1876.37400,6774.28100,30655.53000
2016-06-30,553.29900,285.42200,1648.00800,10575.42000,16572.61000,1714.88100,29092.19000,30740.20000,1203.72500,18403.01000,3547.29900,22696.25000,23899.97000,4.28000,-1033.32400,-1770.99800,6840.22500,30740.20000
2016-03-31,477.26800,217.45700,1448.66400,9917.98500,13937.39000,1543.63200,25615.65000,27064.31000,757.34900,16884.24000,2422.50900,19306.75000,20064.10000,4.27300,-967.71800,-1610.59200,7000.21500,27064.31000
2015-12-31,462.87900,227.35400,1423.13600,9866.42400,13929.68000,1472.99000,25481.14000,26904.27000,779.00100,17068.81000,2237.31300,19412.45000,20191.45000,4.34100,-998.53500,-1836.99600,6712.81800,26904.27000
2015-09-30,439.81500,206.15400,1434.75000,9806.19000,14067.57000,1405.07700,25492.04000,26926.79000,969.37990,16981.56000,2291.65000,19273.21000,20242.59000,4.26300,-995.93200,-1832.90300,6684.20200,26926.79000
2015-06-30,450.23800,212.91900,1399.97800,9586.40000,13889.84000,1357.08600,25069.75000,26469.72000,655.12700,16185.21000,2256.22900,18441.44000,19096.57000,4.26000,-876.60700,-1228.52100,7373.15800,26469.72000
2015-03-31,467.29900,175.78400,1421.19800,9422.64100,13516.96000,1329.13400,24509.00000,25930.19000,1331.76800,14930.95000,2235.83500,17166.79000,18498.55000,4.25900,-822.54500,-1205.86000,7431.63900,25930.19000
2014-12-31,480.00000,199.07400,1254.32000,7590.11200,10856.45000,1295.50000,20009.24000,21263.56000,1535.85300,13642.96000,2031.40500,15674.36000,17210.21000,3.99500,-837.32000,-794.22100,4053.35200,21263.56000
2014-09-30,459.85700,198.11900,1186.81600,7552.11000,10255.78000,1326.12200,19409.80000,20596.62000,1599.61700,12973.83000,1837.84900,14811.68000,16411.30000,3.99200,-854.57900,-504.33900,4185.31400,20596.62000
2014-06-30,457.24900,174.61200,1147.03600,7589.81500,10492.81000,1325.93800,19700.70000,20847.74000,1898.97200,12749.47000,1791.13000,14540.60000,16439.57000,3.98800,-911.16300,-250.92000,4408.16400,20847.74000
2014-03-31,529.13100,227.15500,1209.88800,7344.04900,10355.21000,1215.63300,19207.52000,20417.41000,932.29000,14009.01000,1774.50500,15783.51000,16715.80000,3.98400,-1006.05800,-272.41000,3701.60500,20417.41000
2013-12-31,465.10400,151.16500,1125.44200,7177.72800,10424.92000,1266.26400,19158.22000,20283.66000,770.00900,14408.15000,1515.47000,15923.62000,16693.63000,3.97600,-1081.46700,-311.22000,3590.04000,20283.66000
2013-09-30,4199.75300,152.56000,4804.89700,5878.82600,6010.37700,1243.91600,13376.42000,18181.32000,573.96000,12578.53000,1416.91100,13995.44000,14569.40000,3.97300,-1066.58000,-298.01500,3611.91700,18181.32000
2013-06-30,559.98100,130.86100,1167.77300,5811.08100,6046.77500,1074.52900,13171.62000,14339.39000,531.67700,8798.60400,1389.24600,10187.85000,10719.53000,3.96900,-1135.85100,-274.25600,3619.86700,14339.39000
2013-03-31,501.44300,145.44600,1129.41900,5879.51300,6170.61900,1044.01300,13334.32000,14463.74000,487.62400,8791.52000,1403.07400,10194.59000,10682.22000,3.96600,-1128.36100,-158.04300,3781.52200,14463.74000
2012-12-31,443.95200,143.56200,1040.30200,5765.85600,6048.72800,999.20000,13049.13000,14089.43000,507.84200,8693.34500,1204.06100,9897.40600,10405.25000,3.95900,-1196.90700,-183.34700,3684.18100,14089.43000
2012-09-30,425.79400,148.80700,1096.76100,5242.78100,5358.76500,1001.88400,11864.54000,12961.30000,625.96600,7359.35500,1290.00100,8649.35500,9275.32200,3.95600,-1237.56900,-164.08100,3685.98200,12961.30000
2012-06-30,550.18900,99.18100,1173.99800,5079.72900,5284.71700,928.15000,11535.36000,12709.36000,728.08500,7337.55200,1157.53200,8495.08400,9223.16900,3.95200,-1378.51800,-203.30300,3486.19000,12709.36000
2012-03-31,560.41300,105.12000,1145.73100,5006.64700,5290.87000,930.99400,11492.48000,12638.21000,763.42100,7161.12600,1127.25600,8288.38200,9051.80300,3.94600,-1339.62700,-97.68200,3586.40300,12638.21000
2011-12-31,394.67600,100.61000,990.90100,4981.72200,5171.34300,859.80200,11251.49000,12242.39000,689.01400,7134.49200,1008.74700,8143.23900,8832.25300,3.93600,-1477.89900,-142.61700,3410.14200,12242.39000
2011-09-30,232.45300,100.06300,668.59800,4125.88700,4882.01800,788.71100,10226.74000,10895.34000,1275.47700,4970.50200,1301.71600,6272.21800,7547.69500,4.88400,-1545.24400,-87.07000,3347.64100,10895.34000
2011-06-30,384.10500,99.82300,1366.20900,3909.63500,5125.82600,315.96800,9607.57500,10973.78000,1184.40900,4919.06800,1270.51900,6189.58700,7373.99600,4.87700,-1529.54300,62.47000,3599.78800,10973.78000
2011-03-31,452.94500,97.82900,1400.11300,3770.67100,5110.30000,150.39300,9358.63600,10758.75000,670.79900,5387.72800,1191.20600,6578.93400,7249.73300,4.86800,-1644.75400,54.41600,3509.01600,10758.75000
2010-12-31,1006.36300,81.47900,1405.65100,3683.47400,4397.77300,616.23600,8964.43400,10370.08000,405.32600,5512.49200,947.70800,6460.20000,6865.52600,4.86000,-1736.59600,38.05300,3504.55800,10370.08000
2010-09-30,483.75700,92.86900,1297.53100,3494.40200,4236.81700,157.43800,8151.44700,9448.97800,474.38600,4626.30500,894.63700,5520.94200,5995.32800,4.85500,-1820.11000,24.40500,3453.65000,9448.97800
2010-06-30,383.35000,48.87200,1110.34200,3188.46100,3852.43500,113.84400,7475.58100,8585.92300,230.31200,4152.04100,773.56000,4925.60100,5155.91300,4.84500,-1913.54900,-9.82900,3430.01000,8585.92300
2010-03-31,421.62600,73.54100,1163.27100,3179.19600,3901.77800,107.20800,7510.97900,8674.25100,305.78300,4152.03000,758.59200,4910.62200,5216.40500,4.83000,-2013.21400,28.32000,3457.84600,8674.25100
2009-12-31,304.90500,67.94900,1024.71800,3169.62300,3845.16300,92.79100,7495.21300,8519.93100,279.19700,4141.06000,781.54900,4922.60900,5201.80600,4.79700,-2109.53200,-12.64900,3318.12500,8519.93100
2009-09-30,284.31300,71.27100,998.81000,3128.12000,3771.82000,78.72300,7396.01400,8394.82400,220.94400,4179.03800,759.69100,4938.72900,5159.67300,4.78500,-2173.88200,-18.42000,3235.15100,8394.82400
2009-06-30,383.40100,72.52600,1088.48000,3087.79900,3780.72700,70.97400,7398.00700,8486.48700,222.05300,4421.69400,751.70500,5173.39900,5395.45200,4.69700,-2241.23700,-19.53200,3091.03500,8486.48700
2009-03-31,365.47500,60.05700,1019.94600,3003.21500,3719.10200,419.62600,7305.92400,8325.87000,193.78900,4330.99900,719.01200,5050.01100,5243.80000,4.69200,-2297.52600,-19.89600,3082.07000,8325.87000
