,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,419.40000,508.90000,822.10000,50.70000,,1801.10000,1758.20000,263.70000,379.50000,253.20000,2768.50000,4569.60000,918.50000,2701.10000,199.30000,3078.10000,3996.60000,148.30000,1569.20000,-61.50000,,573.00000,4569.60000
2022-08-31,485.30000,449.50000,635.50000,59.90000,,1630.20000,1690.90000,372.50000,385.00000,218.80000,2779.50000,4409.70000,780.30000,2700.10000,200.60000,3119.40000,3899.70000,148.30000,1501.80000,-46.10000,,510.00000,4409.70000
2022-05-31,525.00000,447.30000,574.40000,112.90000,,1659.60000,1579.20000,257.40000,351.70000,172.90000,2480.20000,4139.80000,699.10000,2695.80000,211.90000,3080.20000,3779.30000,148.00000,1305.50000,-15.60000,,360.50000,4139.80000
2022-02-28,428.60000,430.60000,634.50000,117.00000,,1610.70000,1556.10000,312.80000,356.30000,136.70000,2490.10000,4100.80000,612.90000,2697.00000,226.70000,3095.60000,3708.50000,148.00000,1309.10000,-7.40000,,392.30000,4100.80000
2021-11-30,621.90000,423.20000,613.90000,58.80000,,1717.80000,1568.00000,294.70000,353.60000,85.40000,2437.80000,4155.60000,693.00000,2692.10000,243.90000,3097.40000,3790.40000,148.00000,1238.30000,-7.50000,,365.20000,4155.60000
2021-08-31,789.70000,401.30000,469.20000,74.80000,,1735.00000,1565.70000,298.80000,359.30000,82.40000,2441.30000,4176.30000,650.00000,2698.60000,240.60000,3098.90000,3748.90000,148.00000,1240.00000,7.30000,,427.40000,4176.30000
2021-05-31,783.50000,366.90000,513.50000,117.80000,,1781.70000,1524.00000,310.20000,371.40000,80.40000,2427.70000,4209.40000,618.20000,2705.40000,245.50000,3110.60000,3728.80000,147.60000,1244.60000,29.50000,,480.60000,4209.40000
2021-02-28,714.30000,375.60000,571.50000,98.00000,,1759.40000,1498.20000,303.10000,371.20000,77.70000,2398.80000,4158.20000,590.20000,2712.30000,246.20000,3116.30000,3706.50000,147.60000,1213.80000,22.80000,,451.70000,4158.20000
2020-11-30,763.90000,353.20000,630.50000,38.20000,,1785.80000,1485.20000,291.40000,363.00000,78.60000,2373.30000,4159.10000,614.30000,2719.40000,258.50000,3135.90000,3750.20000,147.50000,1182.80000,7.00000,,408.90000,4159.10000
2020-08-31,1032.50000,334.80000,470.60000,53.10000,,1891.00000,1511.50000,275.00000,361.80000,74.90000,2381.60000,4272.60000,549.60000,2980.80000,253.00000,3391.00000,3940.60000,147.40000,1119.90000,-1.00000,,332.00000,4272.60000
2020-05-31,1364.00000,342.10000,486.70000,109.80000,,2302.60000,1535.00000,250.20000,342.10000,65.40000,2359.70000,4662.30000,1024.90000,2992.60000,252.30000,3397.40000,4422.30000,147.00000,1064.60000,-40.50000,,240.00000,4662.30000
2020-02-29,30.10000,368.80000,597.30000,101.30000,,1097.50000,1554.00000,253.40000,342.00000,46.90000,2368.70000,3466.20000,593.70000,2195.30000,249.90000,2602.10000,3195.80000,147.00000,1099.20000,-40.60000,,270.40000,3466.20000
2019-11-30,23.80000,399.70000,636.00000,47.80000,,1107.30000,1552.30000,257.90000,347.00000,39.40000,2359.50000,3466.80000,669.40000,2203.70000,243.10000,2596.30000,3265.70000,146.80000,1021.90000,-33.50000,,201.10000,3466.80000
