,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-04-30,768.00000,10515.00000,386.00000,11952.00000,20617.00000,360.00000,,1300.00000,22277.00000,34229.00000,10814.00000,10080.00000,862.00000,11933.00000,22747.00000,506.00000,10985.00000,-9.00000,11482.00000,34229.00000
2014-01-31,576.00000,9127.00000,341.00000,10296.00000,20834.00000,279.00000,,1323.00000,22436.00000,32732.00000,8876.00000,10086.00000,896.00000,12003.00000,20879.00000,515.00000,11355.00000,-17.00000,11853.00000,32732.00000
2013-10-31,1216.00000,9593.00000,336.00000,11365.00000,20973.00000,439.00000,,1300.00000,22712.00000,34077.00000,9403.00000,10090.00000,881.00000,12023.00000,21426.00000,525.00000,12103.00000,23.00000,12651.00000,34077.00000
2013-07-31,1274.00000,9106.00000,309.00000,10913.00000,20969.00000,306.00000,,1220.00000,22495.00000,33408.00000,9340.00000,9015.00000,868.00000,11006.00000,20346.00000,532.00000,12504.00000,26.00000,13062.00000,33408.00000
2013-04-30,1199.00000,10274.00000,313.00000,12014.00000,21257.00000,272.00000,,1188.00000,22717.00000,34731.00000,10439.00000,9026.00000,857.00000,11040.00000,21479.00000,544.00000,12618.00000,52.00000,13252.00000,34731.00000
2013-01-31,666.00000,8600.00000,301.00000,9784.00000,21477.00000,271.00000,,1134.00000,22882.00000,32666.00000,7708.00000,9030.00000,901.00000,11101.00000,18809.00000,555.00000,13224.00000,52.00000,13857.00000,32666.00000
2012-10-31,1300.00000,8995.00000,300.00000,10830.00000,21591.00000,350.00000,,1182.00000,23123.00000,33953.00000,8614.00000,9004.00000,904.00000,11114.00000,19728.00000,561.00000,13602.00000,53.00000,14225.00000,33953.00000
2012-07-31,2296.00000,8699.00000,325.00000,11599.00000,21734.00000,485.00000,,1214.00000,23433.00000,35032.00000,9022.00000,9008.00000,872.00000,11186.00000,20208.00000,576.00000,14199.00000,47.00000,14824.00000,35032.00000
2012-04-30,3233.00000,9786.00000,330.00000,13628.00000,21821.00000,710.00000,,1049.00000,23580.00000,37208.00000,10996.00000,9018.00000,863.00000,11009.00000,22005.00000,594.00000,14557.00000,52.00000,15203.00000,37208.00000
2012-01-31,1300.00000,8355.00000,234.00000,10072.00000,21970.00000,504.00000,,1013.00000,23487.00000,33559.00000,7891.00000,7035.00000,865.00000,9135.00000,17026.00000,621.00000,15852.00000,46.00000,16533.00000,33559.00000
2011-10-31,969.00000,8990.00000,227.00000,10423.00000,21888.00000,705.00000,,850.00000,23443.00000,33866.00000,9156.00000,6025.00000,867.00000,7901.00000,17057.00000,630.00000,16109.00000,46.00000,16809.00000,33866.00000
2011-07-31,908.00000,8825.00000,213.00000,10168.00000,22195.00000,857.00000,,825.00000,23877.00000,34045.00000,8677.00000,6581.00000,856.00000,8589.00000,17266.00000,630.00000,16060.00000,82.00000,16779.00000,34045.00000
2011-04-30,1841.00000,9661.00000,239.00000,11973.00000,22060.00000,1209.00000,,642.00000,23911.00000,35884.00000,9921.00000,6538.00000,818.00000,8504.00000,18425.00000,659.00000,16715.00000,85.00000,17459.00000,35884.00000
2011-01-31,1123.00000,8321.00000,330.00000,9967.00000,22089.00000,1008.00000,,635.00000,23732.00000,33699.00000,7119.00000,6537.00000,833.00000,8468.00000,15587.00000,677.00000,17371.00000,53.00000,18112.00000,33699.00000
2010-10-31,1737.00000,8543.00000,219.00000,10701.00000,22180.00000,865.00000,,595.00000,23640.00000,34341.00000,8008.00000,5539.00000,825.00000,7441.00000,15449.00000,697.00000,18144.00000,45.00000,18892.00000,34341.00000
2010-07-31,2007.00000,8653.00000,256.00000,11121.00000,22274.00000,730.00000,,508.00000,23512.00000,34633.00000,7993.00000,5533.00000,830.00000,7427.00000,15420.00000,711.00000,18454.00000,39.00000,19213.00000,34633.00000
2010-04-30,3352.00000,9899.00000,242.00000,13695.00000,22379.00000,832.00000,,508.00000,23719.00000,37414.00000,10881.00000,5531.00000,886.00000,7514.00000,18395.00000,722.00000,18246.00000,45.00000,19019.00000,37414.00000
2010-01-31,1057.00000,8249.00000,218.00000,9732.00000,22499.00000,277.00000,,497.00000,23273.00000,33005.00000,7355.00000,4528.00000,906.00000,6581.00000,13936.00000,729.00000,18307.00000,27.00000,19069.00000,33005.00000
2009-10-31,1650.00000,8424.00000,213.00000,10431.00000,22557.00000,864.00000,,496.00000,23917.00000,34348.00000,8489.00000,4524.00000,1421.00000,6440.00000,14929.00000,739.00000,18236.00000,46.00000,19419.00000,34348.00000
2009-07-31,1511.00000,8189.00000,216.00000,10033.00000,22727.00000,900.00000,,462.00000,24089.00000,34122.00000,8459.00000,4515.00000,1468.00000,6487.00000,14946.00000,738.00000,18025.00000,46.00000,19176.00000,34122.00000
2009-04-30,1142.00000,9013.00000,264.00000,10541.00000,22715.00000,448.00000,,444.00000,23607.00000,34148.00000,8735.00000,5023.00000,1420.00000,6976.00000,15711.00000,737.00000,17399.00000,5.00000,18437.00000,34148.00000
2009-01-31,661.00000,8209.00000,215.00000,9190.00000,22722.00000,253.00000,,460.00000,23435.00000,32625.00000,7560.00000,5039.00000,1372.00000,7010.00000,14570.00000,735.00000,17049.00000,-6.00000,18055.00000,32625.00000
